"PC1" "PC2" "PC3" "PC4"
"moranActives" 0.98103895952893 0.189572331377011 -0.035503278120518 0.0190894815376402
"entropyActives" 0.132507783297851 -0.564957361876757 0.22384079892265 -0.783045441442841
"meanDistanceActives" -0.0531056204608445 0.14080619436007 -0.915803441886617 -0.372367378450273
"slopeActives" 0.131087910683451 -0.790606808766136 -0.331570308997945 0.497813181621661
