5203906	9	571625	2015-06-06 18:54:56+0200	31772852	"ref"=>"CG-2","highway"=>"primary","name"=>"Avinguda del Consell General","oneway"=>"yes","maxspeed"=>"30"	{51115528,292510272,51115815,51115813,292503719,3577226433,51115812,51115811}
6165450	12	115931	2011-05-17 18:00:08+0200	8173100	"highway"=>"primary","oneway"=>"yes"	{51110488,51110489,51110491,51110493,51110495,51110496,51385320}
6165679	34	665411	2015-03-19 00:10:42+0100	29582008	"name:fr"=>"Espagne - Andorre","name:en"=>"Spain - Andorra","name:ca"=>"Espanya - Andorra","admin_level"=>"2","source"=>"BDLL25, EGRN, Instituto Geográfico Nacional","name:es"=>"España - Andorra","name"=>"España - Andorra","border_type"=>"nation","boundary"=>"administrative"	{45160958,2185577629,1409255628,2185577628,2185577627,1409255458,1409255585,1409255532,45160947,1304116511,2185577626,2185577625,2185577624,45160950,2185577623,2185577622,45160897,2185577621,2185577620,2185577619,45160899,2185577618,2185577617,45160902,45160904,45160908,2185577616,2185577615,45160885,45160890,579974347,579974346,579974336,3406286675,579974311,579974316,3406286676,579974321,579974288,579974296,579974298,3406286677,579974308,579974284,2188505398,579974160,2185577614,579974175,579974193,3406286679,579974203,579974208,579974213,579974216,579974218,579974221,579974002,579974008,579974021,579974122,2185577613,579974129,579974133,579974140,579973845,579973860,579973877,579973728,579973734,3406286686,579973758,579973777,579973790,579973836,579971808,579971823,3406286687,2185577611,579971841,283825973}
6165715	11	414869	2013-12-04 21:22:40+0100	19278300	"ref"=>"CG-2","source"=>"yahoo","highway"=>"primary","name"=>"Avinguda del Consell General","maxspeed"=>"30"	{51115528,292510270}
6165717	7	26599	2013-07-29 17:14:53+0200	17140756	"ref"=>"CG-2","highway"=>"primary","name"=>"Avinguda del Consell General","oneway"=>"yes","maxspeed"=>"30"	{51115856,51115566,51115565,51394053,51395506,292510276,51115528}
6165721	11	571625	2015-06-06 18:55:48+0200	31772852	"junction"=>"roundabout","highway"=>"primary"	{51115749,51116391,51115759,51390199,646819821,51115758,2832690383,51115756,51115856,292510274,51115754,51115811,51115753,51115752,646819848,51115750,3577226434,51116315,51115749}
6165764	7	595221	2014-05-03 00:05:18+0200	22094590	"ref"=>"CG-2","highway"=>"primary","name"=>"Avinguda del Consell General","oneway"=>"yes","maxspeed"=>"30"	{51116315,2832690389,51116314,2832690390,51116313,2832690394,51116311}
6165766	8	571625	2015-06-06 18:54:56+0200	31772852	"ref"=>"CG-2","highway"=>"primary","name"=>"Avinguda del Consell General","oneway"=>"yes","maxspeed"=>"30"	{51116311,2832690393,2832690391,51116388,51116389,51116390,2832690388,2832690387,2832690385,51115759}
6165877	13	571625	2015-06-06 18:54:59+0200	31772852	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","maxspeed"=>"60","access"=>"yes","bicycle"=>"yes"	{51121339,51121341,51121342,3378337993,51120956}
6165944	16	605366	2015-03-05 12:30:39+0100	29264057	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"70","access"=>"yes","bicycle"=>"yes"	{625307,278748317,278748365,51122790,51122791,51122792}
6166082	11	5926	2012-09-20 00:02:51+0200	13176470	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","bicycle"=>"yes"	{625294,51123907,51123908,51123909,278748035,51123910,51123911,625295,51123912,51123913,625296,51123914,625297,51123916,51123917,51123918,625298,51123919,51123920,51123921,625299,51123922,625300}
6166123	10	605366	2015-03-01 19:15:16+0100	29183029	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","bicycle"=>"yes"	{625277,3378276518,3378276525,3378276530,3378276535,51124486,51124487,51124488,1922638378,51124489,51348096,51124490,51124044,51124045,625293,51124046,51124047,51124048,625294}
6166128	5	115931	2011-05-17 19:18:22+0200	8173777	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"70","access"=>"yes","bicycle"=>"yes"	{51125344,625261,51349842}
6166136	7	219843	2014-09-27 10:30:20+0200	25700865	"ref"=>"CG-2","junction"=>"roundabout","surface"=>"asphalt","highway"=>"primary","foot"=>"no","cycleway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"50","access"=>"yes","bicycle"=>"yes"	{51125344,51125330,53274971,53274968,769252988,51125332,769252996,769252999,51125333,51125414,51125335,769253007,51125337,51125340,51125342,53274972,53274970,769253015,51125344}
6166145	6	571625	2015-06-06 18:54:58+0200	31772852	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","maxspeed"=>"70","access"=>"yes","bicycle"=>"yes"	{51125478,3577226486,625260,769252999}
6166185	8	5926	2012-09-19 23:53:57+0200	13176460	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","lanes"=>"2","bicycle"=>"yes"	{1922626620,1922626607,51361816,625211,1922626627,51361817,51126218,51126219,625243,1922626558,51126221,51126223,51361728,625244,51126225,51126226,51125904,51125905,625245,51361715,51125784,51361716,625246,51125788,51125724,625247}
6176663	7	219843	2014-10-17 22:29:10+0200	26155470	"junction"=>"roundabout","surface"=>"asphalt","highway"=>"primary","foot"=>"no","cycleway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"50","access"=>"yes","bicycle"=>"yes"	{51342838,1956791540,1956791543,1956791545,1956791537,51342840,51342841,769251788,51342842,1380856311,769251789,1380856308,51342843,1956791531,51343031,51342844,51342855,51342845,769251791,1380856300,51342846,1956791533,51342848,1956791535,51342838}
6176681	10	6367	2014-12-02 18:22:36+0100	27184477	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","horse"=>"no","cycleway"=>"no","oneway"=>"no","maxspeed"=>"80","access"=>"yes","toll"=>"yes","bicycle"=>"yes"	{51344677,3216080676,3216080679,3216080683,3216080686,3216080692,3216080697,3216080706,51345073,1922647452,1922647455,51343103,1956791509,51342422,51343029,1956791516,1956791520,1956791523,1380856307}
6176722	11	5926	2011-07-31 22:17:32+0200	8884967	"ref"=>"CG-2","surface"=>"asphalt","source"=>"GPS","highway"=>"primary","foot"=>"no","horse"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"60","access"=>"yes","toll"=>"yes","bicycle"=>"no"	{51343570,1380849650,51343571,1380849668}
6176755	16	571625	2012-07-20 18:48:37+0200	12383861	"surface"=>"asphalt","highway"=>"primary","foot"=>"no","horse"=>"no","layer"=>"-1","access"=>"yes","toll"=>"yes","bicycle"=>"no","ref"=>"CG-2","source"=>"yahoo and guess","name"=>"Túnel d'Envalira","oneway"=>"no","maxspeed"=>"80","motor_vehicle"=>"yes","maxheight"=>"4.3","tunnel"=>"yes"	{51344677,796031914,51344678,796031930,51344679,796031933,51344681,796031937,51344682,51344683,51344685,796030198,51344687,796030199,51344688,769251804,51344690,796031941,51344206,51343570}
6177152	12	605366	2015-03-01 19:15:16+0100	29183029	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"yes","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","lanes"=>"2","bicycle"=>"yes"	{625277,625275,625274,3378259656,3378259643,51124700,51348571,51124485,51124484,51124483,625273,625272,1922638426,51124895,51124893,1922638409,51124892,51348167,625271,51348165,625270,51124891,51124890,51124975,1922638424}
6177369	7	457265	2013-04-30 20:17:54+0200	15924176	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","motor_vehicle"=>"yes","maxspeed"=>"70","access"=>"yes","bicycle"=>"yes"	{625256,625257,2287019214,262892996}
6177399	9	5926	2012-09-19 23:54:22+0200	13176470	"ref"=>"CG-2","surface"=>"yes","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"yes","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","lanes"=>"2","bicycle"=>"yes"	{1922626600,51125730,1922628090,1922628088,1922628089}
6177409	7	5926	2012-09-19 23:53:57+0200	13176460	"ref"=>"CG-2","junction"=>"approach","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"yes","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","bicycle"=>"yes"	{1922626578,1922626551,625247,625248,51125727}
6178632	8	5926	2012-09-19 23:48:05+0200	13176324	"surface"=>"asphalt","highway"=>"primary","foot"=>"no","cycleway"=>"no","access"=>"yes","lanes:left"=>"1","bicycle"=>"yes","ref"=>"CG-2","source"=>"yahoo","oneway"=>"no","maxspeed"=>"80","motor_vehicle"=>"yes","lanes"=>"3"	{264465126,51126212,625205,625206,51126213,1922620907,51126214,51126215,51126216,625207,51126217}
6178688	7	5926	2012-09-19 23:48:05+0200	13176324	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"yes","motor_vehicle"=>"yes","maxspeed"=>"70","access"=>"yes","bicycle"=>"yes"	{51362569,51362612,51362613,51362614,51362854,51362856,51362857,51362858,51362860,51362861,51362863,51362864,51362865,1922620938,51362867,51362868,51362870,51362871,51362872,1922620914,1922620944,1922620934,1922620905,1922620889,1922620964,1922620927,1922620897,1922620924}
6178694	7	5926	2012-09-19 23:48:06+0200	13176324	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"yes","motor_vehicle"=>"yes","maxspeed"=>"80","access"=>"yes","bicycle"=>"yes"	{894259307,51362153,625198,625091,51362477,1922620922,1922620895,1922620884,51362475,625090,51362474,625089,1922620977,51362471,51362531,625088,625087,625086,51387092,51362529,51362572,625085,625084,51362570,51362569}
6178791	9	593205	2014-12-27 08:08:19+0100	27724016	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","maxspeed"=>"80","access"=>"yes","bicycle"=>"yes"	{1933961829,625074,1933961739,1933961779,625075,51363149,625076,51363105,625077,51363107,51363109,51363076,51363078,51363079,51363022}
6178964	2	10927	2008-04-19 21:43:10+0200	189418	"sport"=>"soccer","leisure"=>"pitch"	{51364728,51364730,51364732,51364733,51364728}
6178980	3	10927	2008-04-20 15:27:47+0200	198831	"created_by"=>"Potlatch 0.8a","sport"=>"tennis","leisure"=>"pitch"	{51364894,51364896,51364898,51364899,51364894}
6179103	7	593205	2014-12-27 08:08:19+0100	27724016	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","maxspeed"=>"90","access"=>"yes","bicycle"=>"yes"	{625033,625071,625034,51366154,51366157,625035,51366010,51366011,625036,51366015,51366017,51386795,625037}
6179174	9	593205	2014-12-27 08:08:29+0100	27724016	"ref"=>"CG-2","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"yes","maxspeed"=>"50","access"=>"yes","bicycle"=>"yes"	{259406445,625029,1839958257,1917655925}
6179240	8	593205	2014-12-27 08:08:27+0100	27724016	"ref"=>"CG-2","junction"=>"roundabout","surface"=>"asphalt","highway"=>"primary","foot"=>"no","cycleway"=>"no","maxspeed"=>"50","access"=>"yes","bicycle"=>"yes"	{51367555,1289193597,1289193604,1289193629,51367558,1289193606,1289193624,51367559,1289193626,51367806,1289193603,1289193601,51367563,1289201794,1289193599,51367565,1289193623,1289193621,51367819,1289193620,51367555}
6179270	7	261617	2014-05-15 06:08:06+0200	22345334	"surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","cycleway"=>"no","layer"=>"3","oneway"=>"no","bridge"=>"yes","maxspeed"=>"50","access"=>"yes","bicycle"=>"yes"	{51384490,51371386}
6179470	2	10927	2008-04-19 21:47:07+0200	189418	"layer"=>"1","sport"=>"soccer","leisure"=>"pitch"	{51369359,51369361,51369362,51369364,51369359}
6179675	12	261617	2014-05-15 06:07:56+0200	22345334	"ref"=>"CG-1","surface"=>"asphalt","source"=>"yahoo","highway"=>"primary","foot"=>"no","cycleway"=>"no","oneway"=>"no","maxspeed"=>"70","access"=>"yes","bicycle"=>"yes"	{52688728,52688859,51369142,51369145,1386870611}
6179692	9	5926	2012-09-19 23:35:20+0200	13176300	"ref"=>"CG-1","source"=>"yahoo","highway"=>"primary","oneway"=>"no","lanes"=>"3"	{51371386,51371387}
