evolution$generation,gravityDecay,gravityGamma,networkGamma,networkThreshold,networkSpeed,synthRankSize,rhoPopClosenessPos,rhoPopClosenessNeg,rhoPopAccessibilityPos,rhoPopAccessibilityNeg,rhoClosenessAccessibilityPos,rhoClosenessAccessibilityNeg,evolution$samples
1001,0.006427351904376032,0.42127689496182985,5.0,1.0,11.608339689354578,1.379787386699342,0.01599757088853554,0.16612479008310363,0.0,2.905682243634078E-4,0.0,0.0,1
1001,0.006207036911186081,0.10003329335804774,2.573049679782113,27.337302853701246,1.0,0.611190940446894,9.641564802409172E-5,-0.030877420614744598,0.009788790728372465,0.0,-0.01769142791236135,2.4773874232326704E-4,1
1001,1.9302982240397993E-4,0.1,4.011565036995736,28.593813204867214,1.0,0.880679787395837,0.001076792866792845,-0.023487408418153867,0.0,0.0,-0.0184073323387652,0.0012680675888225865,1
1001,0.00943630162675568,0.27953052505444276,4.614508081803259,18.02624414905356,1.5742362188623624,1.4997628543611474,0.0,0.13346071595825748,0.009512099925723438,0.0,0.06881269042386338,0.0,1
1001,0.0031670909936950186,0.6159137053131353,4.236833841486343,17.5840754528778,30.19789581472223,0.654919203937553,-2.305118981432465E-4,0.0,0.0,0.0,-0.06019487006674647,-0.061037833984977516,1
1001,0.002275203820158338,0.6009256136026355,3.3670916125422807,7.439660420534096,17.16094685737868,0.9607253112907566,0.0,0.0075528469486767814,0.0,0.0,-0.061278924617434755,-0.05444244430815004,2
1001,0.008830888517267028,1.239819241129213,4.9712459834830245,1.0,1.0,1.2870817792880846,0.0,0.003465136199972234,0.12256745693743745,1.7277370739655212E-4,0.0,0.0,1
1001,0.003555059773970459,0.4057930982770157,1.1105144469060706,14.05907737601878,200.0,0.6699718153708067,-1.9239347835969985E-4,-0.017538786619572262,0.0,0.0,-0.0228189280791306,-0.007246939683170403,1
1001,0.008416579301847547,0.1197491421706132,4.22672310432189,14.161288692756026,1.0,1.277272490047233,2.7674545106561293E-4,0.017993800142435526,0.006423556051258661,0.0,0.01760112782470096,-1.705484633210022E-4,1
1001,0.0034040883850951034,0.9928318526783255,4.308230238170035,27.613071746680678,157.4861066288182,1.326616490996344,0.0,0.004785542683033651,0.08185028244611692,0.0,0.0,0.0,3
1001,0.008865633837645723,0.8757927063313423,3.981928851216349,4.991335918945815,2.1444639187059424,0.6244450692252335,0.02616988434937667,0.023809513137133906,0.0,0.0,0.0,0.0,1
1001,0.005273845942592438,0.21507116269320697,3.9421993131209865,17.35201781089129,101.37079849558438,1.4335927356741414,2.6313504524607886E-6,0.07925594735064526,0.0,0.0,0.04464478178391126,-0.0018680777642978695,1
1001,0.0062202864064268126,0.1,3.1347170596724228,26.90939715886432,1.1622159464388273,0.6117904718808262,-0.0015852001856098167,0.20579080308258865,0.010774614621235301,0.0,0.15711872683145273,-0.001610123297315037,1
1001,0.0016552337577511091,0.7667906640919926,3.5466676449679455,3.7030791129904976,200.0,1.1046420634747913,0.007184929949628986,0.00843897123923263,0.19050907329557265,0.0,0.0,0.0,1
1001,0.008844876762561892,1.7607445463466938,4.2788898552092665,18.299262231524978,1.0,0.5105504281290894,-0.001057256524566237,-8.092793019477656E-4,0.0,1.678998202144788E-4,0.0013602664357340454,-0.001777244161552898,1
1001,0.009549792350281814,1.1071326939518387,3.634619253161631,17.922201054529424,32.21334004337534,1.465386906702332,-0.0076156474608385935,0.005381532191435313,0.12230427670487543,0.0,0.0,0.0,1
1001,0.002968578606988181,1.9807950540282633,1.677567926255038,29.994391566039354,1.0,1.3183695031595457,2.849779512130225E-4,3.084519873426564E-4,0.0,4.9208022291913345E-6,0.002495420845723339,-0.0036592723040148835,1
1001,0.004380258527155802,0.45758576114704086,0.9005153065283447,14.820632974938015,36.046403483722315,1.4381341747771526,0.00838351835893197,0.027780946761003174,0.0,0.04292070983151891,0.0,0.0,1
1001,0.007953403128191271,0.1,2.6884160540497954,28.19589241443846,2.0949374852960796,0.6842354211146162,8.346700660763484E-5,0.05285234613482405,0.014613407855745275,0.0,0.03186538680850175,2.8826321294202206E-4,1
1001,8.258175891694712E-4,0.4572517648516229,4.475660326228451,19.439016661220116,3.123431152217889,0.5100031600011239,0.18314416953862123,0.002819599004337779,0.013503477749769677,0.0,-0.03630066333742418,0.09949743049593412,1
1001,0.006303291617105371,0.1244695689034842,2.566291088925826,23.00108819941473,5.362144660291101,0.740575655135439,-3.7952046934461997E-4,0.04678266255086798,0.006077147505946012,0.0,0.03895796021761869,-4.7640657153765614E-4,1
1001,4.096517792858125E-4,0.12037014198944573,3.8962383645967607,1.016956807988271,1.0,0.7035000846818349,0.0031872588531032513,0.043389641217148306,0.006900978269434144,0.0,0.04406515722167992,0.0,1
1001,0.004232050690466388,0.6207291171992664,1.7242749595515026,26.693846223082257,5.0744587520963025,1.1397189407813624,-9.481214821790802E-4,0.0,0.0016307275911205399,0.0012563076209409496,-0.02771466010938934,-0.03157664809210024,2
1001,0.00432327786535905,0.9988072606575009,2.8523150690241743,22.91908775271473,32.791836316829205,0.8994277695198468,0.0,0.00726417127160138,0.0,0.05091424208912734,0.0,0.0,1
1001,1.0E-4,0.20572039543771314,5.0,16.14743715335956,12.721441313709887,0.5628910113055318,0.004694557822129335,0.026690358133710266,0.012381868104671012,0.0,-0.002321560104214946,-0.002325698351383562,1
1001,0.005207733721547589,0.3008656399983457,3.8813624661025825,14.574055713645654,1.0,1.1993036516030955,-6.9917188052512E-4,0.053105463195110655,0.008679028261823762,0.0,0.02005317951468308,-2.7934253124434205E-4,1
