stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
large network	large networks	large networks|&|large network	2	6,29455750551	27,3074191255	259,589879926	4,0	25,0	 
network security	network security	network security	2	6,29455750551	27,3074191255	282,135712598	4,0	20,0	 
flow traffic	traffic flows	traffic flows	2	4,72091812914	21,8386878554	262,95506997	3,0	24,0	 
choice model	choice models	choice models|&|choice model	2	4,72091812914	23,752855435	284,138795186	3,0	30,0	 
monitor network	monitoring network	monitoring network	2	4,72091812914	23,752855435	265,146489262	2,0	14,0	 
path planning	path planning	path planning	2	7,86819688189	39,5880923917	275,495554807	2,0	9,0	 
multicommodity network transportation	multicommodity transportation network	multicommodity transportation network	3	3,9714236158	19,0581450514	331,427964461	2,0	9,0	 
network system	network system	network system|&|network systems|&|system network	2	23,6045906457	83,2611459247	493,30847993	16,0	59,0	 
container transportation	container transportation	container transportation	2	4,72091812914	23,752855435	212,964757466	2,0	10,0	 
communication network	communication network	communication network|&|network communication	2	6,29455750551	29,1182504739	332,208254173	3,0	10,0	 
analysis network	network analysis	network analysis	2	9,44183625827	38,8542438147	240,048233313	5,0	36,0	 
different size	different sizes	different sizes	2	4,72091812914	23,752855435	581,188949149	2,0	10,0	 
flow link	link flows	link flows|&|link and flow|&|link flow	2	7,86819688189	34,1342739069	251,546437943	4,0	33,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	38,1162901029	308,38050437	2,0	9,0	 
freight transportation	freight transportation	freight transportation	2	18,8836725165	66,6089167398	294,965737157	11,0	71,0	 
city growth	city growth	city growth	2	29,8991481512	105,464118171	987,625529281	10,0	21,0	 
choice route	route choice	route choice	2	9,44183625827	40,9611286883	219,740034558	5,0	53,0	 
area network	area network	area network	2	18,8836725165	87,3547514216	317,245689803	3,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	21,8386878554	294,930530657	3,0	16,0	 
network wireless	wireless networks	wireless networks	2	7,86819688189	36,3978130924	210,626035465	3,0	18,0	 
layout network transportation	transportation network layout	transportation network layout	3	9,92855903949	43,6196783643	234,686519328	3,0	23,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	6,29455750551	27,3074191255	333,907246856	4,0	21,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	38,1162901029	454,022767111	2,0	12,0	 
