stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
large network	large networks	large networks|&|large network	2	6,29455750551	27,0949244323	231,198564605	4,0	24,0	 
network security	network security	network security	2	6,29455750551	27,0949244323	289,036931642	4,0	18,0	 
flow traffic	traffic flows	traffic flows	2	4,72091812914	21,6793168355	266,0384326	3,0	22,0	 
result simulation	simulation results	simulation results	2	4,72091812914	21,6793168355	224,21359081	3,0	28,0	 
network system	network system	network system|&|network systems|&|system network	2	23,6045906457	82,4642908253	499,333481376	16,0	58,0	 
communication network	communication network	communication network|&|network communication	2	6,29455750551	28,9057557807	283,30943884	3,0	10,0	 
analysis network	network analysis	network analysis	2	9,44183625827	38,5355017749	234,594950501	5,0	36,0	 
design system	system design	system design	2	7,86819688189	33,8686555404	332,48841595	5,0	16,0	 
different size	different sizes	different sizes	2	4,72091812914	23,5934844151	556,674086571	2,0	10,0	 
flow link	link flows	link flows|&|link and flow|&|link flow	2	7,86819688189	33,8686555404	253,625665055	4,0	33,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	37,8481516541	296,604399245	2,0	9,0	 
freight transportation	freight transportation	freight transportation	2	18,8836725165	65,9714326602	270,470767319	11,0	72,0	 
city growth	city growth	city growth	2	23,6045906457	85,244511167	905,329746532	10,0	22,0	 
choice route	route choice	route choice	2	9,44183625827	40,6423866485	213,376879801	5,0	53,0	 
area network	area network	area network	2	18,8836725165	86,7172673421	314,750790024	3,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	21,6793168355	289,585890251	3,0	15,0	 
network wireless	wireless networks	wireless networks	2	6,29455750551	31,4579792202	282,826367673	2,0	13,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	37,8481516541	436,547349166	2,0	12,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	6,29455750551	27,0949244323	338,994153614	4,0	21,0	 
air network transportation	air transportation network	air transportation network|&|air transportation networks	3	5,95713542369	25,970703182	366,294299096	3,0	17,0	 
length path	path length	path length	2	7,86819688189	36,1321947259	340,101762312	3,0	17,0	 
different mode	different modes	different modes	2	4,72091812914	21,6793168355	221,383602943	3,0	23,0	 
different strategy	different strategies	different strategies	2	4,72091812914	21,6793168355	249,706289796	3,0	12,0	 
level low	lower level	lower level	2	7,86819688189	32,1129181458	239,085080455	5,0	47,0	 
system transportation	transportation system	transportation system|&|transportation systems	2	100,712920088	224,092161102	309,519150195	47,0	286,0	 
network sensor wireless	wireless sensor network	wireless sensor network|&|wireless sensor networks	3	35,7428125422	112,790844841	542,150304785	10,0	50,0	 
network service	service network	service network|&|network service	2	7,86819688189	33,8686555404	237,637393773	4,0	16,0	 
log n	log n	log n|&|n log	2	4,72091812914	23,5934844151	583,289573899	2,0	7,0	 
city dynamics growth	city growth dynamics	city growth dynamics	3	3,9714236158	18,924075827	722,905139478	2,0	9,0	 
city size	city size	city size	2	7,86819688189	33,8686555404	783,390192092	4,0	16,0	 
network performance transportation	transportation network performance	transportation network performance|&|performance of a transportation network|&|performance of the transportation network	3	7,94284723159	32,3425894899	599,633186759	4,0	21,0	 
mode transportation	transportation mode	transportation mode|&|transportation modes	2	7,86819688189	32,1129181458	215,286299181	5,0	40,0	 
public transport	public transport	public transport	2	4,72091812914	23,5934844151	504,941074646	2,0	16,0	 
network system transportation	transportation network system	transportation network system|&|transportation network systems	3	7,94284723159	32,3425894899	416,538930544	6,0	29,0	 
air transportation	air transportation	air transportation	2	7,86819688189	33,8686555404	461,28534901	6,0	34,0	 
chain network	chain network	chain network	2	4,72091812914	23,5934844151	511,570133738	2,0	11,0	 
analysis method	analysis method	analysis method	2	4,72091812914	23,5934844151	392,847848875	2,0	15,0	 
planning process	planning process	planning process	2	4,72091812914	23,5934844151	247,607652102	2,0	10,0	 
area infrastructure network	area network infrastructure	area network infrastructure	3	3,9714236158	21,6768569091	327,409149591	1,0	6,0	 
growth population	population growth	population growth	2	4,72091812914	23,5934844151	209,838054026	2,0	3,0	 
network public transportation	public transportation network	public transportation network|&|public transportation networks	3	13,8999826553	50,9635736373	500,872678265	7,0	32,0	 
air system transportation	air transportation system	air transportation system|&|air transportation as a system	3	7,94284723159	37,8481516541	314,789354617	2,0	18,0	 
network performance	network performance	network performance	2	12,589115011	47,1447813484	208,604821282	7,0	62,0	 
algorithm routing	routing algorithm	routing algorithm	2	4,72091812914	21,6793168355	256,150437976	3,0	8,0	 
constraint equilibrium	equilibrium constraints	equilibrium constraints	2	6,29455750551	31,4579792202	222,052966679	2,0	17,0	 
mean transport	means of transport	means of transport|&|transport means	3	6,29455750551	28,9057557807	233,987108399	3,0	11,0	 
network structure	network structure	network structure	2	6,29455750551	27,0949244323	263,322792149	4,0	27,0	 
hub transportation	transportation hub	transportation hub	2	4,72091812914	23,5934844151	246,382134301	2,0	10,0	 
control system	control system	control system	2	4,72091812914	26,865775506	571,123850058	1,0	6,0	 
ITS zone	zone ITS	zone ITS	2	4,72091812914	26,865775506	248,539832936	1,0	6,0	 
passenger transportation	passenger transportation	passenger transportation	2	7,86819688189	39,3224740252	299,871758854	2,0	6,0	 
chain supply	supply chain	supply chain	2	4,72091812914	21,6793168355	249,092385084	3,0	14,0	 
network sensor	sensor network	sensor network|&|network sensor|&|sensor networks	2	12,589115011	49,0854019858	577,689133116	14,0	63,0	 
component network	network components	network components|&|network component|&|components of the network	2	7,86819688189	33,8686555404	457,913780387	4,0	16,0	 
network transport	transport network	transport network	2	6,29455750551	28,9057557807	319,769731785	3,0	21,0	 
freight network transportation	freight transportation network	freight transportation network	3	9,92855903949	43,2845053033	242,989850975	4,0	34,0	 
congestion pricing	congestion pricing	congestion pricing	2	6,29455750551	31,4579792202	351,817092785	2,0	12,0	 
provider service	service providers	service providers|&|service provider	2	7,86819688189	33,8686555404	307,4544763	4,0	24,0	 
freight traffic	freight traffic	freight traffic	2	4,72091812914	23,5934844151	228,342544847	2,0	17,0	 
growth rapid	rapid growth	rapid growth	2	4,72091812914	21,6793168355	379,106021317	3,0	17,0	 
equilibrium network transportation	transportation network equilibrium	transportation network equilibrium|&|equilibrium of the transportation network	3	11,9142708474	48,5138842348	386,366406984	4,0	16,0	 
growth practice principle smart	smart growth principles into practice	smart growth principles into practice	5	3,9714236158	18,924075827	364,688186613	2,0	18,0	 
light traffic	traffic light	traffic light	2	6,29455750551	31,4579792202	222,84050094	2,0	13,0	 
design engineering network	engineering design network	engineering design network	3	3,9714236158	18,924075827	709,949195954	2,0	3,0	 
network route	route network	route network|&|network route	2	4,72091812914	23,5934844151	216,828260674	2,0	22,0	 
Euclidean plane	Euclidean plane	Euclidean plane	2	6,29455750551	28,9057557807	629,368936415	3,0	10,0	 
public system transportation	public transportation system	public transportation system	3	5,95713542369	25,970703182	413,627107594	3,0	18,0	 
intelligent system transportation	intelligent transportation system	intelligent transportation system|&|intelligent transportation systems	3	27,7999653106	85,0765929618	340,31334942	11,0	48,0	 
cost system	system cost	system cost	2	4,72091812914	21,6793168355	245,875130506	3,0	24,0	 
economic growth	economic growth	economic growth	2	6,29455750551	28,9057557807	248,054188686	3,0	27,0	 
application transportation	transportation applications	transportation applications	2	4,72091812914	21,6793168355	209,62024649	3,0	13,0	 
model network	network model	network model|&|network models	2	7,86819688189	32,1129181458	282,202713302	5,0	26,0	 
city network public transportation	city public transportation network	city public transportation network|&|public transportation network of the city	4	7,94284723159	37,8481516541	371,143404392	2,0	13,0	 
network neural wavelet	wavelet neural network	wavelet neural network	3	5,95713542369	28,3861137406	304,450445489	2,0	8,0	 
quality service	service quality	service quality|&|quality of service	2	6,29455750551	28,9057557807	229,109491911	3,0	14,0	 
industry transportation	transportation industry	transportation industry	2	4,72091812914	23,5934844151	268,665212778	2,0	16,0	 
private sector	private sector	private sector	2	4,72091812914	23,5934844151	235,962132915	2,0	10,0	 
choice model route	route choice model	route choice model	3	3,9714236158	18,924075827	274,858540783	2,0	23,0	 
mode other transport	other modes of transport	other modes of transport	4	3,9714236158	18,924075827	449,585155164	2,0	13,0	 
growth urban	urban growth	urban growth	2	7,86819688189	39,3224740252	340,64542922	2,0	16,0	 
design system transportation	design of a transportation system	design of a transportation system|&|transportation system design	5	3,9714236158	18,924075827	359,188857942	2,0	8,0	 
activity centre	activity centres	activity centres	2	4,72091812914	23,5934844151	504,941074646	2,0	16,0	 
maritime network transportation worldwide	worldwide maritime transportation network	worldwide maritime transportation network	4	3,9714236158	21,6768569091	237,515243782	1,0	6,0	 
freight network	freight network	freight network	2	9,44183625827	40,6423866485	243,491963718	4,0	32,0	 
choice model	choice models	choice models|&|choice model	2	4,72091812914	23,5934844151	277,544679489	3,0	30,0	 
development sustainable	sustainable development	sustainable development	2	4,72091812914	23,5934844151	253,806768729	2,0	13,0	 
choice realistic route traveler	realistic traveler route choices	realistic traveler route choices	4	3,9714236158	21,6768569091	230,543363029	1,0	13,0	 
analysis performance	performance analysis	performance analysis	2	4,72091812914	23,5934844151	396,2181205	2,0	8,0	 
growth rate	growth rates	growth rates|&|growth rate	2	6,29455750551	31,4579792202	795,226037427	2,0	9,0	 
population urban	urban population	urban population	2	4,72091812914	23,5934844151	557,113683931	2,0	6,0	 
network transportation	transportation network	transportation network|&|transportation networks|&|network transportation	2	180,968528284	268,937692514	247,334779637	100,0	590,0	 
degree distribution	degree distribution	degree distribution	2	6,29455750551	28,9057557807	369,812888356	3,0	18,0	 
freight railway transportation	railway freight transportation	railway freight transportation	3	5,95713542369	32,5152853637	235,200252246	1,0	5,0	 
network road	road network	road network|&|road networks	2	18,8836725165	68,1956089336	208,416631197	10,0	67,0	 
optimization problem	optimization problem	optimization problem	2	7,86819688189	32,1129181458	208,340295055	5,0	39,0	 
city network transportation	city transportation network	city transportation network|&|transportation network of the city	3	7,94284723159	37,8481516541	460,478975431	2,0	11,0	 
efficiency network transportation	transportation network efficiency	transportation network efficiency|&|efficiency of the transportation network	3	13,8999826553	60,5983074246	652,80305216	3,0	13,0	 
demand traffic	traffic demand	traffic demand	2	11,0154756347	44,9580854041	232,457391732	5,0	44,0	 
public transportation	public transportation	public transportation	2	18,8836725165	73,6281029786	619,14083797	6,0	21,0	 
first stage	first stage	first stage	2	4,72091812914	23,5934844151	291,747985777	2,0	15,0	 
