"x";"y";"moran";"distance";"entropy";"slope"
"151";7501;1;0.0526350693984304;0.00651762514967219;0.830565175258573;-1.29466011443597
"152";7551;1;0.0521704443272479;0.00619534707334804;0.844592526380716;-1.1887912274463
"153";7601;1;0.0502776148665083;0.00805169718955173;0.87766587765438;-1.06614312369618
"154";7651;1;0.0440320590886061;0.011311545162209;0.864245436834713;-0.951876964473109
"155";7701;1;0.047134233888778;0.0101493684882256;0.882902456470933;-0.856088886676106
"156";7751;1;0.04784574459867;0.00976706409711336;0.878177318476937;-0.838648508867855
"157";7801;1;0.0516313327674648;0.00912289145239203;0.846127049162819;-0.860355042747583
"158";7851;1;0.0427378740364669;0.00528383562813516;0.862524107357283;-0.920317108271051
"159";7901;1;0.0261468561779698;0.00340545581293936;0.829529948500452;-0.957320235528081
"160";7951;1;0.0328580945379608;0.00417507059853344;0.843410086594475;-1.0136803904354
"161";8001;1;0.0359509956178371;0.00402261606489858;0.869715947350151;-0.979251018688321
"162";8051;1;0.163967836810191;0.0682796009467509;0.904871799476171;-0.84916702313068
"163";8101;1;0.0829068752040018;0.00666294744033654;0.888766492331269;-0.863382399167811
"164";8151;1;0.0798610501913845;0.00723797504804529;0.85982014367442;-0.939459289949121
"165";8201;1;0.0748736690728935;0.0067996792022955;0.86444478885472;-0.921295029988354
"166";8251;1;0.0681724586450515;0.00789313638502128;0.886853738152014;-0.860240636844722
"167";8301;1;0.089276609538724;0.0622263789691946;0.89973941866098;-0.762017393083682
"168";8351;1;0.10581232942868;0.0388328253718731;0.919151332499987;-0.569226167160427
"169";8401;1;0.0977235064178521;0.0346112666516482;0.883929424376468;-0.691705465261689
"170";8451;1;0.10008640964446;0.0260466321461267;0.832419592950424;-0.986876896618265
"171";8501;1;0.0789631795216419;0.0234236891250639;0.802719391428794;-1.08471491567367
"172";8551;1;0.073223755779025;0.0265628964459224;0.794725724486952;-1.10897177757296
"173";8601;1;0.0564735349679706;0.0257763774224098;0.806225545750974;-1.06052579348891
"174";8651;1;0.0508285037414955;0.0229537337688363;0.812880092758907;-0.986759029354874
"175";8701;1;0.0377154371167551;0.00208620543360354;0.67816765912544;-1.19378252986461
"176";8751;1;0.0369559409502982;0.00216134545925176;0.7012796209731;-1.22854267406221
"177";8801;1;0.0366867535396642;0.00223905756853776;0.704333445963742;-1.21654223042162
"178";8851;1;0.0378919569011368;0.00264960772152593;0.707547633188799;-1.3993432892032
"179";1;51;NA;NA;NA;NA
"180";51;51;NA;NA;NA;NA
"181";101;51;NA;NA;NA;NA
"182";151;51;NA;NA;NA;NA
"183";201;51;NA;NA;NA;NA
"184";251;51;NA;NA;NA;NA
"185";301;51;NA;NA;NA;NA
"186";351;51;NA;NA;NA;NA
"187";401;51;NA;NA;NA;NA
"188";451;51;NA;NA;NA;NA
"189";501;51;NA;NA;NA;NA
"190";551;51;NA;NA;NA;NA
"191";601;51;NA;NA;NA;NA
"192";651;51;NA;NA;NA;NA
"193";701;51;NA;NA;NA;NA
"194";751;51;NA;NA;NA;NA
"195";801;51;NA;NA;NA;NA
"196";851;51;NA;NA;NA;NA
"197";901;51;NA;NA;NA;NA
"198";951;51;NA;NA;NA;NA
"199";1001;51;NA;NA;NA;NA
"200";1051;51;NA;NA;NA;NA
"201";1101;51;NA;NA;NA;NA
"202";1151;51;NA;NA;NA;NA
"203";1201;51;NA;NA;NA;NA
"204";1251;51;NA;NA;NA;NA
"205";1301;51;NA;NA;NA;NA
"206";1351;51;NA;NA;NA;NA
"207";1401;51;NA;NA;NA;NA
"208";1451;51;NA;NA;NA;NA
"209";1501;51;NA;NA;NA;NA
"210";1551;51;NA;NA;NA;NA
"211";1601;51;NA;NA;NA;NA
"212";1651;51;NA;NA;NA;NA
"213";1701;51;NA;NA;NA;NA
"214";1751;51;NA;NA;NA;NA
"215";1801;51;NA;NA;NA;NA
"216";1851;51;NA;NA;NA;NA
"217";1901;51;NA;NA;NA;NA
"218";1951;51;NA;NA;NA;NA
"219";2001;51;NA;NA;NA;NA
"220";2051;51;NA;NA;NA;NA
"221";2101;51;NA;NA;NA;NA
"222";2151;51;NA;NA;NA;NA
"223";2201;51;NA;NA;NA;NA
"224";2251;51;NA;NA;NA;NA
"225";2301;51;NA;NA;NA;NA
"226";2351;51;NA;NA;NA;NA
"227";2401;51;NA;NA;NA;NA
"228";2451;51;NA;NA;NA;NA
"229";2501;51;NA;NA;NA;NA
"230";2551;51;NA;NA;NA;NA
"231";2601;51;NA;NA;NA;NA
"232";2651;51;NA;NA;NA;NA
"233";2701;51;NA;NA;NA;NA
"234";2751;51;NA;NA;NA;NA
"235";2801;51;NA;NA;NA;NA
"236";2851;51;NA;NA;NA;NA
"237";2901;51;NA;NA;NA;NA
"238";2951;51;NA;NA;NA;NA
"239";3001;51;NA;NA;NA;NA
"240";3051;51;NA;NA;NA;NA
"241";3101;51;NA;NA;NA;NA
"242";3151;51;NA;NA;NA;NA
"243";3201;51;NA;NA;NA;NA
"244";3251;51;NA;NA;NA;NA
"245";3301;51;NA;NA;NA;NA
"246";3351;51;NA;NA;NA;NA
"247";3401;51;NA;NA;NA;NA
"248";3451;51;NA;NA;NA;NA
"249";3501;51;NA;NA;NA;NA
"250";3551;51;NA;NA;NA;NA
"251";3601;51;NA;NA;NA;NA
"252";3651;51;NA;NA;NA;NA
"253";3701;51;NA;NA;NA;NA
"254";3751;51;NA;NA;NA;NA
"255";3801;51;NA;NA;NA;NA
"256";3851;51;NA;NA;NA;NA
"257";3901;51;NA;NA;NA;NA
"258";3951;51;NA;NA;NA;NA
"259";4001;51;NA;NA;NA;NA
"260";4051;51;NA;NA;NA;NA
"261";4101;51;NA;NA;NA;NA
"262";4151;51;NA;NA;NA;NA
"263";4201;51;NA;NA;NA;NA
"264";4251;51;NA;NA;NA;NA
"265";4301;51;NA;NA;NA;NA
"266";4351;51;NA;NA;NA;NA
"267";4401;51;NA;NA;NA;NA
"268";4451;51;NA;NA;NA;NA
"269";4501;51;NA;NA;NA;NA
"270";4551;51;NA;NA;NA;NA
"271";4601;51;NA;NA;NA;NA
"272";4651;51;NA;NA;NA;NA
"273";4701;51;NA;NA;NA;NA
"274";4751;51;NA;NA;NA;NA
"275";4801;51;NA;NA;NA;NA
"276";4851;51;NA;NA;NA;NA
"277";4901;51;NA;NA;NA;NA
"278";4951;51;NA;NA;NA;NA
"279";5001;51;NA;NA;NA;NA
"280";5051;51;NA;NA;NA;NA
"281";5101;51;NA;NA;NA;NA
"282";5151;51;NA;NA;NA;NA
"283";5201;51;NA;NA;NA;NA
"284";5251;51;NA;NA;NA;NA
"285";5301;51;NA;NA;NA;NA
"286";5351;51;NA;NA;NA;NA
"287";5401;51;NA;NA;NA;NA
"288";5451;51;NA;NA;NA;NA
"289";5501;51;NA;NA;NA;NA
"290";5551;51;NA;NA;NA;NA
"291";5601;51;NA;NA;NA;NA
"292";5651;51;NA;NA;NA;NA
"293";5701;51;NA;NA;NA;NA
"294";5751;51;NA;NA;NA;NA
"295";5801;51;NA;NA;NA;NA
"296";5851;51;NA;NA;NA;NA
"297";5901;51;NA;NA;NA;NA
"298";5951;51;NA;NA;NA;NA
"299";6001;51;NA;NA;NA;NA
"300";6051;51;NA;NA;NA;NA
"301";6101;51;NA;NA;NA;NA
"302";6151;51;NA;NA;NA;NA
"303";6201;51;NA;NA;NA;NA
"304";6251;51;NA;NA;NA;NA
"305";6301;51;NA;NA;NA;NA
"306";6351;51;NA;NA;NA;NA
"307";6401;51;NA;NA;NA;NA
"308";6451;51;NA;NA;NA;NA
"309";6501;51;NA;NA;NA;NA
"310";6551;51;NA;NA;NA;NA
"311";6601;51;NA;NA;NA;NA
"312";6651;51;NA;NA;NA;NA
"313";6701;51;NA;NA;NA;NA
"314";6751;51;NA;NA;NA;NA
"315";6801;51;NA;NA;NA;NA
"316";6851;51;NA;NA;NA;NA
"317";6901;51;NA;NA;NA;NA
"318";6951;51;NA;NA;NA;NA
"319";7001;51;NA;NA;NA;NA
"320";7051;51;NA;NA;NA;NA
