"x";"y";"moran";"distance";"entropy";"slope"
"1";1;1;NA;NA;NA;NA
"2";51;1;NA;NA;NA;NA
"3";101;1;NA;NA;NA;NA
"4";151;1;NA;NA;NA;NA
"5";201;1;NA;NA;NA;NA
"6";251;1;NA;NA;NA;NA
"7";301;1;NA;NA;NA;NA
"8";351;1;NA;NA;NA;NA
"9";1;51;NA;NA;NA;NA
"10";51;51;NA;NA;NA;NA
"11";101;51;NA;NA;NA;NA
"12";151;51;NA;NA;NA;NA
"13";201;51;NA;NA;NA;NA
"14";251;51;NA;NA;NA;NA
"15";301;51;NA;NA;NA;NA
"16";351;51;NA;NA;NA;NA
"17";1;101;NA;NA;NA;NA
"18";51;101;NA;NA;NA;NA
"19";101;101;NA;NA;NA;NA
"20";151;101;NA;NA;NA;NA
"21";201;101;NA;NA;NA;NA
"22";251;101;NA;NA;NA;NA
"23";301;101;NA;NA;NA;NA
"24";351;101;NA;NA;NA;NA
"25";1;151;NA;NA;NA;NA
"26";51;151;NA;NA;NA;NA
"27";101;151;NA;NA;NA;NA
"28";151;151;NA;NA;NA;NA
"29";201;151;NA;NA;NA;NA
"30";251;151;NA;NA;NA;NA
"31";301;151;NA;NA;NA;NA
"32";351;151;NA;NA;NA;NA
"33";1;201;NA;NA;NA;NA
"34";51;201;NA;NA;NA;NA
"35";101;201;NA;NA;NA;NA
"36";151;201;NA;NA;NA;NA
"37";201;201;NA;NA;NA;NA
"38";251;201;NA;NA;NA;NA
"39";301;201;NA;NA;NA;NA
"40";351;201;NA;NA;NA;NA
"41";1;251;NA;NA;NA;NA
"42";51;251;NA;NA;NA;NA
"43";101;251;NA;NA;NA;NA
"44";151;251;NA;NA;NA;NA
"45";201;251;NA;NA;NA;NA
"46";251;251;NA;NA;NA;NA
"47";301;251;NA;NA;NA;NA
"48";351;251;NA;NA;NA;NA
"49";1;301;NA;NA;NA;NA
"50";51;301;NA;NA;NA;NA
"51";101;301;NA;NA;NA;NA
"52";151;301;NA;NA;NA;NA
"53";201;301;NA;NA;NA;NA
"54";251;301;NA;NA;NA;NA
"55";301;301;NA;NA;NA;NA
"56";351;301;NA;NA;NA;NA
"57";1;351;NA;NA;NA;NA
"58";51;351;NA;NA;NA;NA
"59";101;351;NA;NA;NA;NA
"60";151;351;NA;NA;NA;NA
"61";201;351;NA;NA;NA;NA
"62";251;351;NA;NA;NA;NA
"63";301;351;NA;NA;NA;NA
"64";351;351;NA;NA;NA;NA
