"lonmin" "latmin" "totalPop" "maxPop" "minPop" "rankSizeAlpha" "rankSizeRSquared" "moran" "averageDistance" "entropy" "vcount" "ecount" "gamma" "meanDegree" "mu" "alpha" "meanLinkLength" "meanNodePop" "meanClustCoef" "components" "meanBetweenness" "alphaBetweenness" "euclPerf" "diameter" "meanCloseness" "alphaCloseness.x" "meanTravelTime" "alphaTravelTime.x" "alphaAccessibility" "meanAccessibility" "modularity"
"lonmin" 1 0.182398023602566 0.156344151229349 0.167499007530182 0.0734461874144193 -0.0174707324158249 0.0799603442031688 -0.146350222423753 0.113230442767638 0.277691002973083 0.14009183520163 0.135739255711764 -0.13779336090599 0.136056290827361 0.124563869415108 0.0554480087756594 -0.0273285669742036 0.166013387014976 0.0248046415883934 0.110583837157737 -0.081884791569312 -0.135815489176112 0.0966280006551926 0.166183717977766 -0.129453946041646 0.0157930704772539 0.128114052858971 -0.0476440942775814 -0.0865507083460419 0.0857940921876207 0.163942046297002
"latmin" 0.182398023602566 1 -0.0773478453544256 -0.0790776501751746 -0.0313098779157216 -0.147364908044309 0.13483693420131 -0.152554960025395 -0.174153716724085 -0.193272838738161 -0.0862423054718783 -0.0813752573927304 0.13514772122725 -0.0727858071388947 -0.0701493029220606 0.0127980253570286 0.103247032714484 -0.0764059930912652 -0.0143794458598689 -0.124313263215075 0.0179559695038076 0.100044955294947 -0.0632550747702205 -0.111649176728474 0.0120729291309962 0.0515936583825383 -0.0694709017853422 0.0961597548665683 -0.00698121012257346 -0.0850603296540167 -0.151241631587479
"totalPop" 0.156344151229349 -0.0773478453544256 1 0.709012956595849 0.488963497058411 0.18623627979211 0.0827404461369325 0.270719204311161 0.0795992801581366 0.253912486813593 0.341243910198747 0.337228141122158 -0.205451815848487 0.224318897572915 0.323092629098664 0.106511093548565 -0.0925285973573661 0.215206396607542 0.023231056713392 0.210100601364199 -0.112725000759948 -0.213680861436583 0.293177534337991 0.261387700076307 -0.131430877080137 0.0318475406530759 0.20397626310183 -0.0460407042505118 0.0243386210221099 0.215985479160581 0.259092655569352
"maxPop" 0.167499007530182 -0.0790776501751746 0.709012956595849 1 0.197454874995101 -0.0653058306796289 0.210014919147793 0.17734521516689 -0.119892904240499 0.13422288240093 0.227831843087195 0.221914752379738 -0.180676540462661 0.180920046622124 0.206047915805366 0.0769803266888161 -0.0812089846164562 0.187553164963211 0.0212418360599471 0.168834190355353 -0.0945707322060226 -0.183571714282159 0.175765754596795 0.215835180333148 -0.113000831783982 0.0134656404767827 0.157782702659962 -0.0573377364515103 -0.00526995809047935 0.137189716514192 0.221184400364346
"minPop" 0.0734461874144193 -0.0313098779157216 0.488963497058411 0.197454874995101 1 0.39518330675919 0.28670160395079 -0.0203571135313624 0.199524734369255 0.250970421647147 0.160830745589369 0.160236513727606 -0.126107536437833 0.129147832379067 0.156154081538706 0.056797008471663 -0.0266309679376317 0.252440371867815 0.00570481197633839 0.0966062523349705 -0.0584916067007533 -0.117269698941534 0.148156476885763 0.16576466199514 -0.0967352018384111 0.00367993223613375 0.131592665022673 -0.0308705533901988 0.0343177612365365 0.187375985004528 0.143008409261456
"rankSizeAlpha" -0.0174707324158249 -0.147364908044309 0.18623627979211 -0.0653058306796289 0.39518330675919 1 -0.0385983397976752 0.109628181801699 0.711453676795359 0.852781369789227 0.0764446691900751 0.0732575725559136 -0.146156081358265 0.114616488010932 0.0654422560313812 0.0321943116442051 -0.0337083137813379 0.19418143149898 0.00780689223577511 0.0888795125850548 -0.051209033037968 -0.12074943969536 0.0449885701322958 0.168464403339144 -0.113788079380525 -0.0244587311658955 0.11986340531388 -0.0636201566284375 0.0657162806964086 0.212502197744755 0.152380588012431
"rankSizeRSquared" 0.0799603442031688 0.13483693420131 0.0827404461369325 0.210014919147793 0.28670160395079 -0.0385983397976752 1 -0.298804131031763 -0.199805807735557 -0.206835990220649 0.0178804746758087 0.0178182866516492 -0.0306426107251739 0.0427687930017187 0.0173603105631003 0.0304534261836298 0.0141249814311691 0.0881997438134864 0.00846368331342248 0.00356947030888206 -0.0166008878194263 -0.0303984086098025 0.0033360487586518 0.0621619491836334 -0.0431780736556711 0.00582591546878887 0.0521157701364816 0.00458256936358812 0.0261725285876894 0.0587019621668971 0.0328001579578211
"moran" -0.146350222423753 -0.152554960025395 0.270719204311161 0.17734521516689 -0.0203571135313624 0.109628181801699 -0.298804131031763 1 0.0642149528161767 0.283250453137762 0.12434958431814 0.122332715132963 -0.100586697712286 0.0912277182063854 0.115970268999752 0.0335803448501196 -0.0789201513183575 -0.00270314739668113 0.014026045298028 0.0903219135380454 -0.042585674208079 -0.100480650772133 0.101257497585142 0.0876609335653572 -0.0245356684300373 0.00190585192914213 0.0585928924017769 -0.03033046130055 0.0283500799588569 0.0792635709890155 0.12226974116294
"averageDistance" 0.113230442767638 -0.174153716724085 0.0795992801581366 -0.119892904240499 0.199524734369255 0.711453676795359 -0.199805807735557 0.0642149528161767 1 0.872250935476259 0.0722035952859997 0.0682218089435879 -0.128113692581627 0.0973291763558275 0.0588909442329955 0.0239786693662986 -0.0298891951164113 0.14752372958346 0.00738446073563485 0.0823561939448223 -0.044673763218885 -0.107042366891495 0.0420545780943313 0.147743055732108 -0.101752526289945 -0.017588411020223 0.107839822541408 -0.0573841292454463 0.0181847665882485 0.174853947069935 0.136598742849625
"entropy" 0.277691002973083 -0.193272838738161 0.253912486813593 0.13422288240093 0.250970421647147 0.852781369789227 -0.206835990220649 0.283250453137762 0.872250935476259 1 0.0862245190344364 0.0774904892296924 -0.260862892778845 0.193273022001201 0.0585818820565061 0.0360367825039236 -0.0901026631999624 0.236219873357808 0.0211063406274468 0.125272192554968 -0.0574678643599621 -0.214692742083823 0.0306278925527444 0.238990460923126 -0.129920074061318 -0.0623527235520538 0.163153092019593 -0.128062507175011 -0.10135733257043 0.247051935468154 0.263247100116465
"vcount" 0.14009183520163 -0.0862423054718783 0.341243910198747 0.227831843087195 0.160830745589369 0.0764446691900751 0.0178804746758087 0.12434958431814 0.0722035952859997 0.0862245190344364 1 0.9970141237228 -0.361578095811428 0.507544206900646 0.973039147964042 0.306064434465619 -0.252010677900078 -0.0237676784260121 0.0386422259958579 0.425340867547441 -0.227677109524573 -0.413873451466625 0.922735179254082 0.452974934771488 -0.163265221949551 0.178119780046753 0.379234283747408 0.0457445281455022 0.139540497170031 0.37570239749825 0.504670851860461
"ecount" 0.135739255711764 -0.0813752573927304 0.337228141122158 0.221914752379738 0.160236513727606 0.0732575725559136 0.0178182866516492 0.122332715132963 0.0682218089435879 0.0774904892296924 0.9970141237228 1 -0.33941667267374 0.500618937588081 0.987943659063724 0.312939367858025 -0.241911308774285 -0.0258442446559515 0.0436958947333668 0.3967509070097 -0.219495094334656 -0.39240976882947 0.931440692389933 0.429729601829156 -0.152874452697913 0.181901970348611 0.364225980516326 0.0607485104700728 0.142103428463866 0.359118375908012 0.478591228420976
"gamma" -0.13779336090599 0.13514772122725 -0.205451815848487 -0.180676540462661 -0.126107536437833 -0.146156081358265 -0.0306426107251739 -0.100586697712286 -0.128113692581627 -0.260862892778845 -0.361578095811428 -0.33941667267374 1 -0.758413724490211 -0.288862238778324 -0.146380011233887 0.469178505941602 -0.151476649403669 -0.0675210150191078 -0.401640508815278 -0.0278990091128912 0.76512875592424 -0.191883754062928 -0.630049861662391 0.078208906170732 0.316429969123464 -0.393940532138346 0.435898172001142 -0.00810162092748488 -0.420490990275453 -0.916459596005086
"meanDegree" 0.136056290827361 -0.0727858071388947 0.224318897572915 0.180920046622124 0.129147832379067 0.114616488010932 0.0427687930017187 0.0912277182063854 0.0973291763558275 0.193273022001201 0.507544206900646 0.500618937588081 -0.758413724490211 1 0.477702300750175 0.698996022314778 -0.497826845936343 0.0493149289127167 0.390891924807796 0.161256806697508 0.0163386655763397 -0.732048991740636 0.314455287734604 0.603701777796669 0.110343874277591 -0.0308403728790263 0.46401989797787 -0.0549444018351573 0.261374345394462 0.491854547435257 0.715873874899287
"mu" 0.124563869415108 -0.0701493029220606 0.323092629098664 0.206047915805366 0.156154081538706 0.0654422560313812 0.0173603105631003 0.115970268999752 0.0588909442329955 0.0585818820565061 0.973039147964042 0.987943659063724 -0.288862238778324 0.477702300750175 1 0.321076385519981 -0.217298813765591 -0.0295368673505119 0.0530393887484877 0.33227371884401 -0.199131065775717 -0.342466198979824 0.93208839121333 0.375372604573363 -0.129284198129899 0.186202736150992 0.327564902293713 0.0897332833425432 0.144677637155187 0.318421392796372 0.417670294502995
