"lonmin" "latmin" "totalPop" "maxPop" "minPop" "rankSizeAlpha" "rankSizeRSquared" "moran" "averageDistance" "entropy" "vcount" "ecount" "gamma" "meanDegree" "mu" "alpha" "meanLinkLength" "meanNodePop" "meanClustCoef" "components" "meanBetweenness" "alphaBetweenness" "euclPerf" "diameter" "meanCloseness" "alphaCloseness.x" "meanTravelTime" "alphaTravelTime.x" "alphaAccessibility" "meanAccessibility" "modularity"
"alpha" 0.0554480087756594 0.0127980253570286 0.106511093548565 0.0769803266888161 0.056797008471663 0.0321943116442051 0.0304534261836298 0.0335803448501196 0.0239786693662986 0.0360367825039236 0.306064434465619 0.312939367858025 -0.146380011233887 0.698996022314778 0.321076385519981 1 -0.27958026333445 -0.061834439727563 0.706914725100621 -0.115782364988093 0.0222408056377484 -0.325147972746689 0.206699319771758 0.247118808882823 0.290563160335317 0.143176203564964 0.257702282354434 0.235472035180431 0.337749407248909 0.285175682940576 0.14296866054794
"meanLinkLength" -0.0273285669742036 0.103247032714484 -0.0925285973573661 -0.0812089846164562 -0.0266309679376317 -0.0337083137813379 0.0141249814311691 -0.0789201513183575 -0.0298891951164113 -0.0901026631999624 -0.252010677900078 -0.241911308774285 0.469178505941602 -0.497826845936343 -0.217298813765591 -0.27958026333445 1 0.191982891422606 -0.168895420080367 -0.177506805687898 0.0368863109354717 0.431083926400047 -0.147444873043968 -0.016566611988133 -0.396177515948432 0.00956851392039624 0.161791212393379 0.115525842037244 -0.153955708748949 0.0316140805503151 -0.450753096462007
"meanNodePop" 0.166013387014976 -0.0764059930912652 0.215206396607542 0.187553164963211 0.252440371867815 0.19418143149898 0.0881997438134864 -0.00270314739668113 0.14752372958346 0.236219873357808 -0.0237676784260121 -0.0258442446559515 -0.151476649403669 0.0493149289127167 -0.0295368673505119 -0.061834439727563 0.191982891422606 1 -0.020183027190764 0.0782547288586402 -0.00685156779162473 -0.0823154581918809 -0.0294442225852412 0.230953642713227 -0.19944291962305 -0.13428863897869 0.188855372518055 -0.146805465131978 -0.0970165928781121 0.168644264050944 0.124577405014261
"meanClustCoef" 0.0248046415883934 -0.0143794458598689 0.023231056713392 0.0212418360599471 0.00570481197633839 0.00780689223577511 0.00846368331342248 0.014026045298028 0.00738446073563485 0.0211063406274468 0.0386422259958579 0.0436958947333668 -0.0675210150191078 0.390891924807796 0.0530393887484877 0.706914725100621 -0.168895420080367 -0.020183027190764 1 -0.013673708985022 -0.0508683556160941 -0.130401852084573 0.0260885355264391 0.0178430035513964 0.284630674841929 -0.109684814114215 -0.000586342352286433 -0.0438881240256749 0.0793267156605272 0.0144876411817698 0.0657749156808721
"components" 0.110583837157737 -0.124313263215075 0.210100601364199 0.168834190355353 0.0966062523349705 0.0888795125850548 0.00356947030888206 0.0903219135380454 0.0823561939448223 0.125272192554968 0.425340867547441 0.3967509070097 -0.401640508815278 0.161256806697508 0.33227371884401 -0.115782364988093 -0.177506805687898 0.0782547288586402 -0.013673708985022 1 -0.390028369184394 -0.370957653799229 0.338120560945249 0.245476426405841 -0.238883147448021 -0.151592787449243 -0.0370181388410492 -0.516254503157113 -0.223134906248942 -0.0508386489637114 0.530144716453169
"meanBetweenness" -0.081884791569312 0.0179559695038076 -0.112725000759948 -0.0945707322060226 -0.0584916067007533 -0.051209033037968 -0.0166008878194263 -0.042585674208079 -0.044673763218885 -0.0574678643599621 -0.227677109524573 -0.219495094334656 -0.0278990091128912 0.0163386655763397 -0.199131065775717 0.0222408056377484 0.0368863109354717 -0.00685156779162473 -0.0508683556160941 -0.390028369184394 1 -0.05441070620937 -0.15613069722091 -0.0156557341243753 0.237196888261072 -0.316730550976862 0.184868144918855 0.0721030801942433 0.178171706022572 0.111182188783239 -0.294907812080432
"alphaBetweenness" -0.135815489176112 0.100044955294947 -0.213680861436583 -0.183571714282159 -0.117269698941534 -0.12074943969536 -0.0303984086098025 -0.100480650772133 -0.107042366891495 -0.214692742083823 -0.413873451466625 -0.39240976882947 0.76512875592424 -0.732048991740636 -0.342466198979824 -0.325147972746689 0.431083926400047 -0.0823154581918809 -0.130401852084573 -0.370957653799229 -0.05441070620937 1 -0.246828600678926 -0.583379408412468 0.0490786420479921 0.203138515123125 -0.38997624553643 0.3179660165468 -0.106907728871867 -0.389527716466598 -0.766147669988721
"euclPerf" 0.0966280006551926 -0.0632550747702205 0.293177534337991 0.175765754596795 0.148156476885763 0.0449885701322958 0.0033360487586518 0.101257497585142 0.0420545780943313 0.0306278925527444 0.922735179254082 0.931440692389933 -0.191883754062928 0.314455287734604 0.93208839121333 0.206699319771758 -0.147444873043968 -0.0294442225852412 0.0260885355264391 0.338120560945249 -0.15613069722091 -0.246828600678926 1 0.27117330508687 -0.113081298112816 0.14035334649852 0.254581959075454 0.0652402019303085 0.100386297136849 0.217987706769289 0.301319326586139
"diameter" 0.166183717977766 -0.111649176728474 0.261387700076307 0.215835180333148 0.16576466199514 0.168464403339144 0.0621619491836334 0.0876609335653572 0.147743055732108 0.238990460923126 0.452974934771488 0.429729601829156 -0.630049861662391 0.603701777796669 0.375372604573363 0.247118808882823 -0.016566611988133 0.230953642713227 0.0178430035513964 0.245476426405841 -0.0156557341243753 -0.583379408412468 0.27117330508687 1 -0.369474011959758 -0.0807753643931927 0.852163391117357 -0.145666974132349 0.0980901681218171 0.827995992364842 0.663271320994081
"meanCloseness" -0.129453946041646 0.0120729291309962 -0.131430877080137 -0.113000831783982 -0.0967352018384111 -0.113788079380525 -0.0431780736556711 -0.0245356684300373 -0.101752526289945 -0.129920074061318 -0.163265221949551 -0.152874452697913 0.078208906170732 0.110343874277591 -0.129284198129899 0.290563160335317 -0.396177515948432 -0.19944291962305 0.284630674841929 -0.238883147448021 0.237196888261072 0.0490786420479921 -0.113081298112816 -0.369474011959758 1 -0.148224826621665 -0.356485623651935 0.047718551854551 0.164791812613301 -0.264647673381069 -0.20546441931877
"alphaCloseness.x" 0.0157930704772539 0.0515936583825383 0.0318475406530759 0.0134656404767827 0.00367993223613375 -0.0244587311658955 0.00582591546878887 0.00190585192914213 -0.017588411020223 -0.0623527235520538 0.178119780046753 0.181901970348611 0.316429969123464 -0.0308403728790263 0.186202736150992 0.143176203564964 0.00956851392039624 -0.13428863897869 -0.109684814114215 -0.151592787449243 -0.316730550976862 0.203138515123125 0.14035334649852 -0.0807753643931927 -0.148224826621665 1 0.0353002349215239 0.56532855000643 0.188707314954885 0.0386651293391525 -0.116177320790165
"meanTravelTime" 0.128114052858971 -0.0694709017853422 0.20397626310183 0.157782702659962 0.131592665022673 0.11986340531388 0.0521157701364816 0.0585928924017769 0.107839822541408 0.163153092019593 0.379234283747408 0.364225980516326 -0.393940532138346 0.46401989797787 0.327564902293713 0.257702282354434 0.161791212393379 0.188855372518055 -0.000586342352286433 -0.0370181388410492 0.184868144918855 -0.38997624553643 0.254581959075454 0.852163391117357 -0.356485623651935 0.0353002349215239 1 0.15199454593808 0.203624425591785 0.865083434464987 0.393906585198791
"alphaTravelTime.x" -0.0476440942775814 0.0961597548665683 -0.0460407042505118 -0.0573377364515103 -0.0308705533901988 -0.0636201566284375 0.00458256936358812 -0.03033046130055 -0.0573841292454463 -0.128062507175011 0.0457445281455022 0.0607485104700728 0.435898172001142 -0.0549444018351573 0.0897332833425432 0.235472035180431 0.115525842037244 -0.146805465131978 -0.0438881240256749 -0.516254503157113 0.0721030801942433 0.3179660165468 0.0652402019303085 -0.145666974132349 0.047718551854551 0.56532855000643 0.15199454593808 1 0.425260125186735 0.0958330717106601 -0.360587129984802
"alphaAccessibility" -0.0865507083460419 -0.00698121012257346 0.0243386210221099 -0.00526995809047935 0.0343177612365365 0.0657162806964086 0.0261725285876894 0.0283500799588569 0.0181847665882485 -0.10135733257043 0.139540497170031 0.142103428463866 -0.00810162092748488 0.261374345394462 0.144677637155187 0.337749407248909 -0.153955708748949 -0.0970165928781121 0.0793267156605272 -0.223134906248942 0.178171706022572 -0.106907728871867 0.100386297136849 0.0980901681218171 0.164791812613301 0.188707314954885 0.203624425591785 0.425260125186735 1 0.338521934600445 -0.0184911735976266
"meanAccessibility" 0.0857940921876207 -0.0850603296540167 0.215985479160581 0.137189716514192 0.187375985004528 0.212502197744755 0.0587019621668971 0.0792635709890155 0.174853947069935 0.247051935468154 0.37570239749825 0.359118375908012 -0.420490990275453 0.491854547435257 0.318421392796372 0.285175682940576 0.0316140805503151 0.168644264050944 0.0144876411817698 -0.0508386489637114 0.111182188783239 -0.389527716466598 0.217987706769289 0.827995992364842 -0.264647673381069 0.0386651293391525 0.865083434464987 0.0958330717106601 0.338521934600445 1 0.424648176409113
"modularity" 0.163942046297002 -0.151241631587479 0.259092655569352 0.221184400364346 0.143008409261456 0.152380588012431 0.0328001579578211 0.12226974116294 0.136598742849625 0.263247100116465 0.504670851860461 0.478591228420976 -0.916459596005086 0.715873874899287 0.417670294502995 0.14296866054794 -0.450753096462007 0.124577405014261 0.0657749156808721 0.530144716453169 -0.294907812080432 -0.766147669988721 0.301319326586139 0.663271320994081 -0.20546441931877 -0.116177320790165 0.393906585198791 -0.360587129984802 -0.0184911735976266 0.424648176409113 1
