835300,1013200,1019200,1296600,1366200
148800,149900,150900,186900,199000
165400,204900,198600,248700,275500
72200,75300,70100,82800,86400
29000,35000,32000,39000,42000
59600,77400,77000,94200,93400
109500,104600,108200,138000,145900
101200,93200,95500,114100,117700
35100,41600,44200,72300,79800
18800,19200,20000,23600,23800
49700,57900,61200,75200,78800
24900,29000,25500,38000,31300
100800,108900,107600,119200,124600
23300,23700,25800,30000,32000
29800,31400,35900,42800,45100
44400,42800,39800,55100,57700
23200,26700,24700,30800,33500
40900,49600,55200,62900,70400
35900,33500,35600,45800,45800
29700,35600,32400,39200,42000
40200,40300,42400,49200,50800
6900,9500,9600,10500,10500
31800,36200,31200,37700,37300
33500,35400,35800,38900,39600
29500,37200,46900,62100,64300
25600,24800,26200,30100,32300
16300,19900,23100,32400,32600
32700,42900,43600,52100,53900
36000,38400,39200,43900,45800
37600,41200,45300,76600,76400
39100,41900,37800,44100,45300
19800,23200,22400,26800,27100
24900,23800,24500,27400,29100
11300,12600,12400,16200,16200
21700,21900,21700,25900,25700
27100,29700,26500,38100,41600
17100,17600,18200,22700,21800
45000,46100,44400,49600,52100
41300,43000,41200,53500,53600
3800,3700,3800,4100,10300
8800,8200,9000,9500,9700
29200,29700,25000,39900,41300
5600,5700,5500,6800,8400
39100,25600,24500,26400,27400
23100,22000,22400,26800,29300
10400,11000,11100,13900,16100
18300,19000,18200,26400,25700
14600,14900,13900,17400,16500
18000,18500,18000,18800,19000
4800,5100,4100,5800,6100
