7338773,8153314,8495499,8673262
802492,956083,1064776,1104923
877297,1070234,1163757,1204189
427240,877474,932232,932933
307708,390062,435514,447848
326634,437822,507412,538030
458447,551268,609216,637349
325351,390979,451035,463060
219836,337476,375866,408768
133770,204620,209784,201966
299911,332849,363703,371888
230081,329077,387353,390849
323297,366433,385957,377421
172140,223284,350068,349059
205643,254226,277837,304639
145825,164132,180083,185130
149352,199449,244337,261079
290949,332269,334093,316503
121346,168616,209289,219048
153026,189292,226593,231543
123701,154492,207212,219148
45494,144332,144776,258035
157942,202306,251131,254343
84290,136760,160333,172405
222005,246691,263730,254024
151998,181938,206931,214472
163758,198144,217979,220122
132325,159917,186220,194040
143335,167117,196562,198775
135621,168881,190449,200426
114971,149770,178973,181879
140667,164695,188527,187216
121878,143336,185053,193389
79645,109199,124895,129833
88282,108715,120903,126694
118914,146045,165828,170454
82690,106336,117262,137540
112752,135080,150980,152962
97949,123023,130079,131319
69754,110779,119274,130072
57025,81392,103388,112382
95572,115568,125857,120408
129826,140287,141735,137891
98010,113916,126266,124877
68077,78318,96835,101868
67316,91831,104075,105802
76968,98346,105671,103730
73858,86332,99580,101222
54597,74312,86774,95283
95781,114281,132041,127872
