stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|complex network	2	7,86819688189	36,7255354984	302,039129438	5,0	22,0	 
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks|&|Urban network traffic|&|Urban traffic network	3	41,6999479659	129,822365841	294,03753957	15,0	110,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	101,371594178	2368,12501178	3,0	8,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows|&|flow of traffic|&|flows of traffic	2	53,5037387969	158,523244748	274,358575438	32,0	296,0	 
21st century	21st century	21st century	2	7,86819688189	34,9697981038	770,779178267	5,0	21,0	 
management strategy	management strategy	management strategy|&|management strategies	2	6,29455750551	29,3804283987	336,394483356	4,0	29,0	 
model two-fluid	two-fluid model	two-fluid model	2	6,29455750551	33,7434831866	303,7581673	2,0	27,0	 
result simulation	simulation results	simulation results|&|result of simulation	2	12,589115011	50,0347472218	236,134955498	8,0	78,0	 
layout network	network layout	network layout	2	6,29455750551	33,7434831866	258,228353142	6,0	43,0	 
state steady	steady state	steady state	2	6,29455750551	31,1912597471	253,040923501	3,0	19,0	 
path planning	path planning	path planning	2	6,29455750551	33,7434831866	239,251434627	2,0	7,0	 
period time	time periods	time periods|&|time period	2	6,29455750551	31,1912597471	295,963631796	4,0	36,0	 
level problem upper	upper level problem	upper level problem	3	13,8999826553	58,5448137045	208,257517319	5,0	77,0	 
multiple period time	multiple time periods	multiple time periods	3	9,92855903949	46,8894864391	274,451292207	3,0	28,0	 
flow link	link flows	link flows	2	9,44183625827	41,9637577245	204,105833431	5,0	59,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	40,7321365627	416,738459744	2,0	7,0	 
choice model route	route choice model	route choice model	3	33,7571007343	126,314301996	301,07943734	8,0	88,0	 
aromatic plant	aromatic plants	aromatic plants	2	7,86819688189	42,1793539832	2344,16526737	2,0	2,0	 
consumer surplus	consumer surplus	consumer surplus	2	6,29455750551	31,1912597471	227,773306396	3,0	44,0	 
enforcement law	law enforcement	law enforcement	2	6,29455750551	31,1912597471	1125,70523353	3,0	8,0	 
dynamics traffic	traffic dynamics	traffic dynamics	2	12,589115011	58,7608567975	212,394247453	4,0	44,0	 
assignment model	assignment model	assignment model|&|assignment models	2	23,6045906457	88,547938857	225,517773795	42,0	478,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	40,7321365627	214,830240601	2,0	29,0	 
network topology	network topology	network topology	2	7,86819688189	34,9697981038	211,304517614	5,0	38,0	 
demand network traffic	network traffic demand	network traffic demand|&|traffic demand across the network	3	9,92855903949	46,8894864391	457,282410865	3,0	18,0	 
congestion traffic	traffic congestion	traffic congestion	2	23,6045906457	86,2981810783	265,091488949	11,0	111,0	 
development regional	regional development	regional development	2	9,44183625827	50,6152247798	473,018654424	2,0	7,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	40,7321365627	391,399530665	2,0	8,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|network traffic models|&|traffic network models|&|model under a traffic network	3	31,7713889264	103,458791295	510,737609313	15,0	100,0	 
demand model	demand model	demand model	2	6,29455750551	31,1912597471	300,670596611	3,0	24,0	 
length path	path length	path length	2	6,29455750551	33,7434831866	563,40350945	2,0	10,0	 
engineering traffic	traffic engineering	traffic engineering	2	9,44183625827	41,9637577245	267,795887139	6,0	59,0	 
control traffic	traffic control	traffic control	2	20,4573118929	74,7917569345	232,291564009	11,0	102,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	29,3804283987	406,861739371	5,0	46,0	 
flow forecasting traffic	traffic flow forecasting	traffic flow forecasting	3	7,94284723159	37,5115891512	310,671163562	3,0	28,0	 
equilibrium network	network equilibrium	network equilibrium|&|equilibrium network	2	7,86819688189	36,7255354984	276,348374487	9,0	92,0	 
network neural	neural network	neural network	2	12,589115011	53,6564099186	365,939162596	6,0	34,0	 
design network problem transportation	transportation network design problem	transportation network design problem|&|transportation network design problems	4	31,7713889264	115,141918302	269,625438051	10,0	120,0	 
mode transportation	transportation modes	transportation modes	2	6,29455750551	31,1912597471	251,464113899	3,0	28,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	52,8398615977	329,310348731	4,0	32,0	 
management traffic	traffic management	traffic management	2	15,7363937638	64,6447366015	237,445952751	9,0	92,0	 
network road urban	urban road network	urban road network	3	7,94284723159	37,5115891512	235,785340186	3,0	42,0	 
development urban	urban development	urban development	2	11,0154756347	51,4157496978	671,31180435	4,0	16,0	 
network optimization problem	network optimization problems	network optimization problems	3	7,94284723159	40,7321365627	247,119473349	2,0	15,0	 
model traffic	traffic model	traffic model|&|traffic models|&|model of the traffic	2	18,8836725165	72,8279445594	523,321800611	17,0	103,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	28,1336918634	418,729502333	4,0	16,0	 
guidance route	route guidance	route guidance	2	14,1627543874	60,3634611584	259,10473208	7,0	70,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	30,549102422	496,417393973	2,0	11,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	59,0510955765	445,271466559	2,0	4,0	 
design model network	network design model	network design model|&|network design models	3	7,94284723159	35,2265743985	326,335948016	6,0	62,0	 
design network	network design	network design|&|design network|&|Network design	2	51,9300994205	158,810263486	313,970173362	60,0	652,0	 
model programming	programming model	programming model|&|programming models	2	17,3100331402	66,7589491795	204,298214637	18,0	247,0	 
demand uncertainty	demand uncertainty	demand uncertainty|&|uncertainty demand|&|Demand Uncertainty	2	36,1937056567	123,595329153	208,174818041	16,0	183,0	 
datum traffic	traffic data	traffic data|&|data traffic	2	18,8836725165	75,0521208328	288,058184432	8,0	61,0	 
column generation	column generation	column generation	2	6,29455750551	31,1912597471	226,481746297	3,0	30,0	 
network traffic	network traffic	network traffic|&|traffic network|&|traffic networks|&|Network traffic	2	141,627543874	287,296431235	458,187343982	89,0	583,0	 
network transport	transport network	transport network	2	7,86819688189	36,7255354984	259,892202547	4,0	28,0	 
article full	Full article	Full article	2	9,44183625827	40,2423074389	1033,7374444	6,0	13,0	 
application system	systems applications	systems applications|&|systems and applications	2	6,29455750551	33,7434831866	227,844836348	2,0	12,0	 
growth management	growth management	growth management	2	11,0154756347	54,5847045574	781,302015574	3,0	11,0	 
model simulation	simulation model	simulation model|&|simulation models	2	9,44183625827	41,9637577245	328,36305377	7,0	61,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	40,7321365627	849,990259513	2,0	10,0	 
consumption energy	energy consumption	energy consumption	2	11,0154756347	51,4157496978	222,42158802	4,0	29,0	 
assignment traffic	traffic assignment	traffic assignment	2	62,9455750551	189,426164133	297,440648163	59,0	589,0	 
network performance	network performance	network performance|&|performance of a network	2	26,7518693984	93,3355961667	275,816033428	13,0	116,0	 
flow network traffic	network traffic flow	network traffic flow	3	9,92855903949	46,8894864391	210,395516823	3,0	22,0	 
choice travel	travel choice	travel choice	2	6,29455750551	31,1912597471	240,213862247	3,0	23,0	 
infrastructure transportation	transportation infrastructure	transportation infrastructure	2	7,86819688189	42,1793539832	233,868215044	2,0	24,0	 
