stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
model turbulence	turbulence models	turbulence models|&|turbulence model	2	51,9300994205	174,25099347	197,316683094	20,0	163,0	 
SGS model	SGS model	SGS model	2	9,44183625827	49,5942950723	204,872967025	3,0	35,0	 
agreement experimental good measurement	good agreement with experimental measurements	good agreement with experimental measurements|&|good agreement with the experimental measurements	5	7,94284723159	39,873289991	287,87185044	3,0	29,0	 
outer wall	outer wall	outer wall	2	9,44183625827	46,8780480498	276,24625954	4,0	48,0	 
blood flow	blood flow	blood flow	2	47,2091812914	175,248326154	509,101889502	16,0	95,0	 
control flow	flow control	flow control	2	11,0154756347	50,224665039	198,32245192	6,0	15,0	 
heat transfer	heat transfer	heat transfer|&|Heat transfer	2	158,937577014	364,091101922	244,070796291	83,0	820,0	 
flow velocity	flow velocity	flow velocity|&|flow velocities|&|velocity of flow	2	15,7363937638	63,7109683241	410,294161854	18,0	134,0	 
friction velocity	friction velocity	friction velocity	2	15,7363937638	63,7109683241	329,137210293	19,0	200,0	 
apex divider flow	flow divider apex	flow divider apex	3	7,94284723159	43,0938374024	322,465017042	2,0	28,0	 
drop pressure	pressure drop	pressure drop	2	40,9146237858	146,418495974	201,816046039	17,0	137,0	 
field flow turbulent	turbulent flow field	turbulent flow field|&|turbulent flow fields	3	9,92855903949	44,7698501243	191,983308647	10,0	109,0	 
channel flow	channel flow	channel flow|&|channel flows|&|flow in a channel|&|flow in the channel	2	147,92210138	324,295602725	290,838906736	119,0	1034,0	 
energy kinetic turbulent	turbulent kinetic energy	turbulent kinetic energy	3	29,7856771185	105,848994988	224,337273936	14,0	125,0	 
flow laminar	laminar flow	laminar flow	2	23,6045906457	89,3734514233	272,96140995	13,0	81,0	 
jet wall	wall jet	wall jet|&|jet wall	2	9,44183625827	46,8780480498	242,601610268	4,0	27,0	 
duct heat square transfer	heat transfer in a square duct	heat transfer in a square duct	6	9,92855903949	49,8416124887	228,638319224	3,0	45,0	 
flow linear shear	linear shear flow	linear shear flow	3	13,8999826553	65,7794816669	270,029023185	4,0	27,0	 
blood flow pulsatile	pulsatile blood flow	pulsatile blood flow	3	9,92855903949	49,8416124887	278,397988497	3,0	22,0	 
parameter shear	shear parameter	shear parameter	2	18,8836725165	99,1885901446	388,176372613	3,0	27,0	 
channel flow turbulent	turbulent channel flow	turbulent channel flow|&|turbulent flow in a channel|&|turbulent channel flows|&|channel turbulent flows	3	148,928385592	328,627471275	293,981140014	61,0	552,0	 
Direct channel flow numerical simulation turbulent	Direct numerical simulation of turbulent channel flow	Direct numerical simulation of turbulent channel flow|&|Direct numerical simulation of the turbulent channel flow|&|Direct numerical simulation of a turbulent channel flow	7	11,9142708474	51,5515917401	213,06897407	6,0	47,0	 
flux heat turbulent	turbulent heat fluxes	turbulent heat fluxes|&|turbulent heat flux	3	23,8285416948	93,441541246	214,169395354	9,0	125,0	 
direct numerical result simulation	results of direct numerical simulation	results of direct numerical simulation|&|direct numerical simulation results|&|results from direct numerical simulation	5	9,92855903949	44,7698501243	190,143946468	5,0	53,0	 
characteristic flow	flow characteristics	flow characteristics|&|characteristics of the flow	2	9,44183625827	43,0497128906	318,961140539	6,0	48,0	 
diameter pipe	pipe diameter	pipe diameter	2	9,44183625827	43,0497128906	225,362018847	6,0	45,0	 
