stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
flow traffic	traffic flow	traffic flow	2	11,0154756347	51,7397576336	731,327265999	4,0	10,0	 
environment urban	urban environments	urban environments|&|urban environment	2	12,589115011	54,0267047023	374,805943644	6,0	11,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	36,9569697383	219,418121289	4,0	21,0	 
activity urban	urban activities	urban activities	2	6,29455750551	31,376407139	262,677951503	3,0	24,0	 
result simulation	simulation results	simulation results|&|results from simulation	2	9,44183625827	42,2414788124	381,694434988	5,0	29,0	 
decision support system	decision support system	decision support system	3	5,95713542369	28,3089143609	602,776606836	6,0	42,0	 
analysis network	network analysis	network analysis	2	14,1627543874	60,7800427901	446,637788151	6,0	22,0	 
sector transportation	transportation sector	transportation sector	2	4,72091812914	25,4464729338	282,206247438	2,0	10,0	 
environmental impact	environmental impacts	environmental impacts	2	7,86819688189	35,2012323436	234,889401212	5,0	41,0	 
assessment development residential sustainability urban	sustainability assessment of urban residential development	sustainability assessment of urban residential development	6	5,95713542369	30,7243249195	279,610272526	2,0	22,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	48,7828206677	148,24016949	610,501540267	39,0	215,0	 
dynamics urban	urban dynamics	urban dynamics	2	18,8836725165	69,5939870383	249,323299174	11,0	71,0	 
information land system urban	urban land information system	urban land information system	4	5,95713542369	30,7243249195	518,750344325	2,0	9,0	 
current scenario trend	current trends scenario	current trends scenario	3	5,95713542369	28,3089143609	223,826892201	3,0	42,0	 
network planning	network planning	network planning	2	6,29455750551	33,9286305785	245,197930216	2,0	15,0	 
3D visualization	3D visualization	3D visualization	2	6,29455750551	31,376407139	381,117979664	3,0	18,0	 
circulation general model	general circulation model	general circulation model	3	7,94284723159	35,4602043952	349,413398939	4,0	40,0	 
information model system	information system model	information system model	3	5,95713542369	30,7243249195	216,204793377	2,0	13,0	 
development residential	residential development	residential development	2	6,29455750551	31,376407139	270,161220456	3,0	31,0	 
resource water	water resources	water resources	2	6,29455750551	31,376407139	308,666056153	3,0	9,0	 
host plant	host plant	host plant|&|plant host	2	6,29455750551	31,376407139	2379,97791989	3,0	3,0	 
decision spatial support system	spatial decision support system	spatial decision support system	4	5,95713542369	28,3089143609	439,408308331	3,0	22,0	 
time travel	travel time	travel time	2	6,29455750551	33,9286305785	633,16665748	2,0	9,0	 
system transportation	transportation system	transportation system	2	9,44183625827	44,348363686	282,393377979	4,0	23,0	 
land scheme surface	land surface scheme	land surface scheme	3	5,95713542369	30,7243249195	335,980821113	3,0	38,0	 
system urban	urban system	urban system|&|urban systems	2	18,8836725165	67,95089269	369,943175162	12,0	78,0	 
decision support	decision support	decision support|&|Decision support	2	6,29455750551	29,5655757906	524,107196034	13,0	78,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	31,376407139	499,409812734	3,0	5,0	 
land-use pattern	land-use patterns	land-use patterns	2	6,29455750551	33,9286305785	238,52415749	2,0	13,0	 
area station	station area	station area	2	6,29455750551	33,9286305785	409,189299797	2,0	13,0	 
complex system	complex systems	complex systems	2	4,72091812914	23,5323053542	372,801412685	3,0	13,0	 
development strategy	development strategies	development strategies	2	4,72091812914	23,5323053542	318,1531472	3,0	23,0	 
model optimization	optimization model	optimization model|&|optimization models|&|model optimization	2	15,7363937638	67,5333808779	327,767885015	6,0	29,0	 
building model	model building	model building|&|building model	2	6,29455750551	31,376407139	677,219295634	3,0	6,0	 
change such	such changes	such changes|&|changes such	2	4,72091812914	23,5323053542	250,513571684	3,0	23,0	 
analysis method	analysis method	analysis method|&|analysis methods|&|methods of analysis	2	11,0154756347	47,2733666145	285,941777504	6,0	23,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	14,1627543874	58,5968445731	738,477707594	7,0	15,0	 
application model	model application	model application|&|application of the model	2	6,29455750551	29,5655757906	240,143477079	4,0	22,0	 
land-use planning	land-use planning	land-use planning	2	7,86819688189	39,2205089237	308,594790263	3,0	10,0	 
information technology	information technology	information technology|&|information technologies	2	17,3100331402	71,6183655893	867,582454904	7,0	25,0	 
allocation land use	land use allocation	land use allocation	3	5,95713542369	30,7243249195	264,137605049	2,0	19,0	 
design network problem	network design problem	network design problem	3	11,9142708474	56,6178287219	1074,10211902	3,0	11,0	 
fixation nitrogen	nitrogen fixation	nitrogen fixation	2	7,86819688189	39,2205089237	2304,50140903	3,0	2,0	 
model programming	programming model	programming model	2	6,29455750551	31,376407139	397,980323784	4,0	20,0	 
dynamics model system	system dynamics model	system dynamics model|&|system dynamics models	3	59,5713542369	170,07513696	699,047305098	20,0	121,0	 
mode reference	reference modes	reference modes	2	7,86819688189	39,2205089237	505,65382722	3,0	6,0	 
modeling urban year	years of urban modeling	years of urban modeling	4	5,95713542369	30,7243249195	616,444979722	2,0	4,0	 
dynamics model	dynamics model	dynamics model|&|dynamics models|&|dynamics of the model	2	9,44183625827	40,5200285268	741,211406059	26,0	139,0	 
demand travel	travel demand	travel demand	2	6,29455750551	33,9286305785	445,496812124	2,0	15,0	 
network traffic	traffic network	traffic network	2	7,86819688189	39,2205089237	448,517000748	3,0	15,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	28,3089143609	2794,72429505	3,0	8,0	 
decision making	decision making	decision making	2	6,29455750551	29,5655757906	250,486988662	4,0	12,0	 
geographic information system	geographic information system	geographic information system|&|geographic information systems	3	27,7999653106	95,9882451303	292,462138742	11,0	64,0	 
policy variable	policy variables	policy variables	2	6,29455750551	29,5655757906	319,645299508	4,0	21,0	 
support system	support system	support system|&|support systems|&|support of the system	2	11,0154756347	47,2733666145	538,061082199	11,0	67,0	 
land surface	land surface	land surface	2	6,29455750551	31,376407139	420,116304764	5,0	63,0	 
agglomeration urban	urban agglomeration	urban agglomeration	2	7,86819688189	42,4107882231	544,44929463	2,0	7,0	 
