stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
density population size	population size and density	population size and density|&|size population density|&|density and population size|&|population density and the size	4	9,92855903949	37,9208644411	303,823099283	5,0	29,0	 
crown width	crown width	crown width	2	4,72091812914	25,6735481271	505,985913439	1,0	3,0	 
case new	new cases	new cases	2	4,72091812914	22,4012570362	446,775121036	2,0	6,0	 
birth rate	birth rates	birth rates	2	9,44183625827	44,8025140725	276,803105549	2,0	17,0	 
health professional public	public health professionals	public health professionals	3	3,9714236158	20,6739079406	475,109198177	1,0	9,0	 
analysis regression	regression analysis	regression analysis	2	4,72091812914	22,4012570362	264,438223193	2,0	19,0	 
center distance urban	distance from urban center	distance from urban center|&|distance from the urban center	4	3,9714236158	17,9211268586	373,833803369	2,0	9,0	 
spatial variation	spatial variation	spatial variation	2	4,72091812914	22,4012570362	208,389974166	2,0	13,0	 
family planning	family planning	family planning	2	15,7363937638	60,2517450285	441,917413488	5,0	26,0	 
density dependence	density dependence	density dependence	2	31,4727875276	105,711165697	342,983093565	8,0	60,0	 
space use	space use	space use	2	4,72091812914	22,4012570362	345,514617489	2,0	16,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	17,8714062711	61,0113243183	834,86246771	6,0	22,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	35,8422537171	429,07061331	2,0	18,0	 
population size	population size	population size|&|Population size|&|size population|&|size of the population	2	40,9146237858	114,528045978	348,276947854	18,0	96,0	 
datum set	data sets	data sets|&|sets of data	2	6,29455750551	25,5052879272	284,05654394	4,0	28,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	44,8028171464	272,873091457	2,0	24,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	42,17622152	458,837270172	5,0	27,0	 
rate survival	survival rate	survival rate	2	4,72091812914	20,4870894566	372,7037702	3,0	17,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	40,7771328821	414,170166074	3,0	30,0	 
density mammal population terrestrial	population density in terrestrial mammals	population density in terrestrial mammals|&|population density of terrestrial mammals	5	5,95713542369	31,010861911	507,481735266	1,0	7,0	 
agricultural production	agricultural production	agricultural production	2	4,72091812914	22,4012570362	261,61080476	2,0	15,0	 
dynamics population	population dynamics	population dynamics|&|dynamics of this population	2	25,1782300221	84,5689325573	400,266205142	8,0	50,0	 
energy use	energy use	energy use	2	4,72091812914	22,4012570362	262,451934085	2,0	20,0	 
food nest site	food and nest sites	food and nest sites	4	3,9714236158	20,6739079406	323,745102788	1,0	6,0	 
density estimate	density estimate	density estimate|&|density estimates|&|estimates of the density	2	6,29455750551	25,5052879272	367,751132284	4,0	10,0	 
availability resource	resource availability	resource availability	2	4,72091812914	22,4012570362	235,74693434	2,0	16,0	 
mortality rate	mortality rates	mortality rates|&|mortality rate	2	9,44183625827	38,2579318907	440,314529187	5,0	28,0	 
density-dependent growth population	density-dependent population growth	density-dependent population growth	3	7,94284723159	32,6217063057	216,751132572	3,0	26,0	 
density relationship	density relationship	density relationship|&|density relationships|&|relationships between density	2	9,44183625827	40,9741789133	479,599401353	4,0	29,0	 
curvature dependence	curvature dependence	curvature dependence	2	4,72091812914	20,4870894566	344,087709402	3,0	29,0	 
density grid	density grid	density grid|&|density grids	2	4,72091812914	22,4012570362	412,890309659	3,0	21,0	 
annual variability	annual variability	annual variability	2	6,29455750551	34,2313975028	372,164960791	1,0	6,0	 
development urban	urban development	urban development	2	4,72091812914	20,4870894566	471,039821207	3,0	17,0	 
density inverse population	population density and inverse	population density and inverse|&|inverse population density	4	7,94284723159	41,3478158813	313,019490933	1,0	10,0	 
association density population	association between population density	association between population density|&|association with population density	4	5,95713542369	26,8816902878	402,513647271	2,0	12,0	 
model parameter	model parameters	model parameters	2	4,72091812914	22,4012570362	190,482472264	2,0	14,0	 
change climate	climate change	climate change	2	17,3100331402	63,1209273411	264,350294864	6,0	13,0	 
patch size	patch size	patch size	2	4,72091812914	22,4012570362	229,299924862	2,0	10,0	 
home range	home range	home range|&|home ranges|&|Home range	2	36,1937056567	126,400836472	596,703204275	9,0	56,0	 
body mass	body mass	body mass	2	20,4573118929	78,3272685371	522,279304523	6,0	36,0	 
growth population	population growth	population growth	2	29,8991481512	83,6935720606	394,024054891	20,0	138,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	27,3161192755	499,958591806	4,0	26,0	 
area census	census area	census area	2	7,86819688189	37,3354283937	409,979496098	2,0	9,0	 
