stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
flow traffic	traffic flow	traffic flow	2	11,0154756347	52,6582457153	1189,34090338	4,0	10,0	 
environment urban	urban environments	urban environments|&|urban environment	2	15,7363937638	64,318428338	517,089727897	8,0	23,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	37,6130326538	265,84084266	4,0	20,0	 
result simulation	simulation results	simulation results|&|results from simulation	2	9,44183625827	43,0287543109	317,405582863	5,0	31,0	 
decision group support	group decision support	group decision support	3	5,95713542369	31,2210404558	288,782066048	2,0	11,0	 
decision support system	decision support system	decision support system|&|decision support systems	3	35,7428125422	120,42276841	790,97694882	16,0	96,0	 
analysis network	network analysis	network analysis	2	14,1627543874	61,960956038	484,025996368	6,0	20,0	 
environmental impact	environmental impacts	environmental impacts	2	7,86819688189	35,8572952591	229,720074513	5,0	40,0	 
assessment development residential sustainability urban	sustainability assessment of urban residential development	sustainability assessment of urban residential development	6	5,95713542369	31,2210404558	333,190031471	2,0	20,0	 
conceptual model	conceptual model	conceptual model	2	6,29455750551	31,9012574714	354,000019306	3,0	14,0	 
dynamics system	system dynamics	system dynamics|&|systems dynamics|&|dynamics of the system	2	64,5192144315	182,878273589	748,368180746	51,0	259,0	 
expansion model	expansion model	expansion model	2	7,86819688189	43,0668511385	216,44801348	2,0	18,0	 
dynamics urban	urban dynamics	urban dynamics	2	20,4573118929	75,3192306611	300,348728545	12,0	78,0	 
model purpose	model purpose	model purpose|&|purpose of the model	2	6,29455750551	34,4534809108	768,755198088	2,0	6,0	 
3D visualization	3D visualization	3D visualization	2	6,29455750551	31,9012574714	225,768058983	3,0	17,0	 
circulation general model	general circulation model	general circulation model	3	7,94284723159	36,1224917769	344,337747309	4,0	37,0	 
development system	system development	system development|&|system under development	2	6,29455750551	31,9012574714	251,423931772	5,0	35,0	 
development residential	residential development	residential development	2	6,29455750551	31,9012574714	222,220204321	3,0	29,0	 
resource water	water resources	water resources	2	6,29455750551	31,9012574714	350,377054004	3,0	10,0	 
host plant	host plant	host plant|&|plant host	2	6,29455750551	31,9012574714	1241,51753027	3,0	4,0	 
time travel	travel time	travel time	2	6,29455750551	34,4534809108	635,957673999	2,0	9,0	 
system transportation	transportation system	transportation system	2	9,44183625827	45,1356391845	316,393760798	4,0	25,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	9,44183625827	43,0287543109	240,718884084	5,0	52,0	 
system urban	urban system	urban system|&|urban systems	2	18,8836725165	69,5254436872	388,688184489	12,0	77,0	 
decision support	decision support	decision support|&|Decision support	2	11,0154756347	46,4938116385	758,582335149	25,0	133,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	31,9012574714	466,642988639	3,0	5,0	 
area station	station area	station area	2	6,29455750551	34,4534809108	382,936231951	2,0	13,0	 
planning process urban	urban planning process	urban planning process	3	11,9142708474	62,4420809117	372,69692546	2,0	8,0	 
model such	such models	such models|&|models such	2	6,29455750551	30,090426123	211,224735253	4,0	25,0	 
complex system	complex systems	complex systems|&|complex system	2	7,86819688189	35,8572952591	353,746008424	5,0	27,0	 
