stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|complex network	2	7,86819688189	36,7489876675	303,974355489	5,0	22,0	 
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks|&|Urban network traffic|&|Urban traffic network	3	41,6999479659	129,94665788	295,957762843	15,0	110,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	101,432569818	2020,21598025	3,0	8,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows|&|flow of traffic|&|flows of traffic	2	53,5037387969	158,682719497	317,755530752	33,0	308,0	 
21st century	21st century	21st century	2	7,86819688189	34,9932502728	776,131588478	5,0	21,0	 
management strategy	management strategy	management strategy|&|management strategies	2	6,29455750551	29,399190134	338,233342708	4,0	29,0	 
model two-fluid	two-fluid model	two-fluid model	2	6,29455750551	33,7622449218	304,277722024	2,0	27,0	 
result simulation	simulation results	simulation results|&|result of simulation	2	12,589115011	50,0722706923	236,229923938	8,0	78,0	 
layout network	network layout	network layout	2	6,29455750551	33,7622449218	250,261066135	6,0	43,0	 
state steady	steady state	steady state	2	6,29455750551	31,2100214823	302,038696554	3,0	19,0	 
path planning	path planning	path planning	2	6,29455750551	33,7622449218	240,58574183	2,0	7,0	 
period time	time periods	time periods|&|time period	2	6,29455750551	31,2100214823	297,665328286	4,0	36,0	 
level problem upper	upper level problem	upper level problem	3	13,8999826553	58,5862443839	210,246495272	5,0	77,0	 
multiple period time	multiple time periods	multiple time periods	3	9,92855903949	46,9190797815	276,490029193	3,0	28,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	40,7558112366	419,610159104	2,0	7,0	 
choice model route	route choice model	route choice model	3	33,7571007343	126,41491936	306,836577	8,0	88,0	 
aromatic plant	aromatic plants	aromatic plants	2	7,86819688189	42,2028061522	898,539571985	2,0	2,0	 
consumer surplus	consumer surplus	consumer surplus	2	6,29455750551	31,2100214823	229,701970927	3,0	44,0	 
enforcement law	law enforcement	law enforcement	2	6,29455750551	31,2100214823	1133,30911912	3,0	8,0	 
dynamics traffic	traffic dynamics	traffic dynamics	2	12,589115011	58,7983802679	281,310527732	4,0	44,0	 
assignment model	assignment model	assignment model|&|assignment models	2	23,6045906457	88,618295364	218,360547308	42,0	478,0	 
network topology	network topology	network topology	2	7,86819688189	34,9932502728	212,968099065	5,0	38,0	 
demand network traffic	network traffic demand	network traffic demand|&|traffic demand across the network	3	9,92855903949	46,9190797815	450,143793793	3,0	18,0	 
congestion traffic	traffic congestion	traffic congestion	2	23,6045906457	86,3685375854	268,713162918	11,0	111,0	 
development regional	regional development	regional development	2	9,44183625827	50,6433673827	476,254551828	2,0	7,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	40,7558112366	394,001548102	2,0	8,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|network traffic models|&|traffic network models|&|model under a traffic network	3	31,7713889264	103,553489991	527,991588856	15,0	100,0	 
demand model	demand model	demand model	2	6,29455750551	31,2100214823	270,270680615	3,0	24,0	 
length path	path length	path length	2	6,29455750551	33,7622449218	567,270102189	2,0	10,0	 
engineering traffic	traffic engineering	traffic engineering	2	9,44183625827	41,9919003273	238,305451002	6,0	59,0	 
control traffic	traffic control	traffic control|&|control traffic	2	20,4573118929	74,852732574	315,203427692	12,0	114,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	29,399190134	407,495124065	5,0	46,0	 
flow forecasting traffic	traffic flow forecasting	traffic flow forecasting	3	7,94284723159	37,5352638252	311,014314976	3,0	28,0	 
equilibrium network	network equilibrium	network equilibrium|&|equilibrium network	2	7,86819688189	36,7489876675	275,519049539	9,0	92,0	 
network neural	neural network	neural network	2	12,589115011	53,693933389	368,357761034	6,0	34,0	 
design network problem transportation	transportation network design problem	transportation network design problem|&|transportation network design problems	4	31,7713889264	115,236616998	269,893896126	10,0	120,0	 
mode transportation	transportation modes	transportation modes	2	6,29455750551	31,2100214823	226,514942393	3,0	28,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	52,8753736087	331,56791589	4,0	32,0	 
management traffic	traffic management	traffic management	2	15,7363937638	64,6916409395	240,32276859	9,0	92,0	 
network road urban	urban road network	urban road network	3	7,94284723159	37,5352638252	235,952711809	3,0	42,0	 
development urban	urban development	urban development	2	11,0154756347	51,4485827344	675,977931799	4,0	16,0	 
network optimization problem	network optimization problems	network optimization problems	3	7,94284723159	40,7558112366	248,908941078	2,0	15,0	 
model traffic	traffic model	traffic model|&|traffic models|&|model of the traffic	2	18,8836725165	72,8842297651	540,797870978	17,0	103,0	 
guidance route	route guidance	route guidance	2	14,1627543874	60,4056750626	261,794472649	7,0	70,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	30,5668584275	499,859965745	2,0	11,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	59,0839286131	448,271451663	2,0	4,0	 
design model network	network design model	network design model|&|network design models	3	7,94284723159	35,2502490725	328,765058068	6,0	62,0	 
design network	network design	network design|&|design network|&|Network design	2	51,9300994205	158,965047801	315,323962611	60,0	652,0	 
control signal traffic	traffic signal control	traffic signal control|&|signal control traffic	3	7,94284723159	37,5352638252	318,696740522	3,0	40,0	 
model programming	programming model	programming model|&|programming models	2	17,3100331402	66,8105439513	205,713183016	18,0	247,0	 
demand uncertainty	demand uncertainty	demand uncertainty|&|uncertainty demand|&|Demand Uncertainty	2	36,1937056567	123,703209131	210,70655308	16,0	183,0	 
datum traffic	traffic data	traffic data|&|data traffic	2	18,8836725165	75,1084060384	317,559570139	8,0	61,0	 
column generation	column generation	column generation	2	6,29455750551	31,2100214823	228,152885359	3,0	30,0	 
network traffic	network traffic	network traffic|&|traffic network|&|traffic networks|&|Network traffic	2	141,627543874	287,718570278	472,648089058	90,0	595,0	 
network transport	transport network	transport network	2	7,86819688189	36,7489876675	255,140901994	4,0	28,0	 
application system	systems applications	systems applications|&|systems and applications	2	6,29455750551	33,7622449218	270,813269073	2,0	12,0	 
growth management	growth management	growth management	2	11,0154756347	54,6175375941	786,635040523	3,0	11,0	 
