stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
age structure	age structure	age structure	2	6,29455750551	26,8469666945	328,894989666	4,0	31,0	 
density relation	density in relation	density in relation|&|relation between density|&|density or the relation	3	4,72091812914	21,4933485321	729,339207725	3,0	11,0	 
group size	group size	group size|&|size group	2	7,86819688189	39,0125268529	442,223610697	2,0	8,0	 
density gradient population	gradient of population density	gradient of population density|&|population density gradient	4	5,95713542369	28,1514478689	278,877966953	2,0	12,0	 
body density population size	population density and body size	population density and body size|&|Population density and body size|&|body size population density|&|population density with body size	5	13,8999826553	48,2733281608	541,347444311	7,0	43,0	 
distribution population	population distribution	population distribution	2	6,29455750551	31,2100214823	282,302942969	2,0	14,0	 
density low population	low population density	low population density	3	9,92855903949	46,9190797815	389,495175704	2,0	8,0	 
development economic	economic development	economic development	2	7,86819688189	31,8029709735	354,493062219	5,0	20,0	 
density increase	density increases	density increases|&|density increase|&|increase in density	2	6,29455750551	26,8469666945	320,277948004	6,0	41,0	 
FSD transport	FSD transport	FSD transport	2	9,44183625827	46,8150322235	271,313759353	2,0	23,0	 
density population relationship	relationship between population density	relationship between population density|&|population density relationship	4	9,92855903949	37,8216331528	262,235666196	5,0	31,0	 
estimate population	population estimates	population estimates|&|estimates of the population	2	7,86819688189	33,5587083681	954,419790697	6,0	31,0	 
density low	low densities	low densities	2	4,72091812914	23,4075161117	459,107409024	2,0	8,0	 
rate strain	strain rate	strain rate	2	7,86819688189	33,5587083681	442,455990916	4,0	44,0	 
density population	population density	population density|&|Population density|&|population densities|&|density population|&|density populations|&|density of populations	2	325,74335091	401,498750257	438,620727467	100,0	507,0	 
home range size	home range size	home range size	3	13,8999826553	65,6867116941	377,251677188	3,0	17,0	 
bird population	bird population	bird population|&|Bird population	2	6,29455750551	28,6577980428	307,830860048	3,0	17,0	 
density function	density functions	density functions|&|density function|&|function of density	2	6,29455750551	28,6577980428	891,750156746	8,0	24,0	 
inverse relationship	inverse relationship	inverse relationship	2	4,72091812914	21,4933485321	315,884127461	3,0	19,0	 
level national	national levels	national levels	2	4,72091812914	21,4933485321	589,729324088	3,0	24,0	 
density maximum population	maximum population density	maximum population density	3	7,94284723159	34,3147164138	322,2611146	3,0	29,0	 
change population size	change in population size	change in population size|&|population size and change|&|change of population size	4	7,94284723159	37,5352638252	252,640204148	2,0	19,0	 
curvature term	curvature term	curvature term|&|curvature terms	2	9,44183625827	46,8150322235	444,572727138	3,0	30,0	 
domestic violence	domestic violence	domestic violence	2	4,72091812914	23,4075161117	444,233538732	2,0	15,0	 
international migration	international migration	international migration	2	4,72091812914	23,4075161117	335,827295129	2,0	20,0	 
age group	age groups	age groups	2	7,86819688189	35,8222475536	366,557709045	3,0	13,0	 
body size	body size	body size|&|body sizes	2	33,046426904	110,666440452	583,146407443	12,0	67,0	 
pattern similar	similar pattern	similar pattern	2	4,72091812914	23,4075161117	327,158861617	2,0	20,0	 
density flame surface transport	flame surface density transport	flame surface density transport|&|transport of flame surface density	4	7,94284723159	34,3147164138	391,897128647	3,0	34,0	 
growth population world	world population growth	world population growth	3	5,95713542369	28,1514478689	296,493170757	2,0	18,0	 
area urban	urban areas	urban areas|&|urban area	2	18,8836725165	65,2275594467	355,801970824	9,0	64,0	 
adolescent girl	adolescent girls	adolescent girls	2	4,72091812914	23,4075161117	1103,17879739	2,0	4,0	 
displacement speed	displacement speed	displacement speed	2	4,72091812914	23,4075161117	363,823964354	2,0	21,0	 
density model population	population density model	population density model|&|population density models|&|model of population density	3	11,9142708474	48,0445524915	405,97771164	4,0	8,0	 
FSD equation transport	FSD transport equation	FSD transport equation	3	7,94284723159	34,3147164138	442,455990916	4,0	44,0	 
heat release	heat release	heat release	2	7,86819688189	39,0125268529	346,502300193	2,0	23,0	 
cover land	land cover	land cover	2	9,44183625827	42,9866970643	336,297441418	4,0	23,0	 
density grid population	population density grid	population density grid	3	7,94284723159	37,5352638252	511,315882116	2,0	15,0	 
series time	time series	time series	2	6,29455750551	26,8469666945	278,963653778	7,0	55,0	 
