stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
density population size	population size and density	population size and density|&|density and population size|&|population density and the size	4	9,92855903949	37,586162218	269,075730061	4,0	18,0	 
crown width	crown width	crown width	2	4,72091812914	25,5144009853	335,239240221	1,0	4,0	 
case new	new cases	new cases	2	4,72091812914	22,2421098945	448,053270806	2,0	6,0	 
agricultural production	agricultural production	agricultural production	2	4,72091812914	22,2421098945	193,682623078	2,0	15,0	 
health professional public	public health professionals	public health professionals	3	3,9714236158	20,5400270514	345,007702886	1,0	9,0	 
analysis regression	regression analysis	regression analysis	2	4,72091812914	22,2421098945	257,371909388	2,0	18,0	 
spatial variation	spatial variation	spatial variation	2	4,72091812914	22,2421098945	191,460619298	2,0	13,0	 
family planning	family planning	family planning	2	15,7363937638	59,721254556	474,038052475	5,0	26,0	 
period time	time periods	time periods|&|time period	2	7,86819688189	33,8799038581	199,456406731	3,0	34,0	 
density population relationship	relationship between population density	relationship between population density	4	7,94284723159	30,0689297744	245,737236743	4,0	21,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	17,8714062711	60,4088603167	610,466087135	6,0	22,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	35,5744919386	355,166399829	2,0	18,0	 
population size	population size	population size|&|Population size|&|size of the population	2	42,4882631622	114,569259267	407,034247665	16,0	77,0	 
datum set	data sets	data sets|&|sets of data	2	6,29455750551	25,2930917381	258,666340704	4,0	26,0	 
annual variability	annual variability	annual variability	2	6,29455750551	34,0192013138	370,606626227	1,0	5,0	 
development process	development process	development process	2	4,72091812914	22,2421098945	238,056104994	2,0	26,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	41,8048781892	352,492755006	5,0	27,0	 
rate survival	survival rate	survival rate	2	4,72091812914	20,3279423149	305,809922072	3,0	17,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	40,442430659	349,018607804	3,0	30,0	 
density mammal population terrestrial	population density in terrestrial mammals	population density in terrestrial mammals|&|population density of terrestrial mammals	5	5,95713542369	30,8100405771	460,641018851	1,0	6,0	 
birth rate	birth rates	birth rates	2	9,44183625827	44,4842197889	246,578458151	2,0	17,0	 
association density population	association between population density	association between population density|&|association with population density	4	5,95713542369	26,680868954	346,475583619	2,0	12,0	 
food nest site	food and nest sites	food and nest sites	4	3,9714236158	20,5400270514	248,547643834	1,0	6,0	 
country develop	developed countries	developed countries	2	6,29455750551	25,2930917381	236,474111739	4,0	37,0	 
density estimate	density estimate	density estimate|&|density estimates|&|estimates of the density	2	6,29455750551	25,2930917381	296,455255582	4,0	10,0	 
availability resource	resource availability	resource availability	2	4,72091812914	22,2421098945	183,659347156	2,0	16,0	 
mortality rate	mortality rates	mortality rates|&|mortality rate	2	9,44183625827	37,9396376072	350,252797529	5,0	29,0	 
density-dependent growth population	density-dependent population growth	density-dependent population growth	3	7,94284723159	32,3539445272	198,458710435	3,0	27,0	 
pattern similar	similar pattern	similar pattern	2	4,72091812914	22,2421098945	275,262090427	2,0	20,0	 
development strategy	development strategies	development strategies|&|development of strategies	2	4,72091812914	20,3279423149	205,725742382	3,0	21,0	 
density grid	density grid	density grid|&|density grids	2	4,72091812914	22,2421098945	468,291217845	3,0	21,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	44,4681149233	236,838770724	2,0	24,0	 
development urban	urban development	urban development	2	4,72091812914	20,3279423149	340,000464161	3,0	17,0	 
dynamics population	population dynamics	population dynamics|&|dynamics of this population	2	25,1782300221	83,7201478013	298,367005627	8,0	50,0	 
high-density population	high-density population	high-density population	2	14,1627543874	51,166953672	303,062255577	6,0	22,0	 
change climate	climate change	climate change	2	17,3100331402	62,5373878213	197,154698299	6,0	13,0	 
patch size	patch size	patch size	2	4,72091812914	22,2421098945	177,021698782	2,0	10,0	 
home range	home range	home range|&|home ranges	2	26,7518693984	96,6486902694	531,846397384	8,0	45,0	 
body mass	body mass	body mass	2	18,8836725165	75,8792752144	563,429127014	5,0	24,0	 
growth population	population growth	population growth	2	29,8991481512	82,6856401628	301,686762989	19,0	129,0	 
density high	high density	high density|&|higher densities|&|high densities	2	12,589115011	43,54111596	277,176911069	8,0	43,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	27,1039230865	505,867270052	4,0	26,0	 
dilatation rate	dilatation rate	dilatation rate	2	4,72091812914	22,2421098945	233,43779573	2,0	23,0	 
area census	census area	census area	2	7,86819688189	37,0701831574	347,151567297	2,0	8,0	 
context equation transport	transport equation in the context	transport equation in the context	5	5,95713542369	26,680868954	222,948172529	2,0	19,0	 
density high population	high population density	high population density|&|high density population|&|higher population densities|&|high density populations|&|populations at high density	3	35,7428125422	96,0426908945	295,041462206	12,0	55,0	 
deer red	red deer	red deer	2	11,0154756347	51,8982564204	273,285762827	2,0	10,0	 
density low	low densities	low densities	2	4,72091812914	22,2421098945	329,435887724	2,0	8,0	 
body size	body size	body size|&|body sizes	2	22,0309512693	73,2551293261	402,213665846	9,0	38,0	 
population world	world population	world population	2	4,72091812914	20,3279423149	288,438397591	3,0	7,0	 
law power	power law	power law	2	4,72091812914	20,3279423149	231,335038695	3,0	26,0	 
datum series time	time series data	time series data	3	7,94284723159	32,3539445272	178,352075551	3,0	34,0	 
body weight	body weight	body weight	2	11,0154756347	47,4318654014	249,151061548	3,0	17,0	 
change population	population change	population change|&|population changes	2	9,44183625827	37,9396376072	242,488641401	4,0	14,0	 
food resource	food resources	food resources	2	6,29455750551	25,2930917381	270,815965055	4,0	30,0	 
health reproductive	reproductive health	reproductive health	2	7,86819688189	33,8799038581	239,317513664	3,0	13,0	 
growth population rapid	rapid population growth	rapid population growth	3	9,92855903949	35,3706682945	264,954226811	5,0	44,0	 
animal density population	animal population density	animal population density|&|population density animals	3	9,92855903949	35,3706682945	311,912259745	5,0	17,0	 
