stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
family planning service	family planning services	family planning services	3	5,95713542369	28,0980202872	325,132358826	2,0	21,0	 
density population size	population size and density	population size and density|&|size population density|&|density and population size|&|population density and the size	4	9,92855903949	39,9480811068	256,342735764	5,0	29,0	 
law power	power law	power law	2	4,72091812914	21,4510081754	275,605297394	3,0	27,0	 
case new	new cases	new cases	2	4,72091812914	23,365175755	901,755880789	2,0	5,0	 
numerous population specialized survey	numerous specialized population surveys	numerous specialized population surveys	4	3,9714236158	18,7320135248	617,784021418	2,0	20,0	 
analysis regression	regression analysis	regression analysis	2	6,29455750551	28,6013442339	410,645265058	3,0	20,0	 
indicator key many other	many other key indicators	many other key indicators	4	3,9714236158	18,7320135248	617,784021418	2,0	20,0	 
family planning	family planning	family planning	2	18,8836725165	69,8039373822	347,510339749	8,0	66,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,7320135248	410,743667711	3,0	34,0	 
cause major	major causes	major causes	2	4,72091812914	21,4510081754	436,665396813	3,0	18,0	 
health service	health services	health services	2	4,72091812914	21,4510081754	269,056891781	5,0	50,0	 
space use	space use	space use	2	4,72091812914	23,365175755	342,891490645	2,0	14,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	17,8714062711	64,6603143165	840,62112655	6,0	22,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,4640270497	353,627632582	2,0	17,0	 
population size	population size	population size|&|Population size|&|Population Size|&|size of the population|&|size population	2	53,5037387969	150,303784204	292,362220677	21,0	109,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,8300338121	282,332927483	2,0	24,0	 
area rural	rural areas	rural areas|&|rural area	2	12,589115011	48,4765788921	689,141301424	6,0	30,0	 
rate survival	survival rate	survival rate	2	6,29455750551	26,7905128855	351,704099758	4,0	18,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,8043495478	466,28161114	3,0	30,0	 
child health	child health	child health	2	6,29455750551	28,6013442339	309,922728491	3,0	22,0	 
