stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
expansion square sudden three-dimensional	sudden three-dimensional square expansion	sudden three-dimensional square expansion	4	3,9714236158	17,7644870324	121,119075616	1,0	4,0	 
device inlet	inlet device	inlet device	2	6,29455750551	29,6200744645	194,428313336	1,0	5,0	 
policy urban	urban policy	urban policy	2	7,86819688189	28,3809952965	594,492175669	3,0	6,0	 
development flow orientation valve	valve orientation on flow development	valve orientation on flow development	5	3,9714236158	17,7644870324	93,0809838149	1,0	8,0	 
artery brachio-cephalic	brachio-cephalic artery	brachio-cephalic artery	2	4,72091812914	18,9427647575	95,0168350043	2,0	19,0	 
city many	many cities	many cities|&|Many cities	2	4,72091812914	17,0285971779	459,125593135	3,0	7,0	 
flow rate	flow rates	flow rates|&|flow rate	2	7,86819688189	24,3617187164	145,548798089	5,0	23,0	 
model simulation	model simulation	model simulation	2	4,72091812914	18,9427647575	126,546885379	2,0	18,0	 
disc valve	disc valves	disc valves	2	7,86819688189	31,5712745958	86,3460145529	2,0	17,0	 
model onset subcooled	model for the onset of subcooled	model for the onset of subcooled	6	3,9714236158	15,0117059503	237,337131467	2,0	10,0	 
flow regime	flow regime	flow regime|&|flow regimes	2	6,29455750551	25,2570196766	309,546444859	2,0	6,0	 
development duct flow square supersonic turbulent	supersonic turbulent flow development in a square duct	supersonic turbulent flow development in a square duct	8	3,9714236158	15,0117059503	63,788948714	2,0	24,0	 
entrance region	entrance region	entrance region	2	6,29455750551	20,8939648888	109,000187118	5,0	31,0	 
boundary condition	boundary conditions	boundary conditions	2	6,29455750551	20,8939648888	102,982896864	4,0	14,0	 
duct wall wavy	wavy wall ducts	wavy wall ducts	3	3,9714236158	17,7644870324	110,088213754	1,0	3,0	 
entrance length	entrance length	entrance length	2	12,589115011	45,4095924743	90,70897476	3,0	22,0	 
boundary condition time-dependent	time-dependent boundary conditions	time-dependent boundary conditions	3	3,9714236158	17,7644870324	82,5306302899	1,0	11,0	 
development sustainable urban	sustainable urban development	sustainable urban development	3	5,95713542369	22,5175589255	418,652624937	2,0	6,0	 
profile velocity	velocity profile	velocity profile|&|velocity profiles	2	18,8836725165	49,592730303	81,0102230162	8,0	47,0	 
amount compression finite	compression of a finite amount	compression of a finite amount	5	3,9714236158	17,7644870324	172,644889269	1,0	3,0	 
condition duct inlet	condition at the duct inlet	condition at the duct inlet	5	3,9714236158	15,0117059503	63,788948714	2,0	24,0	 
flow technique visualization	flow visualization technique	flow visualization technique	3	3,9714236158	15,0117059503	108,880231143	2,0	10,0	 
gradient pressure	pressure gradient	pressure gradient	2	6,29455750551	25,2570196766	119,364606768	2,0	9,0	 
model structure	structure model	structure model	2	4,72091812914	18,9427647575	306,201120434	2,0	3,0	 
