stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
density population size	population size and density	population size and density|&|density and population size|&|population density and size|&|population density and the size|&|size and population density	4	19,857118079	62,7843013404	259,682077035	9,0	74,0	 
case new	new cases	new cases	2	4,72091812914	23,125262244	605,090983933	2,0	5,0	 
density high population	high population density	high population density|&|highest population densities|&|high density population|&|higher population densities	3	37,7285243501	105,416459226	293,22625294	13,0	74,0	 
family planning	family planning	family planning	2	15,7363937638	62,665095721	536,628647196	5,0	28,0	 
fishery science	fisheries science	fisheries science	2	6,29455750551	35,1967377798	436,35801127	1,0	4,0	 
space use	space use	space use	2	4,72091812914	23,125262244	284,736386308	2,0	16,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density|&|function of population density	3	15,8856944632	54,2197452941	774,786152321	7,0	32,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,0603775232	432,619845159	2,0	18,0	 
food level	food levels	food levels	2	4,72091812914	23,125262244	456,291760482	2,0	13,0	 
factor important	important factor	important factor	2	4,72091812914	21,2110946644	485,239951285	3,0	17,0	 
development process	development process	development process	2	4,72091812914	23,125262244	332,256643543	2,0	30,0	 
area rural	rural areas	rural areas	2	6,29455750551	28,2814595525	468,191404619	3,0	21,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,2997876397	524,584500987	3,0	29,0	 
energy use	energy use	energy use	2	6,29455750551	28,2814595525	265,488124169	3,0	33,0	 
association density population	association between population density	association between population density|&|association with population density	4	7,94284723159	33,8398301118	392,222909479	3,0	21,0	 
combustion premixed turbulent	turbulent premixed combustion	turbulent premixed combustion	3	3,9714236158	18,5301887616	294,73330453	2,0	23,0	 
country develop	developed countries	developed countries	2	4,72091812914	21,2110946644	373,234537616	3,0	26,0	 
home individual range	individual home ranges	individual home ranges	3	3,9714236158	18,5301887616	505,494927417	2,0	15,0	 
density estimate	density estimates	density estimates|&|density estimate|&|estimates of the density	2	22,0309512693	80,3183305609	404,43662206	7,0	43,0	 
animal density population	animal population density	animal population density|&|population density animals	3	9,92855903949	37,2280252753	313,712437512	5,0	16,0	 
mortality rate	mortality rates	mortality rates	2	7,86819688189	35,3518244406	284,307821132	3,0	18,0	 
case individual most	most cases individuals	most cases individuals	3	3,9714236158	18,5301887616	277,806260248	2,0	34,0	 
curvature dependence	curvature dependence	curvature dependence	2	4,72091812914	21,2110946644	471,590098652	3,0	29,0	 
range size	range size	range size|&|range sizes	2	11,0154756347	46,3235993572	261,704852565	8,0	96,0	 
intermediate size	intermediate size	intermediate size	2	4,72091812914	23,125262244	307,337185398	2,0	19,0	 
family size	family size	family size	2	6,29455750551	30,8336829919	526,914779839	2,0	8,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,325471904	331,278360261	2,0	23,0	 
development urban	urban development	urban development	2	4,72091812914	21,2110946644	397,290028303	3,0	15,0	 
number offspring	offspring number	offspring number	2	4,72091812914	23,125262244	259,783512285	2,0	28,0	 
dynamics population	population dynamics	population dynamics	2	15,7363937638	66,1765705103	264,676071606	4,0	21,0	 
high-density population	high-density population	high-density population|&|high-density populations	2	14,1627543874	53,8164107205	373,213841147	6,0	42,0	 
change climate	climate change	climate change	2	11,0154756347	43,8655670047	534,741392698	5,0	8,0	 
home range	home range	home range|&|home ranges	2	20,4573118929	81,4646244373	586,681617615	8,0	49,0	 
body mass	body mass	body mass|&|Body mass	2	50,3564600441	141,956149028	260,245674114	23,0	233,0	 
growth population	population growth	population growth	2	28,3255087748	87,9990748958	555,793178059	15,0	90,0	 
density high	high density	high density|&|higher density|&|higher densities|&|high densities	2	14,1627543874	51,6332125034	261,382843989	7,0	20,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	28,2814595525	474,448175414	4,0	25,0	 
census tract	census tracts	census tracts|&|census tract	2	4,72091812914	21,2110946644	335,335564525	3,0	14,0	 
dilatation rate	dilatation rate	dilatation rate	2	4,72091812914	23,125262244	381,000701474	2,0	23,0	 
growth population rapid	rapid population growth	rapid population growth	3	7,94284723159	31,554815359	399,611785785	4,0	40,0	 
context equation transport	transport equation in the context	transport equation in the context	5	5,95713542369	27,7952831424	323,45986173	2,0	19,0	 
size structure	size structure	size structure	2	9,44183625827	52,7951066696	374,989117935	1,0	2,0	 
capita consumption	capita consumption	capita consumption|&|consumption per capita	2	4,72091812914	23,125262244	609,667409729	2,0	4,0	 
bear black	black bears	black bears	2	4,72091812914	23,125262244	341,685865934	2,0	23,0	 
output reproductive	reproductive output	reproductive output	2	4,72091812914	23,125262244	448,691464715	2,0	11,0	 
