stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
certain connectivity requirement	certain connectivity requirements	certain connectivity requirements	3	3,9714236158	15,2336309225	77,0726817043	2,0	6,0	 
colonial hydroid	colonial hydroids	colonial hydroids|&|Colonial hydroids	2	3,14727875276	14,9859086116	89,1526315789	1,0	2,0	 
cell growth	cell growth	cell growth	2	3,14727875276	12,8043812177	71,2066833751	2,0	6,0	 
control traffic	traffic control	traffic control	2	6,29455750551	29,9718172233	42,3558897243	1,0	1,0	 
fission yeast	fission yeast	fission yeast|&|Fission yeast	2	3,14727875276	14,9859086116	68,0242272348	1,0	3,0	 
ecological network urban	urban ecological networks	urban ecological networks	3	3,9714236158	17,9864120046	45,9365079365	1,0	3,0	 
capital social	social capital	social capital	2	3,14727875276	12,8043812177	70,7384711779	2,0	6,0	 
biology developmental	developmental biology	developmental biology	2	3,14727875276	12,8043812177	89,1526315789	2,0	2,0	 
activity stewardship	stewardship activities	stewardship activities	2	3,14727875276	14,9859086116	34,0481704261	1,0	5,0	 
eventful geography	eventful geographies	eventful geographies	2	3,14727875276	14,9859086116	264,003759398	1,0	1,0	 
experimental music scene	experimental music scene	experimental music scene	3	3,9714236158	17,9864120046	264,003759398	1,0	1,0	 
cell determination fate	cell fate determination	cell fate determination	3	3,9714236158	17,9864120046	56,2245614035	1,0	3,0	 
area research	research area	research area	2	3,14727875276	14,9859086116	27,589390142	1,0	1,0	 
datum transformation	data transformations	data transformations	2	3,14727875276	14,9859086116	264,003759398	1,0	1,0	 
organization stewardship	stewardship organizations	stewardship organizations	2	3,14727875276	14,9859086116	34,0481704261	1,0	5,0	 
capacity network	network capacity	network capacity	2	4,72091812914	22,4788629174	30,4289139515	1,0	5,0	 
pitch plane	pitch plane	pitch plane	2	4,72091812914	22,4788629174	33,1453634085	1,0	6,0	 
cell proliferation	cell proliferation	cell proliferation	2	3,14727875276	12,8043812177	87,834085213	2,0	5,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	15,2336309225	77,0726817043	2,0	6,0	 
function network	function and network	function and network	3	3,14727875276	14,9859086116	34,0481704261	1,0	5,0	 
economy global	global economy	global economy	2	3,14727875276	12,8043812177	55,9176691729	2,0	2,0	 
connectivity pair vertices	connectivity between each pair of vertices	connectivity between each pair of vertices	6	3,9714236158	15,2336309225	77,0726817043	2,0	6,0	 
network urban	urban network	urban network|&|urban networks	2	6,29455750551	21,2457076476	108,106015038	4,0	6,0	 
choice realistic route traveler	realistic traveler route choices	realistic traveler route choices	4	3,9714236158	17,9864120046	30,4289139515	1,0	5,0	 
land management	land management	land management	2	3,14727875276	12,8043812177	49,3359649123	2,0	8,0	 
eye open	eyes open	eyes open	2	3,14727875276	14,9859086116	33,1453634085	1,0	6,0	 
system transport	transport systems	transport systems	2	3,14727875276	12,8043812177	149,245614035	3,0	3,0	 
other region	other regions	other regions	2	3,14727875276	12,8043812177	131,007518797	2,0	1,0	 
city more network	more network cities	more network cities|&|network of cities more	3	3,9714236158	15,2336309225	83,1088972431	2,0	4,0	 
economic growth	economic growth	economic growth	2	3,14727875276	12,8043812177	51,2187969925	2,0	1,0	 
environment urban	urban environments	urban environments	2	3,14727875276	12,8043812177	77,0726817043	2,0	6,0	 
logistic network urban	urban logistics network	urban logistics network	3	3,9714236158	17,9864120046	27,589390142	1,0	1,0	 
cell morphogenesis	cell morphogenesis	cell morphogenesis	2	7,86819688189	37,4647715291	68,0242272348	1,0	3,0	 
protein repeat	repeat protein	repeat protein	2	3,14727875276	14,9859086116	68,0242272348	1,0	3,0	 
network transportation	transportation network	transportation network	2	6,29455750551	25,6087624354	68,2723661004	3,0	9,0	 
modeling propagation	propagation modeling	propagation modeling	2	3,14727875276	12,8043812177	77,0726817043	2,0	6,0	 
network transportation urban	urban transportation network	urban transportation network	3	3,9714236158	15,2336309225	45,6715956558	2,0	8,0	 
effect network	network effects	network effects	2	3,14727875276	12,8043812177	77,0726817043	2,0	6,0	 
perturbation roll	roll perturbations	roll perturbations	2	6,29455750551	29,9718172233	33,1453634085	1,0	6,0	 
system transport urban	urban transport systems	urban transport systems	3	3,9714236158	17,9864120046	86,6779448622	1,0	1,0	 
control development	development control	development control|&|control of development	2	4,72091812914	19,2065718266	129,030075188	2,0	2,0	 
combinatorial concept important optimization	important concept in combinatorial optimization	important concept in combinatorial optimization	5	3,9714236158	15,2336309225	77,0726817043	2,0	6,0	 
model network	network model	network model	2	3,14727875276	14,9859086116	131,007518797	1,0	1,0	 
green space	green space	green space|&|green spaces	2	3,14727875276	14,9859086116	45,9365079365	1,0	3,0	 
development sustainable	sustainable development	sustainable development	2	3,14727875276	12,8043812177	62,5676691729	2,0	2,0	 
area urban	urban areas	urban areas|&|urban area	2	6,29455750551	21,2457076476	105,27556391	4,0	4,0	 
combination roll	roll combinations	roll combinations|&|combinations of roll	2	3,14727875276	14,9859086116	33,1453634085	1,0	6,0	 
density dwelling	dwelling density	dwelling density	2	3,14727875276	14,9859086116	129,030075188	1,0	2,0	 
network social	social networks	social networks	2	3,14727875276	12,8043812177	42,3558897243	2,0	1,0	 
expression gene	gene expression	gene expression	2	4,72091812914	19,2065718266	173,363408521	2,0	2,0	 
critical role	critical role	critical role	2	3,14727875276	12,8043812177	38,5363408521	2,0	3,0	 
Polycentric region urban	Polycentric urban regions	Polycentric urban regions	3	3,9714236158	17,9864120046	51,4918546366	1,0	2,0	 
muscle trunk	trunk muscles	trunk muscles	2	3,14727875276	14,9859086116	33,1453634085	1,0	6,0	 
choice route	route choices	route choices|&|route choice	2	4,72091812914	17,292404247	68,2723661004	3,0	9,0	 
organ pineal	pineal organ	pineal organ	2	6,29455750551	29,9718172233	131,007518797	1,0	1,0	 
neuronal perikarya	neuronal perikarya	neuronal perikarya	2	3,14727875276	12,8043812177	262,015037594	2,0	2,0	 
complexity organ	organ complexity	organ complexity	2	3,14727875276	14,9859086116	106,870927318	1,0	2,0	 
differentiation program	differentiation program	differentiation program	2	3,14727875276	14,9859086116	106,870927318	1,0	2,0	 
capacity model	capacity model	capacity model	2	3,14727875276	14,9859086116	30,4289139515	1,0	5,0	 
ankle torque	ankle torque	ankle torque	2	4,72091812914	22,4788629174	33,1453634085	1,0	6,0	 
cell division	cell division	cell division	2	4,72091812914	19,2065718266	56,2245614035	2,0	3,0	 
datum species	species data	species data	2	3,14727875276	14,9859086116	264,003759398	1,0	1,0	 
city network	city network	city network|&|network city	2	6,29455750551	23,056538996	105,586215539	3,0	5,0	 
leg muscle	leg muscles	leg muscles	2	3,14727875276	14,9859086116	33,1453634085	1,0	6,0	 
bird community	bird communities	bird communities	2	6,29455750551	29,9718172233	64,515037594	1,0	1,0	 
gene network	gene network	gene network	2	4,72091812914	19,2065718266	127,067669173	2,0	3,0	 
network road transportation urban	urban road transportation network	urban road transportation network	4	3,9714236158	17,9864120046	25,0802701197	1,0	3,0	 
area sample	sample areas	sample areas	2	3,14727875276	14,9859086116	129,030075188	1,0	2,0	 
land use	land use	land use	2	3,14727875276	12,8043812177	49,3359649123	2,0	8,0	 
network simulator	network simulator	network simulator	2	3,14727875276	14,9859086116	38,5363408521	1,0	3,0	 
