stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|complex network	2	7,86819688189	36,6310214865	300,961690074	5,0	22,0	 
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks	3	33,7571007343	109,519470176	256,179823419	13,0	103,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	101,125857747	2356,68273904	3,0	8,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows|&|flows of traffic	2	50,3564600441	150,93604163	285,209271941	31,0	291,0	 
21st century	21st century	21st century	2	7,86819688189	34,8752840919	815,60014126	5,0	21,0	 
management strategy	management strategy	management strategy|&|management strategies	2	6,29455750551	29,3048171892	335,504722394	4,0	29,0	 
model two-fluid	two-fluid model	two-fluid model	2	6,29455750551	33,667871977	302,601304897	2,0	27,0	 
result simulation	simulation results	simulation results|&|result of simulation	2	12,589115011	49,8835248028	244,535431358	8,0	78,0	 
layout network	network layout	network layout	2	6,29455750551	33,667871977	280,475526073	6,0	43,0	 
state steady	steady state	steady state	2	6,29455750551	31,1156485376	256,507075171	3,0	19,0	 
path planning	path planning	path planning	2	6,29455750551	33,667871977	238,429622877	2,0	7,0	 
period time	time periods	time periods|&|time period	2	6,29455750551	31,1156485376	294,575012127	4,0	36,0	 
level problem upper	upper level problem	upper level problem	3	13,8999826553	58,3778449382	206,419330352	5,0	77,0	 
multiple period time	multiple time periods	multiple time periods	3	9,92855903949	46,7702230346	272,938501972	3,0	28,0	 
flow link	link flows	link flows	2	9,44183625827	41,8503409102	203,035562181	5,0	59,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	40,6367258391	414,676743472	2,0	7,0	 
choice model route	route choice model	route choice model	3	33,7571007343	125,908806421	304,427978826	8,0	87,0	 
aromatic plant	aromatic plants	aromatic plants	2	7,86819688189	42,0848399713	2332,8575838	2,0	2,0	 
consumer surplus	consumer surplus	consumer surplus	2	6,29455750551	31,1156485376	225,607997476	3,0	44,0	 
enforcement law	law enforcement	law enforcement	2	6,29455750551	31,1156485376	1120,24603484	3,0	8,0	 
dynamics traffic	traffic dynamics	traffic dynamics	2	12,589115011	58,6096343784	212,198601146	4,0	44,0	 
assignment model	assignment model	assignment model|&|assignment models	2	23,6045906457	88,2643968212	225,607184243	42,0	477,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	40,6367258391	213,737420653	2,0	29,0	 
network topology	network topology	network topology	2	7,86819688189	34,8752840919	210,470983757	5,0	38,0	 
demand network traffic	network traffic demand	network traffic demand|&|traffic demand across the network	3	5,95713542369	30,4775443793	314,048698259	2,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	23,6045906457	86,0146390426	262,170836145	11,0	111,0	 
development regional	regional development	regional development	2	9,44183625827	50,5018079656	483,163432967	2,0	7,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	40,6367258391	327,968824839	2,0	9,0	 
