stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
angle phase	phase angle	phase angle	2	6,29455750551	31,3581355514	233,764189645	3,0	25,0	 
blood flow	blood flow	blood flow	2	31,4727875276	118,898297497	517,53391646	11,0	53,0	 
numerical solution	Numerical solutions	Numerical solutions|&|numerical solutions	2	7,86819688189	36,9341302538	250,805802581	4,0	24,0	 
heat transfer	heat transfer	heat transfer|&|Heat transfer	2	133,759346992	295,500723502	202,095188302	67,0	654,0	 
flow velocity	flow velocity	flow velocity|&|flow velocities|&|velocity of flow	2	12,589115011	50,3684988304	385,407432094	12,0	82,0	 
friction velocity	friction velocity	friction velocity	2	9,44183625827	40,4926211454	280,238693254	15,0	183,0	 
coaxial jet	coaxial jet	coaxial jet|&|coaxial jets	2	6,29455750551	33,9103589909	241,720935043	2,0	16,0	 
drop pressure	pressure drop	pressure drop	2	37,7673450331	129,970293942	231,438399976	15,0	125,0	 
dispersion pollutant	pollutant dispersion	pollutant dispersion|&|dispersion of a pollutant	2	7,86819688189	42,3879487386	1221,7991127	2,0	7,0	 
flow visualization	flow visualization	flow visualization	2	11,0154756347	47,2413913363	576,28355975	7,0	42,0	 
channel flow	channel flow	channel flow|&|channel flows	2	102,286559465	234,871235888	207,844784317	82,0	729,0	 
energy kinetic turbulent	turbulent kinetic energy	turbulent kinetic energy	3	11,9142708474	50,4971296198	317,682911223	6,0	44,0	 
image particle	particle image	particle image|&|Particle image	2	6,29455750551	31,3581355514	333,409726835	4,0	28,0	 
flow laminar	laminar flow	laminar flow	2	23,6045906457	82,9807220603	250,342800711	13,0	81,0	 
inlet velocity	inlet velocity	inlet velocity|&|velocity inlet	2	7,86819688189	39,1976694392	198,670044106	3,0	20,0	 
tunnel wind	wind tunnel	wind tunnel	2	7,86819688189	35,1783928591	267,885413013	5,0	40,0	 
flow linear shear	linear shear flow	linear shear flow	3	13,8999826553	62,0150093827	300,413926852	4,0	26,0	 
heat surface transfer	surface heat transfer	surface heat transfer	3	7,94284723159	37,7221629714	202,187327488	3,0	24,0	 
channel flow turbulent	turbulent channel flow	turbulent channel flow|&|turbulent flow in a channel	3	83,3998959317	204,04735407	225,321854481	41,0	390,0	 
Direct channel flow numerical simulation turbulent	Direct numerical simulation of turbulent channel flow	Direct numerical simulation of turbulent channel flow|&|Direct numerical simulation of the turbulent channel flow|&|Direct numerical simulation of a turbulent channel flow	7	11,9142708474	48,3249012108	185,97585554	6,0	45,0	 
element finite method	finite element method	finite element method	3	13,8999826553	62,0150093827	251,19314818	4,0	35,0	 
