"","theta","emp","empsd","th","beta"
"1",0.001,1.03948104323875,0.00385419687890592,1.04967539474412,1.05
"2",0.00125892541179417,1.039166972603,0.00389605498011692,1.04960996809807,1.05
"3",0.00158489319246111,1.03976623641199,0.0032987476017525,1.04953197268244,1.05
"4",0.00199526231496888,1.04076896067421,0.00397598276647407,1.04943915529106,1.05
"5",0.00251188643150958,1.04092090572077,0.00375579032855073,1.04932890021487,1.05
"6",0.00316227766016838,1.04119247407164,0.00331197269216735,1.04919818130852,1.05
"7",0.00398107170553497,1.04149676397214,0.00357509044606131,1.04904351023951,1.05
"8",0.00501187233627272,1.04207328452466,0.00303854830738168,1.04886088121488,1.05
"9",0.00630957344480193,1.0426513562055,0.00323315166591908,1.04864571263758,1.05
"10",0.00794328234724281,1.0441293145273,0.00331288748289216,1.04839278630256,1.05
"11",0.01,1.04434579175212,0.00299227194356343,1.04809618488427,1.05
"12",0.0125892541179417,1.04469880827391,0.00249824630751457,1.0477492285606,1.05
"13",0.0158489319246111,1.044968278456,0.00308314996837781,1.04734441162004,1.05
"14",0.0199526231496888,1.0446293419092,0.00314099574247554,1.04687333974362,1.05
"15",0.0251188643150958,1.04430345776786,0.00294779648199357,1.04632666824953,1.05
"16",0.0316227766016838,1.04509471129802,0.00162679429131982,1.04569404080378,1.05
"17",0.0398107170553497,1.04488481239864,0.00154827041024841,1.04496402674478,1.05
"18",0.0501187233627272,1.04475403186319,0.00129401294374945,1.04412405295999,1.05
"19",0.0630957344480193,1.04402579612202,0.0011796511141345,1.04316032275963,1.05
"20",0.0794328234724282,1.04337708834601,0.000814645048522413,1.04205770873409,1.05
"21",0.1,1.04238295477678,0.000771880990196296,1.04079959804134,1.05
"22",0.001,1.0791356777588,0.0103628531696215,1.09944248799808,1.1
"23",0.00125892541179417,1.07917709749474,0.010336574943032,1.09932711988089,1.1
"24",0.00158489319246111,1.08026184274007,0.00882988879835847,1.09918893345469,1.1
"25",0.00199526231496888,1.0815798944692,0.00764914913591135,1.09902369956152,1.1
"26",0.00251188643150958,1.08248842085906,0.00711836668567244,1.09882648072911,1.1
"27",0.00316227766016838,1.08370228175369,0.00659673975310895,1.09859153225484,1.1
"28",0.00398107170553497,1.08391022360069,0.00627258681711841,1.09831219450617,1.1
"29",0.00501187233627272,1.0844232855209,0.00595761521780937,1.09798077693625,1.1
"30",0.00630957344480193,1.08496734202912,0.00572073138419932,1.09758843469185,1.1
"31",0.00794328234724281,1.08659671419494,0.00415424454033984,1.09712503910783,1.1
"32",0.01,1.08641783266489,0.00455761859617465,1.09657904380782,1.1
"33",0.0125892541179417,1.08834095191853,0.00440964320135575,1.09593734851385,1.1
"34",0.0158489319246111,1.08880697351953,0.00423618047855343,1.09518516292758,1.1
"35",0.0199526231496888,1.08861219141165,0.00475827967108615,1.09430587306501,1.1
"36",0.0251188643150958,1.08969218029046,0.00452117050819069,1.09328091203104,1.1
"37",0.0316227766016838,1.08954030992965,0.0035307824911846,1.09208963616252,1.1
"38",0.0398107170553497,1.08924217787822,0.00326417135276095,1.09070920539164,1.1
"39",0.0501187233627272,1.08809950874652,0.00317421100941205,1.0891144630644,1.1
"40",0.0630957344480193,1.08691405578642,0.00317129973981702,1.0872778045148,1.1
"41",0.0794328234724282,1.08643853548387,0.00217283706214936,1.08516901424028,1.1
"42",0.1,1.08509304086009,0.00113506711106426,1.08275503661319,1.1
"43",0.001,1.11792401158229,0.0159257807079228,1.14927164782428,1.15
"44",0.00125892541179417,1.11894475080821,0.0153876461244597,1.14911766932881,1.15
"45",0.00158489319246111,1.12002352878788,0.0137339698430878,1.14893248417177,1.15
"46",0.00199526231496888,1.12665929984263,0.0137086193134017,1.1487101402621,1.15
"47",0.00251188643150958,1.12892751706069,0.0139139064023944,1.14844365245665,1.15
"48",0.00316227766016838,1.12910863235399,0.0142970385192904,1.14812485090875,1.15
"49",0.00398107170553497,1.13000228374266,0.0150807168036432,1.14774421451458,1.15
"50",0.00501187233627272,1.13060561253978,0.0144024706316635,1.14729068996367,1.15
"51",0.00630957344480193,1.13269451488236,0.0117947662575564,1.14675149752866,1.15
"52",0.00794328234724281,1.13475622065784,0.00836457290967761,1.14611192546436,1.15
"53",0.01,1.13516345570408,0.00762781896307885,1.14535511569607,1.15
"54",0.0125892541179417,1.135963906074,0.007790062181951,1.14446184430058,1.15
"55",0.0158489319246111,1.13879356692334,0.0108683508892226,1.14341030101824,1.15
"56",0.0199526231496888,1.13900037144649,0.0103533871786058,1.14217587251807,1.15
"57",0.0251188643150958,1.13890001439516,0.00946772260410899,1.14073093412992,1.15
"58",0.0316227766016838,1.1386611532218,0.00789848249560768,1.13904465390445,1.15
"59",0.0398107170553497,1.13762983456887,0.00591787939449513,1.13708281065297,1.15
"60",0.0501187233627272,1.13681570850393,0.00408636884288923,1.13480762331695,1.15
"61",0.0630957344480193,1.13521805363428,0.00368021634995265,1.13217758153169,1.15
"62",0.0794328234724282,1.13289313416829,0.0033754282318338,1.12914725493117,1.15
"63",0.1,1.12998677769266,0.00323946255393447,1.12566703899197,1.15
"64",0.001,1.14738261442852,0.0175873530072119,1.1991427248931,1.2
"65",0.00125892541179417,1.15248306525376,0.0215879667548732,1.19895837058199,1.2
"66",0.00158489319246111,1.1555749671633,0.0228129070453863,1.19873589442016,1.2
"67",0.00199526231496888,1.15947062865684,0.0171890034817185,1.19846784584838,1.2
"68",0.00251188643150958,1.16469745634805,0.0174319598083759,1.19814544016213,1.2
"69",0.00316227766016838,1.16903330492946,0.0153105836771054,1.19775835366796,1.2
