87;network+transportation;design+network;city+growth;system+transportation;time+travel;design+network+problem;network+system;design+network+transportation;optimal+solution;model+optimization;63;11;10;9;8;6;6;6;5;5
157;network+transportation;system+transportation;city+growth;network+system;model+programming;demand+travel;level+service;network+system+transportation;level+low;network+performance;79;14;10;8;8;7;5;5;5;5
