stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
large network	large networks	large networks|&|large network	2	6,29455750551	26,7620949704	275,005230744	4,0	24,0	 
network security	network security	network security	2	6,29455750551	26,7620949704	298,991175411	4,0	18,0	 
flow traffic	traffic flows	traffic flows	2	4,72091812914	21,4296947391	273,181825074	3,0	21,0	 
result simulation	simulation results	simulation results	2	4,72091812914	21,4296947391	252,03157608	3,0	28,0	 
network system	network system	network system|&|network systems|&|system network	2	23,6045906457	81,2161803431	507,426178911	16,0	57,0	 
communication network	communication network	communication network|&|network communication	2	6,29455750551	28,5729263188	423,166791917	3,0	9,0	 
analysis network	network analysis	network analysis	2	9,44183625827	38,036257582	227,901348864	5,0	35,0	 
design system	system design	system design	2	6,29455750551	28,5729263188	351,689242839	4,0	14,0	 
different size	different sizes	different sizes	2	4,72091812914	23,3438623187	558,85020304	2,0	10,0	 
access point	access point	access point	2	4,72091812914	23,3438623187	444,593051001	2,0	3,0	 
flow link	link flows	link flows|&|link and flow|&|link flow	2	7,86819688189	33,452618713	244,446014149	4,0	33,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	37,4281676333	256,901255818	2,0	8,0	 
freight transportation	freight transportation	freight transportation	2	18,8836725165	64,9729442745	272,74641276	11,0	73,0	 
information transportation	transportation information	transportation information	2	4,72091812914	23,3438623187	346,499946913	2,0	6,0	 
city growth	city growth	city growth	2	23,6045906457	83,9964006848	836,804266776	10,0	22,0	 
choice route	route choice	route choice	2	9,44183625827	40,1431424556	205,785840132	5,0	53,0	 
area network	area network	area network	2	18,8836725165	85,7187789563	304,702271516	3,0	13,0	 
network public transportation	public transportation network	public transportation network|&|public transportation networks	3	13,8999826553	50,2286016009	455,038388752	6,0	22,0	 
network wireless	wireless networks	wireless networks	2	6,29455750551	31,1251497582	393,969106087	2,0	12,0	 
layout network transportation	transportation network layout	transportation network layout	3	5,95713542369	28,071125725	213,840284927	3,0	24,0	 
different mode	different modes	different modes	2	4,72091812914	21,4296947391	216,330258196	3,0	23,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	37,4281676333	459,40101981	2,0	11,0	 
air network transportation	air transportation network	air transportation network|&|air transportation networks	3	5,95713542369	25,6557151664	341,681707867	3,0	15,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	6,29455750551	26,7620949704	325,398918179	4,0	21,0	 
different strategy	different strategies	different strategies	2	4,72091812914	21,4296947391	378,256701543	3,0	12,0	 
level low	lower level	lower level	2	7,86819688189	31,6968813184	250,414573501	5,0	46,0	 
system transportation	transportation system	transportation system|&|transportation systems	2	99,1392807119	221,746959624	334,270705038	43,0	260,0	 
network sensor wireless	wireless sensor network	wireless sensor network|&|wireless sensor networks	3	19,857118079	71,7551451442	558,85862062	6,0	36,0	 
network service	service network	service network|&|network service	2	7,86819688189	33,452618713	343,876248356	4,0	16,0	 
log n	log n	log n|&|n log	2	4,72091812914	23,3438623187	565,177887669	2,0	7,0	 
city dynamics growth	city growth dynamics	city growth dynamics	3	3,9714236158	18,7140838167	700,008544711	2,0	9,0	 
network performance transportation	transportation network performance	transportation network performance|&|performance of a transportation network|&|performance of the transportation network	3	7,94284723159	31,9226054691	516,583065705	4,0	22,0	 
mode transportation	transportation mode	transportation mode|&|transportation modes	2	7,86819688189	31,6968813184	233,782876545	5,0	40,0	 
monitor system	monitoring systems	monitoring systems|&|monitoring system|&|system monitoring	2	4,72091812914	21,4296947391	248,272785263	3,0	15,0	 
public transport	public transport	public transport	2	4,72091812914	23,3438623187	490,109591763	2,0	16,0	 
network system transportation	transportation network system	transportation network system|&|transportation network systems	3	7,94284723159	31,9226054691	381,468327596	6,0	29,0	 
air transportation	air transportation	air transportation	2	7,86819688189	33,452618713	464,983512615	6,0	32,0	 
chain network	chain network	chain network	2	4,72091812914	23,3438623187	493,370351865	2,0	11,0	 
city size	city size	city size	2	7,86819688189	33,452618713	974,125696466	4,0	16,0	 
planning process	planning process	planning process	2	4,72091812914	23,3438623187	339,940450776	2,0	10,0	 
area infrastructure network	area network infrastructure	area network infrastructure	3	3,9714236158	21,4668648988	317,01270648	1,0	6,0	 
growth population	population growth	population growth	2	4,72091812914	23,3438623187	203,254872107	2,0	3,0	 
network performance	network performance	network performance	2	12,589115011	46,4791224246	217,874991885	7,0	59,0	 
constraint equilibrium	equilibrium constraints	equilibrium constraints	2	6,29455750551	31,1251497582	214,238445037	2,0	17,0	 
mean transport	means of transport	means of transport|&|transport means	3	6,29455750551	28,5729263188	241,483328885	3,0	11,0	 
network structure	network structure	network structure	2	6,29455750551	26,7620949704	219,161340112	4,0	28,0	 
hub transportation	transportation hub	transportation hub	2	4,72091812914	23,3438623187	239,654827775	2,0	10,0	 
control system	control system	control system	2	4,72091812914	26,6161534096	568,234507936	1,0	6,0	 
ITS zone	zone ITS	zone ITS	2	4,72091812914	26,6161534096	243,417812341	1,0	6,0	 
passenger transportation	passenger transportation	passenger transportation	2	4,72091812914	23,3438623187	387,064055628	2,0	7,0	 
chain supply	supply chain	supply chain	2	4,72091812914	21,4296947391	245,899023857	3,0	14,0	 
network sensor	sensor network	sensor network|&|sensor networks	2	6,29455750551	26,7620949704	645,283879026	8,0	41,0	 
component network	network components	network components|&|network component|&|components of the network	2	7,86819688189	33,452618713	414,701592126	4,0	17,0	 
network transport	transport network	transport network	2	6,29455750551	28,5729263188	310,17035986	3,0	21,0	 
freight network transportation	freight transportation network	freight transportation network	3	9,92855903949	42,7595252773	243,816654483	4,0	35,0	 
congestion pricing	congestion pricing	congestion pricing	2	6,29455750551	31,1251497582	287,861209079	2,0	12,0	 
provider service	service providers	service providers|&|service provider	2	7,86819688189	33,452618713	343,594834768	4,0	24,0	 
freight traffic	freight traffic	freight traffic	2	4,72091812914	23,3438623187	266,01752061	2,0	17,0	 
growth rapid	rapid growth	rapid growth	2	4,72091812914	21,4296947391	330,532962292	3,0	17,0	 
equilibrium network transportation	transportation network equilibrium	transportation network equilibrium|&|equilibrium of the transportation network	3	11,9142708474	47,8839082037	411,853372021	4,0	16,0	 
growth practice principle smart	smart growth principles into practice	smart growth principles into practice	5	3,9714236158	18,7140838167	352,987549059	2,0	18,0	 
design engineering network	engineering design network	engineering design network	3	3,9714236158	18,7140838167	687,808803323	2,0	3,0	 
network route	route network	route network|&|network route	2	4,72091812914	23,3438623187	245,610337634	2,0	22,0	 
Euclidean plane	Euclidean plane	Euclidean plane	2	6,29455750551	28,5729263188	609,696037232	3,0	10,0	 
analysis method	analysis method	analysis method	2	4,72091812914	23,3438623187	379,944374902	2,0	15,0	 
intelligent system transportation	intelligent transportation system	intelligent transportation system|&|intelligent transportation systems	3	23,8285416948	73,9339444983	526,936976463	10,0	45,0	 
