stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
family planning service	family planning services	family planning services	3	5,95713542369	28,0441091915	322,732728499	2,0	21,0	 
density population size	population size and density	population size and density|&|size population density|&|density and population size|&|population density and the size	4	9,92855903949	39,8582292806	254,281852584	5,0	29,0	 
law power	power law	power law	2	4,72091812914	21,4082846428	291,470096524	3,0	26,0	 
case new	new cases	new cases	2	4,72091812914	23,3224522224	892,30810593	2,0	5,0	 
birth rate	birth rates	birth rates|&|birth rate	2	17,3100331402	69,6546352142	269,611314408	5,0	46,0	 
numerous population specialized survey	numerous specialized population surveys	numerous specialized population surveys	4	3,9714236158	18,6960727943	712,920127875	2,0	20,0	 
analysis regression	regression analysis	regression analysis	2	6,29455750551	28,5443795238	406,228903485	3,0	20,0	 
indicator key many other	many other key indicators	many other key indicators	4	3,9714236158	18,6960727943	712,920127875	2,0	20,0	 
family planning	family planning	family planning	2	18,8836725165	69,6330432519	365,903990197	8,0	65,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,6960727943	406,075708694	3,0	34,0	 
cause major	major causes	major causes	2	4,72091812914	21,4082846428	433,307358671	3,0	18,0	 
health service	health services	health services	2	4,72091812914	21,4082846428	269,362293364	5,0	50,0	 
space use	space use	space use	2	4,72091812914	23,3224522224	339,147640555	2,0	14,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	17,8714062711	64,4985810293	831,614470616	6,0	22,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,3921455887	349,779095705	2,0	17,0	 
population size	population size	population size|&|Population size|&|Population Size|&|size of the population|&|size population	2	53,5037387969	149,819584168	295,623383265	21,0	107,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,7401819858	279,133849462	2,0	24,0	 
area rural	rural areas	rural areas|&|rural area	2	12,589115011	48,362649472	682,570948882	6,0	30,0	 
rate survival	survival rate	survival rate	2	6,29455750551	26,7335481754	348,566514531	4,0	18,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,7144977215	461,080383398	3,0	30,0	 
child health	child health	child health	2	6,29455750551	28,5443795238	307,812717154	3,0	22,0	 
energy use	energy use	energy use	2	4,72091812914	23,3224522224	327,47631203	2,0	18,0	 
association density population	association between population density	association between population density|&|association with population density	4	5,95713542369	28,0441091915	475,878355978	2,0	13,0	 
