stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|complex network	2	7,86819688189	35,9355864213	291,576591216	5,0	22,0	 
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks	3	33,7571007343	106,53582959	240,189288637	13,0	100,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	99,3177265775	1573,14855644	3,0	9,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows|&|Traffic flow	2	45,635541915	142,39546935	246,705470287	24,0	224,0	 
21st century	21st century	21st century	2	7,86819688189	34,1798490266	658,917495753	5,0	23,0	 
management strategy	management strategy	management strategy|&|management strategies	2	6,29455750551	28,748469137	304,569126298	4,0	31,0	 
model two-fluid	two-fluid model	two-fluid model	2	6,29455750551	33,1115239248	270,656492397	2,0	29,0	 
result simulation	simulation results	simulation results|&|result of simulation	2	12,589115011	48,7708286984	236,092586912	8,0	76,0	 
path planning	path planning	path planning	2	6,29455750551	33,1115239248	219,47311651	2,0	7,0	 
assignment flow	flow assignment	flow assignment	2	9,44183625827	45,8389507281	238,911707187	3,0	23,0	 
period time	time periods	time periods|&|time period	2	6,29455750551	30,5593004854	270,802248643	4,0	37,0	 
condition equilibrium	equilibrium conditions	equilibrium conditions|&|equilibrium condition	2	6,29455750551	28,748469137	218,68172034	4,0	62,0	 
Urban growth	Urban growth	Urban growth	2	7,86819688189	35,9355864213	281,278538202	4,0	5,0	 
multiple period time	multiple time periods	multiple time periods	3	9,92855903949	45,8926816859	248,335126599	3,0	29,0	 
flow link	link flows	link flows	2	9,44183625827	41,0158188319	203,914199609	5,0	58,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	39,9346927602	392,714285811	2,0	7,0	 
freight transportation	freight transportation	freight transportation	2	6,29455750551	33,1115239248	217,492736979	3,0	17,0	 
flow network	network flow	network flow|&|network flows	2	11,0154756347	44,145386913	234,81980226	7,0	52,0	 
assignment model	assignment model	assignment model|&|assignment models	2	22,0309512693	82,7540779033	242,857609724	36,0	407,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	39,9346927602	231,630004487	2,0	29,0	 
equilibrium traffic	equilibrium traffic	equilibrium traffic|&|traffic equilibrium|&|Traffic equilibrium	2	12,589115011	54,6877584426	203,980012057	12,0	154,0	 
network topology	network topology	network topology	2	7,86819688189	34,1798490266	255,011870033	5,0	37,0	 
congestion traffic	traffic congestion	traffic congestion	2	23,6045906457	83,9283338469	254,787975673	11,0	114,0	 
development regional	regional development	regional development	2	9,44183625827	49,6672858873	366,979018793	2,0	8,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	39,9346927602	224,80927233	2,0	9,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|network traffic models|&|traffic network models|&|model under a traffic network	3	25,8142535027	88,2413132022	520,617237826	12,0	87,0	 
cost function	cost function	cost function|&|cost functions	2	6,29455750551	28,748469137	212,181099354	4,0	52,0	 
length path	path length	path length	2	6,29455750551	33,1115239248	531,40253726	2,0	10,0	 
engineering traffic	traffic engineering	traffic engineering	2	11,0154756347	47,8517886373	248,935146987	5,0	56,0	 
control traffic	traffic control	traffic control	2	15,7363937638	63,0648384472	312,991368964	7,0	75,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	28,748469137	369,257727997	5,0	47,0	 
flow forecasting traffic	traffic flow forecasting	traffic flow forecasting	3	7,94284723159	36,7141453487	285,092525777	3,0	28,0	 
equilibrium network	network equilibrium	network equilibrium|&|equilibrium network	2	7,86819688189	35,9355864213	245,978900107	9,0	97,0	 
signal timing	signal timing	signal timing	2	14,1627543874	64,6840555583	237,876469173	4,0	30,0	 
network neural	neural network	neural network	2	12,589115011	52,3924913951	380,795369113	6,0	33,0	 
network performance transportation	transportation network performance	transportation network performance|&|performance of a transportation network	3	5,95713542369	27,5356090115	557,082453603	3,0	15,0	 
guidance system	guidance system	guidance system|&|guidance systems	2	11,0154756347	50,3098209898	257,661440814	6,0	81,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	51,643695894	365,048231006	4,0	33,0	 
management traffic	traffic management	traffic management	2	7,86819688189	35,9355864213	202,53055184	5,0	55,0	 
network road urban	urban road network	urban road network	3	7,94284723159	36,7141453487	241,837323026	3,0	45,0	 
development urban	urban development	urban development	2	11,0154756347	50,3098209898	505,733860092	4,0	18,0	 
model traffic	traffic model	traffic model|&|traffic models|&|model of the traffic	2	12,589115011	52,3924913951	610,614117263	11,0	60,0	 
status traffic	traffic status	traffic status|&|status of the traffic	2	11,0154756347	57,9451668685	218,868543389	2,0	9,0	 
simulation traffic	traffic simulation	traffic simulation	2	6,29455750551	28,748469137	315,33064767	8,0	74,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	27,5356090115	388,600554981	4,0	16,0	 
assignment equilibrium model traffic	equilibrium traffic assignment model	equilibrium traffic assignment model	4	13,8999826553	57,14928705	221,107870416	5,0	86,0	 
network performance	network performance	network performance	2	22,0309512693	80,4328855172	219,428763917	10,0	104,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	29,9510195701	388,638965467	2,0	12,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	57,9451668685	1004,90098679	2,0	4,0	 
assignment equilibrium traffic user	user equilibrium traffic assignment	user equilibrium traffic assignment	4	11,9142708474	46,8128747768	227,300159125	6,0	98,0	 
design network problem	network design problem	network design problem|&|network design problems	3	75,4570487001	188,795551905	236,659529662	45,0	592,0	 
design network	network design	network design|&|design network|&|Network design	2	51,9300994205	153,596599577	256,699062879	60,0	673,0	 
control signal traffic	traffic signal control	traffic signal control	3	5,95713542369	29,9510195701	223,77024325	2,0	25,0	 
network traffic	traffic network	traffic network|&|network traffic|&|traffic networks|&|Network traffic	2	129,038428863	260,872261399	499,959735749	73,0	470,0	 
demand uncertainty	demand uncertainty	demand uncertainty|&|uncertainty demand|&|Demand Uncertainty	2	34,6200662803	117,311466159	207,375650628	15,0	171,0	 
control system	control system	control system|&|control systems	2	7,86819688189	38,1991256067	243,298925959	3,0	28,0	 
datum traffic	traffic data	traffic data|&|data traffic	2	17,3100331402	69,3713222919	289,492282257	7,0	57,0	 
design network problem transportation	transportation network design problem	transportation network design problem|&|transportation network design problems	4	31,7713889264	111,952143092	259,506008992	10,0	122,0	 
cost time travel	travel time and travel cost	travel time and travel cost	5	5,95713542369	27,5356090115	199,271741136	3,0	38,0	 
network transport	transport network	transport network	2	7,86819688189	35,9355864213	206,551163239	4,0	28,0	 
article full	Full article	Full article	2	9,44183625827	39,2943685463	1699,07808746	6,0	14,0	 
application system	systems applications	systems applications|&|systems and applications	2	6,29455750551	33,1115239248	314,13753404	2,0	12,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	39,9346927602	603,608103499	2,0	12,0	 
growth management	growth management	growth management	2	11,0154756347	53,4787758494	562,197041294	3,0	13,0	 
model simulation	simulation model	simulation model|&|simulation models	2	7,86819688189	35,9355864213	263,010377653	6,0	51,0	 
network urban	urban network	urban network|&|urban networks|&|network and urban	2	7,86819688189	35,9355864213	236,658139143	5,0	34,0	 
network road transportation	road transportation network	road transportation network|&|road network transportation	3	11,9142708474	55,0712180231	202,012633009	3,0	28,0	 
consumption energy	energy consumption	energy consumption	2	11,0154756347	50,3098209898	225,395708985	4,0	28,0	 
assignment traffic	traffic assignment	traffic assignment	2	48,7828206677	149,427497895	283,8901186	48,0	494,0	 
guidance route	route guidance	route guidance	2	14,1627543874	58,9415528195	263,180859364	7,0	68,0	 
choice travel	travel choice	travel choice	2	6,29455750551	30,5593004854	219,567904206	3,0	24,0	 
design network transportation	transportation network design	transportation network design	3	17,8714062711	65,0780289715	267,190230906	16,0	187,0	 
assignment problem traffic	traffic assignment problem	traffic assignment problem	3	17,8714062711	67,464422739	329,734342672	11,0	103,0	 
model network	network model	network model|&|network models	2	15,7363937638	60,963535873	360,589148454	14,0	112,0	 
equilibrium model multicriteria network traffic	multicriteria traffic network equilibrium model	multicriteria traffic network equilibrium model	5	7,94284723159	39,9346927602	300,052621218	2,0	29,0	 
