stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
aorta human model	model human aorta	model human aorta	3	11,9142708474	59,018088414	285,928985494	3,0	17,0	 
blood flow	blood flow	blood flow	2	45,635541915	169,755642203	525,317322294	15,0	83,0	 
heat transfer	heat transfer	heat transfer|&|Heat transfer	2	158,937577014	353,527788631	221,980689103	83,0	833,0	 
flow velocity	flow velocity	flow velocity|&|flow velocities|&|velocity of flow	2	15,7363937638	62,665095721	429,059453526	18,0	131,0	 
friction velocity	friction velocity	friction velocity	2	14,1627543874	57,8907812543	310,688943589	18,0	192,0	 
drop pressure	pressure drop	pressure drop	2	40,9146237858	143,699227206	200,545995571	17,0	140,0	 
field flow turbulent	turbulent flow field	turbulent flow field|&|turbulent flow fields	3	9,92855903949	44,1099779805	202,074998903	10,0	110,0	 
flow visualization	flow visualization	flow visualization	2	11,0154756347	49,4925542168	956,072822122	7,0	34,0	 
channel flow	channel flow	channel flow|&|channel flows|&|flow in a channel|&|flow in the channel	2	141,627543874	307,882364212	265,596273514	112,0	994,0	 
energy kinetic turbulent	turbulent kinetic energy	turbulent kinetic energy	3	19,857118079	76,5482067508	233,666755551	10,0	94,0	 
flow laminar	laminar flow	laminar flow	2	23,6045906457	87,8046425187	295,002400713	13,0	80,0	 
flow physics	flow physics	flow physics|&|physics of the flow	2	9,44183625827	44,1436396143	191,724877682	5,0	45,0	 
jet wall	wall jet	wall jet|&|jet wall	2	9,44183625827	46,2505244879	225,4008663	4,0	28,0	 
duct heat square transfer	heat transfer in a square duct	heat transfer in a square duct	6	9,92855903949	49,181740345	205,527350847	3,0	45,0	 
flow linear shear	linear shear flow	linear shear flow	3	13,8999826553	64,8556606656	307,25282778	4,0	25,0	 
blood flow pulsatile	pulsatile blood flow	pulsatile blood flow	3	9,92855903949	49,181740345	299,914593264	3,0	21,0	 
heat surface transfer	surface heat transfer	surface heat transfer	3	9,92855903949	46,325471904	194,769236222	4,0	42,0	 
flow heat transfer turbulent	turbulent flow and heat transfer	turbulent flow and heat transfer|&|heat transfer for turbulent flow|&|heat transfer in turbulent flow	5	29,7856771185	106,253504803	187,852404602	12,0	164,0	 
parameter shear	shear parameter	shear parameter	2	18,8836725165	97,9335430209	372,585941888	3,0	27,0	 
channel flow turbulent	turbulent channel flow	turbulent channel flow|&|turbulent flow in a channel	3	129,071267513	292,731752528	253,000135324	54,0	506,0	 
Direct channel flow numerical simulation turbulent	Direct numerical simulation of turbulent channel flow	Direct numerical simulation of turbulent channel flow|&|Direct numerical simulation of the turbulent channel flow|&|Direct numerical simulation of a turbulent channel flow	7	11,9142708474	50,7597451677	234,631631532	6,0	44,0	 
flux heat turbulent	turbulent heat fluxes	turbulent heat fluxes|&|turbulent heat flux	3	21,8428298869	86,7757422373	229,622986709	8,0	114,0	 
