stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|complex network	2	7,86819688189	35,3982994539	357,113583049	5,0	21,0	 
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks	3	33,7571007343	104,23069532	215,340777951	13,0	106,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	97,9207804624	1525,43444829	3,0	9,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows|&|Traffic flow	2	42,4882631622	132,249577416	246,336528926	21,0	213,0	 
21st century	21st century	21st century	2	7,86819688189	33,6425620593	633,618517777	5,0	22,0	 
management strategy	management strategy	management strategy|&|management strategies	2	6,29455750551	28,3186395631	282,95145656	4,0	30,0	 
model two-fluid	two-fluid model	two-fluid model	2	6,29455750551	32,681694351	274,25930317	2,0	29,0	 
result simulation	simulation results	simulation results|&|result of simulation	2	12,589115011	47,9111695507	216,830349028	8,0	83,0	 
path planning	path planning	path planning	2	6,29455750551	32,681694351	218,172736912	2,0	7,0	 
assignment flow	flow assignment	flow assignment	2	9,44183625827	45,1942063672	253,402581529	3,0	24,0	 
period time	time periods	time periods|&|time period	2	6,29455750551	30,1294709115	270,980059762	4,0	36,0	 
choice problem route	route choice problem	route choice problem	3	5,95713542369	29,5442311694	213,901783013	2,0	22,0	 
Urban growth	Urban growth	Urban growth	2	7,86819688189	35,3982994539	272,659620246	4,0	5,0	 
multiple period time	multiple time periods	multiple time periods	3	9,92855903949	45,2147010181	259,748059562	3,0	29,0	 
flow link	link flows	link flows	2	7,86819688189	35,3982994539	230,342382003	4,0	51,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	39,3923082259	263,35540023	2,0	8,0	 
choice model route	route choice model	route choice model	3	33,7571007343	120,620031564	299,027076457	8,0	86,0	 
flow network	network flow	network flow|&|network flows	2	11,0154756347	43,3931851587	232,679107398	7,0	55,0	 
assignment model	assignment model	assignment model|&|assignment models	2	22,0309512693	81,2496743947	253,27450575	34,0	381,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	39,3923082259	200,394485794	2,0	28,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	27,1288206109	389,130908243	4,0	16,0	 
development regional	regional development	regional development	2	9,44183625827	49,0225415264	362,442408425	2,0	8,0	 
layout network transportation	transportation network layout	transportation network layout	3	5,95713542369	29,5442311694	356,443490185	2,0	8,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	39,3923082259	205,206771905	2,0	10,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|model under a traffic network	3	13,8999826553	53,665847638	467,329674165	8,0	61,0	 
behavior travel	travel behavior	travel behavior	2	4,72091812914	22,5971031836	549,090429574	3,0	19,0	 
length path	path length	path length	2	6,29455750551	32,681694351	523,507650572	2,0	10,0	 
