stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|complex network	2	7,86819688189	36,2411858767	294,267518081	5,0	22,0	 
network traffic urban	urban traffic network	urban traffic network|&|urban traffic networks|&|traffic in urban networks	3	33,7571007343	107,846949756	260,094263895	13,0	102,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	100,112285162	2312,5482617	3,0	8,0	 
flow traffic	traffic flow	traffic flow|&|traffic flows|&|Traffic flow	2	47,2091812914	146,440852759	322,5144752	27,0	251,0	 
21st century	21st century	21st century	2	7,86819688189	34,485448482	780,579029456	5,0	21,0	 
management strategy	management strategy	management strategy|&|management strategies	2	6,29455750551	28,9929487013	327,038441467	4,0	29,0	 
model two-fluid	two-fluid model	two-fluid model	2	6,29455750551	33,3560034892	307,821140596	2,0	27,0	 
result simulation	simulation results	simulation results|&|result of simulation	2	12,589115011	49,259787827	258,110495726	8,0	75,0	 
layout network	network layout	network layout	2	7,86819688189	38,5047250621	202,570690288	5,0	36,0	 
path planning	path planning	path planning	2	6,29455750551	33,3560034892	234,133501978	2,0	7,0	 
period time	time periods	time periods|&|time period	2	6,29455750551	30,8037800497	294,367453157	4,0	36,0	 
condition equilibrium	equilibrium conditions	equilibrium conditions|&|equilibrium condition	2	6,29455750551	28,9929487013	202,193758323	4,0	68,0	 
Urban growth	Urban growth	Urban growth	2	7,86819688189	36,2411858767	374,577232837	4,0	4,0	 
multiple period time	multiple time periods	multiple time periods	3	9,92855903949	46,2783052641	272,337964871	3,0	28,0	 
flow link	link flows	link flows	2	9,44183625827	41,3825381784	211,200979679	5,0	58,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	40,2431916227	409,001918809	2,0	7,0	 
choice model route	route choice model	route choice model	3	33,7571007343	124,236286001	313,514285176	8,0	85,0	 
aromatic plant	aromatic plants	aromatic plants	2	7,86819688189	41,6950043614	2289,2422337	2,0	2,0	 
consumer surplus	consumer surplus	consumer surplus	2	6,29455750551	30,8037800497	218,987064776	3,0	44,0	 
enforcement law	law enforcement	law enforcement	2	6,29455750551	30,8037800497	1099,18913546	3,0	8,0	 
dynamics traffic	traffic dynamics	traffic dynamics	2	12,589115011	57,9858974027	216,043694535	4,0	44,0	 
flow network	network flow	network flow|&|network flows	2	11,0154756347	44,5732261506	205,812546127	7,0	54,0	 
assignment model	assignment model	assignment model|&|assignment models	2	22,0309512693	83,6097563784	209,592926299	37,0	432,0	 
multimodal network traffic urban	urban multimodal traffic network	urban multimodal traffic network	4	7,94284723159	40,2431916227	229,842306098	2,0	29,0	 
network topology	network topology	network topology	2	7,86819688189	34,485448482	234,738790451	5,0	37,0	 
demand network traffic	network traffic demand	network traffic demand|&|traffic demand across the network	3	5,95713542369	30,182393717	308,977161001	2,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	23,6045906457	84,8451322131	267,745795721	11,0	110,0	 
development regional	regional development	regional development	2	9,44183625827	50,0340052337	474,367950892	2,0	7,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	40,2431916227	325,772577792	2,0	9,0	 
model network traffic	network traffic model	network traffic model|&|traffic network model|&|network traffic models|&|traffic network models|&|model under a traffic network	3	25,8142535027	89,2439345054	520,377020246	12,0	87,0	 
demand model	demand model	demand model	2	6,29455750551	30,8037800497	253,289189597	3,0	24,0	 
cost function	cost function	cost function|&|cost functions	2	6,29455750551	28,9929487013	220,357386003	4,0	51,0	 
length path	path length	path length	2	6,29455750551	33,3560034892	550,089681564	2,0	10,0	 
engineering traffic	traffic engineering	traffic engineering	2	9,44183625827	41,3825381784	304,388011618	6,0	57,0	 
control traffic	traffic control	traffic control	2	15,7363937638	59,721254556	303,48871897	9,0	94,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	28,9929487013	364,810102563	5,0	47,0	 
flow forecasting traffic	traffic flow forecasting	traffic flow forecasting	3	7,94284723159	37,0226442113	295,893778307	3,0	28,0	 
equilibrium network	network equilibrium	network equilibrium|&|equilibrium network	2	7,86819688189	36,2411858767	272,250990399	9,0	94,0	 
signal timing	signal timing	signal timing	2	14,1627543874	65,234134578	218,119875638	4,0	30,0	 
network neural	neural network	neural network	2	12,589115011	52,8814505237	371,419894058	6,0	33,0	 
design network problem transportation	transportation network design problem	transportation network design problem|&|transportation network design problems	4	31,7713889264	113,186138542	276,866857411	10,0	121,0	 
mode transportation	transportation modes	transportation modes	2	6,29455750551	30,8037800497	244,858935581	3,0	28,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	52,1064441878	337,364062112	4,0	33,0	 
management traffic	traffic management	traffic management	2	12,589115011	52,8814505237	213,762202729	7,0	82,0	 
network road urban	urban road network	urban road network	3	7,94284723159	37,0226442113	260,946525136	3,0	43,0	 
development urban	urban development	urban development	2	11,0154756347	50,7376602273	586,504217112	4,0	17,0	 
network optimization problem	network optimization problems	network optimization problems	3	7,94284723159	40,2431916227	263,309816685	2,0	14,0	 
model traffic	traffic model	traffic model|&|traffic models|&|model of the traffic	2	12,589115011	52,8814505237	579,071629886	11,0	61,0	 
assignment equilibrium model traffic	equilibrium traffic assignment model	equilibrium traffic assignment model|&|traffic equilibrium assignment model	4	13,8999826553	57,6891600595	201,418701026	6,0	114,0	 
network performance	network performance	network performance	2	22,0309512693	81,2885639923	244,906942289	10,0	98,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	58,373006106	434,809981645	2,0	4,0	 
assignment equilibrium traffic user	user equilibrium traffic assignment	user equilibrium traffic assignment	4	9,92855903949	41,2065428996	206,728636055	7,0	125,0	 
design network problem	network design problem	network design problem|&|network design problems	3	75,4570487001	191,726291099	265,37672569	45,0	582,0	 
design network	network design	network design|&|design network|&|Network design	2	51,9300994205	155,613555982	284,565213358	60,0	663,0	 
demand uncertainty	demand uncertainty	demand uncertainty|&|uncertainty demand|&|Demand Uncertainty	2	36,1937056567	121,367320893	199,631105875	16,0	187,0	 
control system	control system	control system|&|control systems	2	7,86819688189	38,5047250621	233,864869505	3,0	29,0	 
datum traffic	traffic data	traffic data|&|data traffic	2	18,8836725165	73,8896817406	292,759673926	8,0	57,0	 
network traffic	traffic network	traffic network|&|network traffic|&|traffic networks|&|Network traffic	2	132,185707616	272,369070333	453,559945938	79,0	527,0	 
network transport	transport network	transport network	2	7,86819688189	36,2411858767	245,117907451	4,0	28,0	 
article full	Full article	Full article	2	9,44183625827	39,6610878928	1009,37297368	6,0	13,0	 
application system	systems applications	systems applications|&|systems and applications	2	6,29455750551	33,3560034892	231,826626719	2,0	12,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	40,2431916227	623,056247371	2,0	12,0	 
growth management	growth management	growth management	2	11,0154756347	53,906615087	735,557235954	3,0	11,0	 
model simulation	simulation model	simulation model|&|simulation models	2	9,44183625827	41,3825381784	330,275358906	7,0	61,0	 
network urban	urban network	urban network|&|urban networks|&|network and urban	2	7,86819688189	36,2411858767	216,368123025	5,0	36,0	 
network road transportation	road transportation network	road transportation network|&|road network transportation	3	11,9142708474	55,5339663169	202,202529624	3,0	28,0	 
assignment traffic	traffic assignment	traffic assignment	2	48,7828206677	151,322214518	279,983669328	51,0	534,0	 
guidance route	route guidance	route guidance	2	14,1627543874	59,4916318392	277,750606329	7,0	67,0	 
flow network traffic	network traffic flow	network traffic flow	3	7,94284723159	40,2431916227	226,080980674	2,0	16,0	 
choice travel	travel choice	travel choice	2	6,29455750551	30,8037800497	243,879576545	3,0	23,0	 
infrastructure transportation	transportation infrastructure	transportation infrastructure	2	7,86819688189	41,6950043614	215,143727453	2,0	25,0	 
macroscopic model	macroscopic model	macroscopic model|&|macroscopic models	2	7,86819688189	36,2411858767	327,087706434	4,0	38,0	 
design network transportation	transportation network design	transportation network design	3	17,8714062711	65,7721514122	283,781575376	16,0	185,0	 
assignment problem traffic	traffic assignment problem	traffic assignment problem	3	21,8428298869	80,3881850593	385,575655646	12,0	106,0	 
model network	network model	network model|&|network models	2	15,7363937638	61,5747347838	344,45245031	14,0	109,0	 
equilibrium model multicriteria network traffic	multicriteria traffic network equilibrium model	multicriteria traffic network equilibrium model	5	7,94284723159	40,2431916227	346,170777255	2,0	27,0	 
city network public transportation	city public transportation network	city public transportation network|&|public transportation network of the city	4	7,94284723159	40,2431916227	860,475826719	2,0	11,0	 
quality service	service quality	service quality|&|quality of service	2	9,44183625827	43,489423052	288,259953317	4,0	15,0	 
design model network	network design model	network design model|&|network design models	3	7,94284723159	34,7376294585	314,835661003	6,0	63,0	 
model network neural	neural network model	neural network model	3	9,92855903949	50,3039895284	458,71742	2,0	20,0	 
freight transportation	freight transportation	freight transportation	2	6,29455750551	33,3560034892	229,623485029	3,0	17,0	 
prediction traffic	traffic prediction	traffic prediction	2	6,29455750551	33,3560034892	517,835989174	2,0	4,0	 
growth urban	urban growth	urban growth	2	31,4727875276	110,38835237	1027,77781308	17,0	60,0	 
land use	land use	land use	2	20,4573118929	75,4822379928	202,065013772	11,0	80,0	 
choice model	choice model	choice model|&|choice models	2	11,0154756347	48,2796278748	311,020660051	10,0	102,0	 
congestion pricing	congestion pricing	congestion pricing	2	6,29455750551	33,3560034892	488,654953653	2,0	14,0	 
assignment problem	assignment problem	assignment problem|&|assignment problems	2	9,44183625827	41,3825381784	364,501747477	16,0	136,0	 
network transportation urban	urban transportation network	urban transportation network|&|urban transportation networks	3	29,7856771185	97,5431995607	251,337370903	12,0	96,0	 
method solution	solution methods	solution methods	2	9,44183625827	41,3825381784	208,670823322	5,0	47,0	 
system traffic	traffic system	traffic system|&|traffic systems	2	12,589115011	50,9408298864	400,94911952	10,0	83,0	 
modeling network traffic	network traffic modeling	network traffic modeling|&|traffic network modeling	3	7,94284723159	34,7376294585	240,308803721	4,0	16,0	 
measurement traffic	traffic measurements	traffic measurements|&|traffic measurement	2	9,44183625827	41,3825381784	529,412514205	5,0	25,0	 
area urban	urban areas	urban areas|&|urban area	2	15,7363937638	58,0632599945	232,589707214	10,0	80,0	 
efficiency network transportation	transportation network efficiency	transportation network efficiency|&|efficiency of the transportation network	3	13,8999826553	64,7896273697	1090,75337051	3,0	16,0	 
guidance system	guidance system	guidance system|&|guidance systems	2	11,0154756347	50,7376602273	262,22525612	6,0	78,0	 
measurement performance	performance measurement	performance measurement	2	11,0154756347	58,373006106	247,528194001	2,0	28,0	 
efficiency network	network efficiency	network efficiency	2	6,29455750551	28,9929487013	486,2365258	5,0	37,0	 
public transportation	public transportation	public transportation	2	7,86819688189	38,5047250621	291,498128761	3,0	11,0	 
assignment model traffic	traffic assignment model	traffic assignment model|&|traffic assignment models	3	47,6570833896	136,745834829	239,822644227	27,0	336,0	 
series time	time series	time series	2	7,86819688189	36,2411858767	286,658744891	4,0	26,0	 
