stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
flow traffic	traffic flow	traffic flow	2	11,0154756347	52,8041481878	1190,72642015	4,0	10,0	 
environment urban	urban environments	urban environments|&|urban environment	2	15,7363937638	64,5268604416	517,726073192	8,0	23,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	37,7172487056	270,481195974	4,0	20,0	 
result simulation	simulation results	simulation results|&|results from simulation	2	9,44183625827	43,1538135731	317,222410018	5,0	31,0	 
development process	development process	development process|&|development processes|&|process of development	2	6,29455750551	30,1737989645	213,237154295	6,0	46,0	 
decision group support	group decision support	group decision support	3	5,95713542369	31,2999440653	289,136549595	2,0	11,0	 
decision support system	decision support system	decision support system|&|decision support systems	3	35,7428125422	120,896190067	799,620954814	16,0	96,0	 
analysis network	network analysis	network analysis	2	14,1627543874	62,1485449312	492,336015446	6,0	20,0	 
environmental impact	environmental impacts	environmental impacts	2	7,86819688189	35,9615113109	230,033562867	5,0	40,0	 
assessment development residential sustainability urban	sustainability assessment of urban residential development	sustainability assessment of urban residential development	6	5,95713542369	31,2999440653	333,380050581	2,0	20,0	 
conceptual model	conceptual model	conceptual model	2	6,29455750551	31,9846303128	354,431917235	3,0	14,0	 
dynamics system	system dynamics	system dynamics|&|systems dynamics|&|dynamics of the system	2	64,5192144315	183,732845214	815,632219457	53,0	263,0	 
expansion model	expansion model	expansion model	2	7,86819688189	43,1710671903	216,594212071	2,0	18,0	 
dynamics urban	urban dynamics	urban dynamics	2	20,4573118929	75,5901923958	300,762528861	12,0	78,0	 
model purpose	model purpose	model purpose|&|purpose of the model|&|purpose of this model	2	7,86819688189	39,980787891	716,52118524	3,0	7,0	 
3D visualization	3D visualization	3D visualization	2	6,29455750551	31,9846303128	225,778525724	3,0	17,0	 
circulation general model	general circulation model	general circulation model	3	7,94284723159	36,2276965895	344,786830834	4,0	37,0	 
development system	system development	system development|&|system under development	2	6,29455750551	31,9846303128	276,158247588	5,0	35,0	 
development residential	residential development	residential development	2	6,29455750551	31,9846303128	222,371275357	3,0	29,0	 
resource water	water resources	water resources	2	6,29455750551	31,9846303128	400,626394221	3,0	9,0	 
host plant	host plant	host plant|&|plant host	2	6,29455750551	31,9846303128	1242,95403709	3,0	4,0	 
time travel	travel time	travel time	2	6,29455750551	34,5368537523	636,705964912	2,0	9,0	 
system transportation	transportation system	transportation system	2	9,44183625827	45,2606984467	272,137681389	4,0	25,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	9,44183625827	43,1538135731	240,744516793	5,0	52,0	 
system urban	urban system	urban system|&|urban systems	2	18,8836725165	69,7755622115	359,957766271	12,0	78,0	 
decision support	decision support	decision support|&|Decision support	2	11,0154756347	46,639714111	764,283904037	25,0	133,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	31,9846303128	467,189388182	3,0	5,0	 
area station	station area	station area	2	6,29455750551	34,5368537523	383,402549867	2,0	13,0	 
planning process urban	urban planning process	urban planning process	3	11,9142708474	62,5998881306	373,132888646	2,0	8,0	 
model such	such models	such models|&|models such	2	6,29455750551	30,1737989645	211,43670497	4,0	25,0	 
complex system	complex systems	complex systems|&|complex system	2	7,86819688189	35,9615113109	310,951184461	5,0	27,0	 
planning support system	planning support system	planning support system	3	5,95713542369	31,2999440653	229,019784495	2,0	17,0	 
model optimization	optimization model	optimization model|&|optimization models|&|model optimization	2	15,7363937638	69,0539388125	313,672241374	6,0	27,0	 
analysis method	analysis method	analysis method|&|analysis methods|&|methods of analysis	2	11,0154756347	48,3377571687	297,404824293	6,0	22,0	 
building group model	group model building	group model building	3	5,95713542369	31,2999440653	525,315136804	2,0	9,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	14,1627543874	59,9653467142	546,104168785	7,0	15,0	 
network road	road network	road network	2	9,44183625827	51,8052806284	966,554960823	2,0	6,0	 
maker policy	policy makers	policy makers	2	7,86819688189	35,9615113109	213,039731237	5,0	33,0	 
application model	model application	model application|&|application of the model	2	6,29455750551	30,1737989645	247,3486415	4,0	21,0	 
climate model system	climate system model	climate system model|&|system climate model	3	11,9142708474	51,6829521761	458,189880532	5,0	52,0	 
information technology	information technology	information technology|&|information technologies	2	18,8836725165	77,4322325299	362,292313902	8,0	32,0	 
allocation land use	land use allocation	land use allocation	3	5,95713542369	31,2999440653	239,469107827	2,0	19,0	 
design network problem	network design problem	network design problem	3	11,9142708474	57,7690670134	953,791864948	3,0	12,0	 
fixation nitrogen	nitrogen fixation	nitrogen fixation	2	7,86819688189	39,980787891	1185,11493704	3,0	3,0	 
model programming	programming model	programming model	2	6,29455750551	31,9846303128	404,810628425	4,0	20,0	 
dynamics model system	system dynamics model	system dynamics model|&|system dynamics models|&|systems dynamics model	3	91,3427431633	226,676616115	931,396902952	32,0	161,0	 
mode reference	reference modes	reference modes	2	7,86819688189	39,980787891	532,161228951	3,0	7,0	 
logit model	logit model	logit model|&|logit models	2	11,0154756347	55,9731030474	216,552065325	3,0	15,0	 
modeling urban year	years of urban modeling	years of urban modeling	4	5,95713542369	31,2999440653	619,031393918	2,0	4,0	 
dynamics model	dynamics model	dynamics model|&|dynamics models|&|dynamics of the model	2	7,86819688189	35,9615113109	961,033476678	37,0	177,0	 
demand travel	travel demand	travel demand	2	6,29455750551	34,5368537523	356,630785556	2,0	16,0	 
network traffic	traffic network	traffic network	2	7,86819688189	39,980787891	458,282642421	3,0	15,0	 
policy variable	policy variables	policy variables	2	6,29455750551	30,1737989645	345,524883958	4,0	21,0	 
land scheme surface	land surface scheme	land surface scheme	3	5,95713542369	31,2999440653	308,898799486	3,0	36,0	 
support system	support system	support system|&|support systems|&|support of the system	2	11,0154756347	48,3377571687	734,0506839	20,0	117,0	 
land surface	land surface	land surface	2	6,29455750551	31,9846303128	423,01568119	5,0	59,0	 
decision maker	decision makers	decision makers	2	9,44183625827	43,1538135731	330,245316788	8,0	44,0	 
agglomeration urban	urban agglomeration	urban agglomeration	2	7,86819688189	43,1710671903	528,370529104	2,0	7,0	 
ice sea	sea ice	sea ice	2	7,86819688189	35,9615113109	427,009857389	5,0	46,0	 
decision maker planner	planners and decision makers	planners and decision makers|&|decision makers and planners	4	5,95713542369	28,8845335067	333,080061865	3,0	24,0	 
earth model system	earth system model	earth system model|&|Earth system model	3	15,8856944632	68,9106029014	524,709894055	5,0	44,0	 
development economic	economic development	economic development	2	6,29455750551	31,9846303128	267,821434104	3,0	12,0	 
model ocean	ocean model	ocean model	2	6,29455750551	30,1737989645	501,413155121	4,0	13,0	 
development sustainable urban	sustainable urban development	sustainable urban development|&|urban sustainable development	3	7,94284723159	38,5127113423	619,8379905	3,0	7,0	 
modeling process	modeling process	modeling process	2	6,29455750551	30,1737989645	294,499880191	4,0	17,0	 
land value	land values	land values	2	6,29455750551	34,5368537523	544,215979022	2,0	6,0	 
model network	network model	network model|&|network models	2	15,7363937638	66,6281630158	544,289582916	7,0	28,0	 
land-use planning	land-use planning	land-use planning	2	7,86819688189	39,980787891	353,562171909	3,0	9,0	 
area sensitive	sensitive areas	sensitive areas	2	6,29455750551	34,5368537523	214,423677437	2,0	15,0	 
dynamic model system	system dynamic model	system dynamic model	3	11,9142708474	51,6829521761	339,566877273	5,0	24,0	 
supply water	water supply	water supply|&|supply water	2	7,86819688189	43,1710671903	288,798707557	2,0	13,0	 
new version	new version	new version	2	7,86819688189	37,7172487056	331,562761319	4,0	25,0	 
model structure	model structure	model structure|&|structure of the model	2	6,29455750551	31,9846303128	285,16393585	3,0	15,0	 
economic growth	economic growth	economic growth	2	12,589115011	57,5384180974	531,371520676	5,0	16,0	 
model urban	urban models	urban models|&|urban model	2	12,589115011	51,6214883533	326,004437323	8,0	29,0	 
analysis policy	policy analysis	policy analysis	2	15,7363937638	69,0539388125	325,175217645	6,0	15,0	 
climate simulation	climate simulation	climate simulation|&|climate simulations	2	6,29455750551	31,9846303128	270,959590264	3,0	28,0	 
modeling system	modeling system	modeling system|&|system modeling|&|modeling systems|&|systems modeling	2	23,6045906457	91,5230784784	235,392919794	10,0	35,0	 
variety wide	wide variety	wide variety	2	6,29455750551	30,1737989645	375,577638515	4,0	14,0	 
development sustainable	sustainable development	sustainable development	2	17,3100331402	70,9795464857	329,456550386	8,0	50,0	 
enterprise information	enterprise information	enterprise information	2	7,86819688189	43,1710671903	341,457315619	2,0	11,0	 
dynamics landscape urban	urban landscape dynamics	urban landscape dynamics	3	5,95713542369	31,2999440653	700,525202295	2,0	7,0	 
network transportation	transportation network	transportation network|&|transportation networks	2	23,6045906457	94,0100703207	266,327038145	9,0	55,0	 
decision model support	decision support model	decision support model	3	11,9142708474	57,7690670134	216,141218692	3,0	13,0	 
model process	process models	process models|&|process model|&|model in the process	2	7,86819688189	39,980787891	335,875124648	3,0	7,0	 
chain supply	supply chain	supply chain	2	6,29455750551	34,5368537523	385,37260545	2,0	6,0	 
carbon cycle	carbon cycle	carbon cycle	2	9,44183625827	47,9769454692	320,029491575	4,0	23,0	 
information system	information system	information system|&|information systems|&|system information	2	51,9300994205	170,826952706	403,643576714	35,0	169,0	 
feedback loop	feedback loops	feedback loops|&|feedback loop	2	11,0154756347	52,8041481878	297,0958601	5,0	31,0	 
3D model	3D models	3D models|&|3D model	2	9,44183625827	43,1538135731	738,634901049	5,0	11,0	 
model system	system model	system model|&|model system|&|system models|&|model systems|&|system of models	2	48,7828206677	150,684521507	554,944765171	33,0	155,0	 
city different	different cities	different cities	2	6,29455750551	30,1737989645	735,884476445	4,0	10,0	 
land structure	land structure	land structure	2	6,29455750551	34,5368537523	530,521698822	2,0	9,0	 
modeling urban	urban modeling	urban modeling	2	15,7363937638	62,6733802138	373,174984293	11,0	48,0	 
surface temperature	surface temperature	surface temperature|&|surface temperatures	2	9,44183625827	45,2606984467	246,553985114	4,0	23,0	 
growth model	growth model	growth model|&|growth models	2	11,0154756347	48,3377571687	302,265330627	15,0	141,0	 
modeling network	network modeling	network modeling	2	7,86819688189	39,980787891	631,337232134	3,0	6,0	 
growth model urban	urban growth model	urban growth model|&|model of urban growth	3	23,8285416948	84,5781152662	253,231697311	11,0	123,0	 
geographic information system	geographic information system	geographic information system|&|geographic information systems	3	27,7999653106	98,6744678105	345,995568231	11,0	61,0	 
model surface	surface model	surface model	2	6,29455750551	34,5368537523	262,460046246	2,0	13,0	 
