stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
area other	other areas	other areas	2	3,14727875276	12,442225961	396,01756132	2,0	9,0	 
density distribution population	population density distribution	population density distribution	3	3,9714236158	14,7766418687	431,8951459	2,0	5,0	 
initial response specie	initial response of a species	initial response of a species	5	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
density high population	high population density	high population density|&|highest population density	3	11,9142708474	33,4129896516	372,932259029	5,0	15,0	 
habitat mortality	mortality in habitat	mortality in habitat	3	3,14727875276	12,442225961	14,3176775239	2,0	66,0	 
dependency fragmentation habitat	dependency on habitat fragmentation	dependency on habitat fragmentation	4	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
competitor richness	competitor richness	competitor richness	2	3,14727875276	14,6237533549	442,074677709	1,0	2,0	 
initial organism response speed	speed of the initial response of organisms	speed of the initial response of organisms	7	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
development infrastructure	infrastructure development	infrastructure development|&|development of infrastructure	2	3,14727875276	12,442225961	468,147206224	2,0	8,0	 
habitat probability	probability from habitat	probability from habitat	3	6,29455750551	24,884451922	14,3176775239	2,0	66,0	 
pregnancy termination	pregnancy termination	pregnancy termination	2	3,14727875276	14,6237533549	355,831654474	1,0	6,0	 
density population relationship	relationship between population density	relationship between population density	4	5,95713542369	19,7495522445	327,512381643	3,0	12,0	 
antisocial behavior youth	youth antisocial behavior	youth antisocial behavior	3	3,9714236158	17,5294229508	259,500746332	1,0	5,0	 
density function population	population density functions	population density functions|&|Population density functions	3	7,94284723159	29,5532837374	445,033040637	2,0	5,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	29,5532837374	248,707161705	2,0	13,0	 
pregnant teen	pregnant teens	pregnant teens	2	6,29455750551	29,2475067098	355,831654474	1,0	6,0	 
population size	population size	population size|&|size of the population	2	6,29455750551	20,5213971342	524,903905797	4,0	8,0	 
area rural	rural areas	rural areas|&|rural area	2	7,86819688189	25,6517464177	354,289289059	4,0	19,0	 
public service transport	public transport services	public transport services	3	3,9714236158	17,5294229508	1121,00514286	1,0	2,0	 
commune datum population	population data per commune	population data per commune	4	3,9714236158	14,7766418687	351,110681559	2,0	13,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	32,9159204075	227,667462906	3,0	27,0	 
standing volume	standing volume	standing volume	2	4,72091812914	21,9356300324	879,573534852	1,0	2,0	 
deer density	deer density	deer density	2	4,72091812914	21,9356300324	378,991308949	1,0	3,0	 
density measure population	measure of population density	measure of population density|&|population density as a measure	4	3,9714236158	14,7766418687	305,507270092	2,0	7,0	 
event fragmentation habitat	habitat fragmentation events	habitat fragmentation events	3	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
air transport	air transport	air transport	2	4,72091812914	21,9356300324	1454,33619048	1,0	2,0	 
band extra guard	extra guard band	extra guard band	3	5,95713542369	26,2941344262	354,575249137	1,0	2,0	 
fragmentation habitat	habitat fragmentation	habitat fragmentation|&|Habitat fragmentation	2	6,29455750551	24,884451922	14,3176775239	2,0	66,0	 
FSD equation term transport various	various terms of the FSD transport equation	various terms of the FSD transport equation	7	3,9714236158	14,7766418687	161,263363601	2,0	21,0	 
character pollution	character of pollution	character of pollution	3	4,72091812914	21,9356300324	14,9673554175	1,0	1,0	 
behavior density effect movement population strong	stronger effect on population density than movement behavior	stronger effect on population density than movement behavior	8	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
consequence term	term consequences	term consequences	2	3,14727875276	14,6237533549	322,876101387	1,0	5,0	 
behavior matrix movement	movement behavior in matrix	movement behavior in matrix	4	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	36,9416046718	164,962487223	2,0	22,0	 
density home population range size	home range size and population density	home range size and population density|&|population density and home range size	6	3,9714236158	14,7766418687	641,620062112	2,0	5,0	 
association density population	association between population density	association between population density|&|association with population density	4	5,95713542369	22,1649628031	385,205443285	2,0	11,0	 
model parameter	model parameters	model parameters	2	4,72091812914	18,6633389415	122,364656248	2,0	12,0	 
density determinant habitat important patch population	important determinant for population density within habitat patches	important determinant for population density within habitat patches	8	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
change climate	climate change	climate change	2	6,29455750551	24,884451922	1166,48359466	2,0	3,0	 
growth population	population growth	population growth	2	6,29455750551	22,3322284825	281,900781839	3,0	9,0	 
habitat matrix	habitat and matrix	habitat and matrix|&|matrix and habitat	3	6,29455750551	24,884451922	14,3176775239	2,0	66,0	 
behavior habitat movement	Movement behavior in habitat	Movement behavior in habitat	4	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	22,3322284825	349,522082611	4,0	19,0	 
dilatation rate	dilatation rate	dilatation rate	2	4,72091812914	18,6633389415	189,256025137	2,0	21,0	 
distribution individual initial landscape	initial distribution of individuals across the landscape	initial distribution of individuals across the landscape	7	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
context equation transport	transport equation in the context	transport equation in the context	5	5,95713542369	22,1649628031	150,374488035	2,0	18,0	 
density experiment observation population post-fragmentation	observations of population density in post-fragmentation experiments	observations of population density in post-fragmentation experiments	7	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
normal rate strain term	normal strain rate term	normal strain rate term	4	3,9714236158	17,5294229508	147,16160375	1,0	11,0	 
direction fragmentation habitat observed relationship	direction of observed relationships between habitat fragmentation	direction of observed relationships between habitat fragmentation	7	3,9714236158	14,7766418687	14,3176775239	2,0	66,0	 
body size	body size	body size	2	7,86819688189	25,6517464177	537,034517319	4,0	9,0	 
evolution ownership	evolution of ownership	evolution of ownership	3	4,72091812914	21,9356300324	284,597600759	1,0	4,0	 
density equation flame surface transport	transport equation for flame surface density	transport equation for flame surface density|&|flame surface density transport equation	6	3,9714236158	17,5294229508	189,834973055	1,0	9,0	 
crown width	crown width	crown width	2	4,72091812914	21,9356300324	879,573534852	1,0	2,0	 
plan transport	transport planning	transport planning	2	4,72091812914	21,9356300324	521,187792208	1,0	5,0	 
density effect population	effects of population density	effects of population density|&|Population density effects|&|effect on population density	4	11,9142708474	33,4129896516	73,1520644516	5,0	80,0	 
traffic volume	traffic volumes	traffic volumes	2	4,72091812914	21,9356300324	521,187792208	1,0	5,0	 
