stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
availability weed wide	wide availability of weeds	wide availability of weeds	4	3,9714236158	18,6232005917	308,435106716	2,0	36,0	 
density population size	population size and density	population size and density|&|density and population size|&|population size or density|&|size and population density|&|population density and the size|&|size population density	4	17,8714062711	59,0293729237	321,153391004	9,0	79,0	 
case new	new cases	new cases	2	4,72091812914	23,2358274411	352,895045011	2,0	5,0	 
analysis regression	regression analysis	regression analysis	2	4,72091812914	23,2358274411	278,689177864	2,0	22,0	 
low-density population	low-density population	low-density population	2	7,86819688189	35,5360997691	1534,16163663	3,0	10,0	 
rate survival	survival rate	survival rate	2	4,72091812914	21,3216598615	366,899140657	3,0	12,0	 
distribution population	population distribution	population distribution	2	6,29455750551	30,9811032547	612,416973856	2,0	9,0	 
density maximum population	maximum population density	maximum population density	3	7,94284723159	34,0258537719	271,821041816	3,0	33,0	 
availability prey	prey availability	prey availability	2	9,44183625827	46,4716548821	501,141498988	2,0	16,0	 
family planning	family planning	family planning	2	12,589115011	53,2360969338	1239,9808193	4,0	16,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,6232005917	659,996742603	3,0	33,0	 
space use	space use	space use	2	4,72091812914	23,2358274411	331,159720075	2,0	15,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	13,8999826553	52,4447767907	1952,12284266	5,0	14,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	37,2464011834	877,081477195	2,0	14,0	 
deer population	deer population	deer population	2	4,72091812914	23,2358274411	866,868151566	2,0	11,0	 
datum set	data sets	data sets|&|sets of data	2	4,72091812914	21,3216598615	293,765517492	5,0	57,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,5580014792	359,374834421	2,0	23,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	44,1235524646	924,181804368	5,0	24,0	 
habitat quality	habitat quality	habitat quality	2	4,72091812914	21,3216598615	404,853393817	3,0	18,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,5323172149	777,693022069	3,0	28,0	 
energy use	energy use	energy use	2	6,29455750551	28,4288798153	400,314072064	3,0	28,0	 
association density population	association between population density	association between population density|&|association with population density	4	7,94284723159	34,0258537719	476,855881436	3,0	21,0	 
brood size	brood size	brood size	2	14,1627543874	69,7074823232	290,852311115	2,0	16,0	 
home individual range	individual home ranges	individual home ranges	3	5,95713542369	25,519390329	689,087105078	3,0	23,0	 
density estimate	density estimate	density estimate|&|density estimates|&|estimates of the density	2	6,29455750551	26,6180484669	490,611427849	4,0	15,0	 
mortality rate	mortality rates	mortality rates	2	6,29455750551	30,9811032547	839,118537067	2,0	8,0	 
body density mass population	population density and body mass	population density and body mass|&|body mass and population density|&|body mass population density|&|population density on body mass	5	23,8285416948	75,8992325889	336,2819541	9,0	79,0	 
density relationship	density relationship	density relationship|&|density relationships|&|relationship between density|&|relationships between density	2	12,589115011	50,4269171024	349,320233399	7,0	61,0	 
curvature dependence	curvature dependence	curvature dependence	2	4,72091812914	21,3216598615	721,069421476	3,0	28,0	 
density grid	density grid	density grid|&|density grids	2	4,72091812914	23,2358274411	668,816863987	3,0	18,0	 
behaviour territorial	territorial behaviour	territorial behaviour	2	4,72091812914	21,3216598615	622,711993562	3,0	18,0	 
correlation positive	positive correlation	positive correlation	2	4,72091812914	21,3216598615	301,425886498	3,0	22,0	 
annual variability	annual variability	annual variability	2	6,29455750551	35,3441580426	558,136098137	1,0	8,0	 
metabolic rate	metabolic rate	metabolic rate|&|metabolic rates	2	14,1627543874	54,1481063118	369,139783061	6,0	46,0	 
size territory	territory size	territory size	2	4,72091812914	23,2358274411	622,294919314	2,0	6,0	 
dynamics population	population dynamics	population dynamics	2	12,589115011	56,8577596305	391,857076937	3,0	18,0	 
model parameter	model parameters	model parameters	2	4,72091812914	23,2358274411	294,205000823	2,0	13,0	 
change climate	climate change	climate change	2	11,0154756347	44,1235524646	453,068827091	5,0	8,0	 
home range	home range	home range|&|home ranges|&|Home range	2	45,635541915	142,845084237	352,369642292	22,0	233,0	 
body mass	body mass	body mass|&|Body mass	2	51,9300994205	144,460253215	357,368507556	23,0	226,0	 
growth population	population growth	population growth	2	18,8836725165	62,5512112901	995,476391205	12,0	52,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	28,4288798153	1031,87370778	4,0	21,0	 
dilatation rate	dilatation rate	dilatation rate	2	4,72091812914	23,2358274411	520,994833185	2,0	23,0	 
period post-breeding	post-breeding period	post-breeding period	2	6,29455750551	30,9811032547	308,435106716	2,0	36,0	 
growth population rapid	rapid population growth	rapid population growth	3	5,95713542369	25,519390329	868,222168782	3,0	17,0	 
context equation transport	transport equation in the context	transport equation in the context	5	5,95713542369	27,9348008875	464,381717863	2,0	18,0	 
adult female	adult females	adult females|&|adult female	2	7,86819688189	35,5360997691	535,821964693	3,0	17,0	 
number total	total number	total number	2	4,72091812914	21,3216598615	544,252841833	3,0	19,0	 
energetic equivalence rule	energetic equivalence rule	energetic equivalence rule	3	27,7999653106	95,5356370753	337,420187348	7,0	61,0	 
forest fragment	forest fragments	forest fragments	2	4,72091812914	23,2358274411	309,257476137	2,0	11,0	 
population world	world population	world population	2	4,72091812914	21,3216598615	308,837972794	3,0	6,0	 
female male	males and females	males and females	3	4,72091812914	21,3216598615	449,017996357	3,0	16,0	 
change population	population change	population change	2	6,29455750551	28,4288798153	553,80898893	3,0	7,0	 
number offspring	offspring number	offspring number	2	4,72091812914	23,2358274411	315,674252852	2,0	28,0	 
food resource	food resources	food resources|&|food resource	2	11,0154756347	42,115193798	495,954775382	6,0	49,0	 
health reproductive	reproductive health	reproductive health	2	7,86819688189	35,5360997691	852,612918926	3,0	8,0	 
availability food	food availability	food availability	2	4,72091812914	21,3216598615	388,720862104	3,0	31,0	 
animal density population	animal population density	animal population density|&|animal population densities	3	13,8999826553	52,4447767907	392,274887254	5,0	19,0	 
period time	time periods	time periods|&|time period	2	7,86819688189	35,5360997691	505,904273282	3,0	26,0	 
density relation	density in relation	density in relation|&|relation between density|&|density or the relation	3	4,72091812914	21,3216598615	501,84285254	3,0	10,0	 
group size	group size	group size|&|Group size|&|size group	2	9,44183625827	42,6433197229	408,026252172	3,0	13,0	 
body density population size	body size and population density	body size and population density|&|population density and body size|&|Population density and body size|&|body size population density|&|population density with body size	5	27,7999653106	78,3263685557	396,9576735	13,0	112,0	 
correlation density population	correlation between population density	correlation between population density	4	5,95713542369	27,9348008875	618,456156862	2,0	14,0	 
density population urbanization	population density and urbanization	population density and urbanization	4	3,9714236158	18,6232005917	365,721966372	2,0	13,0	 
density low population	low population density	low population density	3	5,95713542369	27,9348008875	554,010009865	2,0	10,0	 
development economic	economic development	economic development	2	4,72091812914	21,3216598615	352,381915907	3,0	6,0	 
bird mammal	mammals and birds	mammals and birds|&|birds and mammals	3	7,86819688189	35,5360997691	366,728995506	3,0	25,0	 
density increase	density increases	density increases|&|density increase|&|increase in density	2	4,72091812914	21,3216598615	544,240059617	5,0	33,0	 
FSD transport	FSD transport	FSD transport	2	9,44183625827	46,4716548821	398,551092346	2,0	23,0	 
temporal variability	temporal variability	temporal variability	2	7,86819688189	38,7263790684	460,628548847	2,0	16,0	 
condition food	food conditions	food conditions	2	6,29455750551	30,9811032547	487,440140514	2,0	13,0	 
coefficient correlation	correlation coefficient	correlation coefficient	2	4,72091812914	21,3216598615	277,12966026	3,0	18,0	 
density population relationship	relationship between population density	relationship between population density|&|relationships of population density|&|population density relationships|&|population density relationship|&|relationships between population density	4	19,857118079	61,1572042905	327,539268361	10,0	70,0	 
estimate population	population estimates	population estimates|&|estimates of the population	2	9,44183625827	37,8201878268	1106,52770488	5,0	16,0	 
density low	low densities	low densities	2	4,72091812914	23,2358274411	485,406224092	2,0	8,0	 
rate strain	strain rate	strain rate	2	7,86819688189	33,2725605837	724,100227909	4,0	42,0	 
density population	population density	population density|&|Population density|&|population densities|&|density population|&|density populations|&|density of populations|&|density of the population	2	421,735352869	389,551334306	418,304292005	137,0	872,0	 
