stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
signal traffic	traffic signal	traffic signal|&|traffic signals|&|Traffic signals|&|Traffic signal	2	34,6200662803	117,878092003	215,26818259	32,0	366,0	 
network traffic	traffic network	traffic network|&|network traffic|&|traffic networks|&|Network traffic	2	99,1392807119	214,457443949	272,888516087	70,0	557,0	 
article full	Full article	Full article	2	9,44183625827	39,4489028676	2300,02354864	6,0	14,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	40,0646931618	205,204492263	2,0	11,0	 
growth management	growth management	growth management	2	15,7363937638	72,1287300447	576,235411284	4,0	15,0	 
model simulation	simulation model	simulation model|&|simulation models|&|model through simulation	2	15,7363937638	61,2210930751	366,987814309	14,0	123,0	 
network urban	urban network	urban network|&|urban networks|&|network and urban	2	26,7518693984	93,22890861	206,803677665	14,0	110,0	 
network road transportation	road transportation network	road transportation network|&|road network transportation	3	9,92855903949	50,0808664523	213,391549598	2,0	18,0	 
macroscopic model	macroscopic model	macroscopic model|&|macroscopic models	2	7,86819688189	36,0643650223	244,693321524	4,0	44,0	 
datum probe vehicle	probe vehicle data	probe vehicle data	3	7,94284723159	40,0646931618	189,22278575	2,0	51,0	 
consumption energy	energy consumption	energy consumption	2	12,589115011	54,8938042043	215,357317245	5,0	36,0	 
assignment traffic	traffic assignment	traffic assignment|&|Traffic assignment	2	64,5192144315	177,49107676	307,575722605	58,0	568,0	 
infrastructure transportation	transportation infrastructure	transportation infrastructure	2	7,86819688189	41,5181835071	224,417383801	2,0	18,0	 
network simulation traffic	network traffic simulation	network traffic simulation|&|traffic network simulation	3	5,95713542369	30,0485198714	254,639270868	2,0	11,0	 
design network transportation	transportation network design	transportation network design	3	9,92855903949	43,198913747	443,342134904	4,0	25,0	 
light traffic	traffic lights	traffic lights|&|traffic light	2	22,0309512693	83,1146579863	310,687740443	9,0	52,0	 
