stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
density relation	density in relation	density in relation|&|relation between density|&|density or the relation	3	4,72091812914	21,2556319582	821,216014595	3,0	10,0	 
group size	group size	group size|&|Group size|&|size group	2	9,44183625827	42,5112639163	410,827409023	3,0	13,0	 
body density population size	body size and population density	body size and population density|&|population density and body size|&|Population density and body size|&|body size population density|&|population density with body size	5	27,7999653106	77,937551514	415,63710762	13,0	112,0	 
correlation density population	correlation between population density	correlation between population density	4	5,95713542369	27,85148295	637,753404061	2,0	14,0	 
distribution population	population distribution	population distribution	2	6,29455750551	30,8930660503	617,675934908	2,0	9,0	 
density low population	low population density	low population density	3	5,95713542369	27,85148295	564,351154008	2,0	10,0	 
development economic	economic development	economic development	2	4,72091812914	21,2556319582	355,558179829	3,0	6,0	 
bird mammal	mammals and birds	mammals and birds|&|birds and mammals	3	7,86819688189	35,4260532636	370,158491101	3,0	25,0	 
density increase	density increases	density increases|&|density increase|&|increase in density	2	4,72091812914	21,2556319582	551,143601163	5,0	33,0	 
FSD transport	FSD transport	FSD transport	2	9,44183625827	46,3395990755	402,083289706	2,0	23,0	 
temporal variability	temporal variability	temporal variability	2	7,86819688189	38,6163325629	473,168185683	2,0	16,0	 
Austrian dispersal land population snail	dispersal in an Austrian population of the land snail	dispersal in an Austrian population of the land snail	9	3,9714236158	18,5676553	322,23843631	2,0	36,0	 
condition food	food conditions	food conditions	2	6,29455750551	30,8930660503	506,138672044	2,0	13,0	 
coefficient correlation	correlation coefficient	correlation coefficient	2	4,72091812914	21,2556319582	459,019081174	3,0	17,0	 
density population relationship	relationship between population density	relationship between population density|&|relationships of population density|&|population density relationships|&|population density relationship|&|relationships between population density	4	19,857118079	60,8794778321	321,292131691	10,0	70,0	 
estimate population	population estimates	population estimates|&|estimates of the population	2	9,44183625827	37,6881320202	973,723434332	5,0	17,0	 
density low	low densities	low densities	2	4,72091812914	23,1697995378	500,184051194	2,0	8,0	 
rate strain	strain rate	strain rate	2	7,86819688189	33,1625140782	730,56891814	4,0	42,0	 
density population	population density	population density|&|Population density|&|population densities|&|density population|&|density populations|&|density of populations|&|density of the population	2	421,735352869	383,652841612	433,335946945	136,0	869,0	 
equality gender	gender equality	gender equality	2	4,72091812914	23,1697995378	1732,29451154	2,0	10,0	 
density function	density functions	density functions|&|density function|&|function of density	2	9,44183625827	39,7950168938	2096,12211151	7,0	16,0	 
home-range size	home-range size	home-range size	2	15,7363937638	70,8521065272	445,209183496	3,0	15,0	 
land use	land use	land use	2	12,589115011	53,060022525	545,527409557	4,0	19,0	 
fish population	fish populations	fish populations|&|fish population	2	4,72091812914	23,1697995378	495,847062794	2,0	15,0	 
animal specie	animal species	animal species	2	6,29455750551	26,5300112625	329,472317465	4,0	26,0	 
density increase population	increases in population density	increases in population density|&|increase in population density|&|population density increase|&|population density increases	4	13,8999826553	49,7161017927	466,812316105	6,0	29,0	 
curvature term	curvature term	curvature term|&|curvature terms	2	9,44183625827	46,3395990755	784,515508108	3,0	28,0	 
growth rate	growth rates	growth rates	2	7,86819688189	31,4067766835	790,547998552	5,0	23,0	 
age group	age groups	age groups	2	7,86819688189	35,4260532636	698,750804788	3,0	10,0	 
pattern similar	similar pattern	similar pattern	2	4,72091812914	23,1697995378	531,610937028	2,0	20,0	 
density flame surface transport	flame surface density transport	flame surface density transport|&|transport of flame surface density	4	7,94284723159	33,9147631886	665,864281055	3,0	33,0	 
series time	time series	time series	2	6,29455750551	28,3408426109	632,699839355	3,0	12,0	 
area urban	urban areas	urban areas|&|urban area	2	12,589115011	47,9555756461	831,5863886	6,0	22,0	 
basic information	basic information	basic information	2	4,72091812914	21,2556319582	322,23843631	3,0	36,0	 
displacement speed	displacement speed	displacement speed	2	4,72091812914	23,1697995378	589,706399398	2,0	21,0	 
density model population	population density model	population density model|&|population density models|&|model of population density	3	11,9142708474	47,4446226538	759,982099149	4,0	8,0	 
FSD equation transport	FSD transport equation	FSD transport equation	3	7,94284723159	33,9147631886	730,56891814	4,0	42,0	 
heat release	heat release	heat release	2	7,86819688189	38,6163325629	525,585368899	2,0	23,0	 
cover land	land cover	land cover	2	9,44183625827	42,5112639163	956,578980529	4,0	19,0	 
density grid population	population density grid	population density grid	3	7,94284723159	37,1353106	1102,55689166	2,0	13,0	 
body mean size	mean body size	mean body size	3	7,94284723159	33,9147631886	359,863694363	3,0	23,0	 
