stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
microcirculation network one-way organization traffic	one-way traffic organization of microcirculation network	one-way traffic organization of microcirculation network	6	3,9714236158	19,1072766919	106,847492067	1,0	9,0	 
network traffic urban	urban traffic network	urban traffic network|&|traffic in urban networks|&|urban traffic networks	3	7,94284723159	27,2034290553	168,362489278	4,0	39,0	 
flow traffic	traffic flow	traffic flow	2	15,7363937638	54,0441155741	123,306828768	5,0	62,0	 
control method	control method	control method	2	4,72091812914	20,5389681999	208,519135565	2,0	13,0	 
21st century	21st century	21st century	2	6,29455750551	23,0222361454	240,699459158	4,0	21,0	 
assignment model	assignment model	assignment model	2	6,29455750551	27,3852909332	152,561933069	4,0	35,0	 
network street	street network	street network	2	6,29455750551	24,8330674937	139,787841166	3,0	34,0	 
capacity link	link capacity	link capacity	2	4,72091812914	18,6248006203	159,710969392	3,0	27,0	 
distance exit motorway	distance from a motorway exit	distance from a motorway exit	5	3,9714236158	19,1072766919	442,109575848	1,0	6,0	 
center urban	urban centers	urban centers	2	4,72091812914	20,5389681999	163,223287644	2,0	11,0	 
path planning	path planning	path planning	2	6,29455750551	27,3852909332	321,565899086	2,0	8,0	 
analysis method sensitivity	sensitivity analysis method	sensitivity analysis method	3	3,9714236158	16,3544956098	130,583800653	2,0	17,0	 
network system	network system	network system|&|system of networks|&|system network	2	9,44183625827	34,5333542181	199,743182314	4,0	21,0	 
optimal solution	optimal solution	optimal solution	2	4,72091812914	18,6248006203	168,804960788	3,0	14,0	 
Urban growth	Urban growth	Urban growth	2	12,589115011	40,9400254118	321,545711596	6,0	21,0	 
management traffic urban	management of the urban traffic	management of the urban traffic|&|urban traffic management	5	3,9714236158	16,3544956098	178,867555516	2,0	17,0	 
optimization system	system optimization	system optimization	2	4,72091812914	20,5389681999	119,546502558	2,0	22,0	 
choice model route	route choice model	route choice model	3	3,9714236158	16,3544956098	126,88245079	2,0	20,0	 
information transportation	transportation information	transportation information	2	4,72091812914	18,6248006203	123,409505151	3,0	23,0	 
path problem	path problems	path problems	2	4,72091812914	20,5389681999	220,100788303	2,0	9,0	 
reliability time travel	travel time reliability	travel time reliability	3	9,92855903949	40,8862390244	156,283973436	2,0	22,0	 
growth impact urban	impacts of urban growth	impacts of urban growth	4	3,9714236158	16,3544956098	357,942374091	2,0	20,0	 
discrete network transportation	transportation discrete network	transportation discrete network	3	3,9714236158	19,1072766919	109,254653532	1,0	13,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	22,1163328561	421,978758147	3,0	12,0	 
algorithm solution	solution algorithm	solution algorithm|&|solution algorithms	2	6,29455750551	23,0222361454	118,38934702	4,0	38,0	 
algorithm genetic	genetic algorithm	genetic algorithm	2	4,72091812914	18,6248006203	128,529494873	3,0	31,0	 
development regional	regional development	regional development	2	9,44183625827	41,0779363998	287,978820913	2,0	10,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	32,7089912195	329,300060685	2,0	9,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	6,29455750551	23,0222361454	286,591706449	4,0	15,0	 
layout network transportation	transportation network layout	transportation network layout	3	5,95713542369	24,5317434147	566,349118464	2,0	7,0	 
length path	path length	path length	2	6,29455750551	27,3852909332	388,172989791	2,0	10,0	 
network road transportation urban	urban road transportation network	urban road transportation network	4	3,9714236158	19,1072766919	117,037692977	1,0	11,0	 
time travel	travel time	travel time	2	31,4727875276	89,5889463322	130,586517953	11,0	95,0	 
behavior choice	choice behaviors	choice behaviors|&|behavior choice|&|choice behavior	2	6,29455750551	23,0222361454	126,281174204	4,0	39,0	 
demand travel	travel demand	travel demand|&|demand for travel	2	4,72091812914	18,6248006203	160,13997341	3,0	25,0	 
system urban	urban system	urban system	2	4,72091812914	18,6248006203	136,703878311	3,0	22,0	 
growth sprawl urban	urban growth and sprawl	urban growth and sprawl	4	5,95713542369	24,5317434147	357,942374091	2,0	20,0	 
traffic urban	urban traffic	urban traffic	2	6,29455750551	23,0222361454	112,787383697	5,0	51,0	 
consequence growth urban	consequences of urban growth	consequences of urban growth	4	5,95713542369	22,1163328561	317,955123228	3,0	25,0	 
result simulation	simulation results	simulation results	2	6,29455750551	23,0222361454	162,470262738	4,0	41,0	 
network performance transportation	transportation network performance	transportation network performance|&|performance of a transportation network	3	3,9714236158	16,3544956098	255,196514301	2,0	9,0	 
capacity network	network capacity	network capacity	2	12,589115011	49,6661349875	131,782955989	3,0	30,0	 
model optimization	optimization model	optimization model|&|optimization models	2	17,3100331402	51,3127487333	123,074878157	8,0	66,0	 
growth process urban	process of urban growth	process of urban growth	4	3,9714236158	16,3544956098	357,942374091	2,0	20,0	 
system traffic	traffic system	traffic system|&|traffic systems	2	11,0154756347	40,2889132544	203,547561575	4,0	27,0	 
development urban	urban development	urban development	2	11,0154756347	40,2889132544	203,075586941	4,0	27,0	 
optimization problem	optimization problem	optimization problem	2	4,72091812914	20,5389681999	112,596213136	2,0	14,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	16,3544956098	1569,35609893	2,0	6,0	 
growth population rapid	rapid population growth	rapid population growth	3	3,9714236158	16,3544956098	189,631026886	2,0	22,0	 
combinatorial concept important optimization	important concept in combinatorial optimization	important concept in combinatorial optimization	5	3,9714236158	16,3544956098	1569,35609893	2,0	6,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	24,5317434147	150,967915211	2,0	12,0	 
