stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
management practice	management practices	management practices	2	4,72091812914	21,7894599002	287,544549868	2,0	12,0	 
environment urban	urban environment	urban environment|&|urban environments	2	4,72091812914	19,8752923206	299,845340906	3,0	5,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	34,8129176737	633,84186686	2,0	15,0	 
rule transition	transition rules	transition rules|&|Transition rules|&|transition rule	2	14,1627543874	49,8090036891	152,345887342	6,0	58,0	 
hierarchy network planning transportation urban	urban hierarchy and transportation network planning	urban hierarchy and transportation network planning	6	3,9714236158	20,1592399189	327,946388235	1,0	5,0	 
flow traffic	traffic flow	traffic flow	2	7,86819688189	30,8619480155	550,441108769	4,0	12,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	11,9142708474	41,302440556	199,787970524	5,0	33,0	 
metric spatial	spatial metrics	spatial metrics	2	4,72091812914	25,061750991	194,357158365	1,0	13,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	17,3100331402	58,2093177992	193,938137687	8,0	71,0	 
field gravitational model	gravitational field model	gravitational field model	3	3,9714236158	20,1592399189	242,432466896	1,0	4,0	 
growth scenario	growth scenarios	growth scenarios	2	7,86819688189	29,1062106209	179,438195201	5,0	43,0	 
analysis modeling	analysis and modeling	analysis and modeling|&|modeling and analysis	3	4,72091812914	21,7894599002	666,670256335	2,0	14,0	 
dynamics urban	urban dynamics	urban dynamics	2	7,86819688189	30,8619480155	200,480064653	4,0	38,0	 
algorithm genetic	genetic algorithms	genetic algorithms	2	4,72091812914	21,7894599002	209,641893397	2,0	20,0	 
network space	space network	space network|&|space networks	2	12,589115011	58,1052264005	224,998180147	2,0	12,0	 
loss open space	loss of open space	loss of open space	4	3,9714236158	17,4064588368	202,355417786	2,0	11,0	 
system urban	urban systems	urban systems|&|urban system	2	12,589115011	40,6530072492	162,033583963	8,0	62,0	 
extension real-time simulation	extensions for real-time simulation	extensions for real-time simulation	4	3,9714236158	17,4064588368	354,678591921	2,0	24,0	 
decision support	decision support	decision support	2	4,72091812914	19,8752923206	197,768476684	3,0	14,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	34,8129176737	633,84186686	2,0	15,0	 
land-use pattern	land-use patterns	land-use patterns	2	6,29455750551	29,0526132002	303,623871607	2,0	15,0	 
calibration growth model	growth model calibration	growth model calibration	3	3,9714236158	17,4064588368	185,779742663	2,0	19,0	 
analysis modeling urban	urban modeling and analysis	urban modeling and analysis|&|urban analysis and modeling	4	3,9714236158	17,4064588368	224,322487947	2,0	14,0	 
model process	process model	process model	2	6,29455750551	33,4156679881	146,88757908	1,0	15,0	 
change land use	land use change	land use change|&|land use changes	3	25,8142535027	74,3153472314	162,375286114	13,0	146,0	 
alternative model	alternative model	alternative model	2	4,72091812914	21,7894599002	165,688754092	2,0	10,0	 
modeling process	modeling process	modeling process|&|process modeling	2	7,86819688189	30,8619480155	203,097193989	4,0	16,0	 
ecosystem service	ecosystem services	ecosystem services	2	6,29455750551	24,6895584124	191,129124027	4,0	35,0	 
growth process urban	process of urban growth	process of urban growth|&|urban growth process	4	3,9714236158	17,4064588368	163,754486801	2,0	23,0	 
change climate	climate change	climate change	2	6,29455750551	29,0526132002	147,948185496	2,0	22,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	14,1627543874	47,6258054721	605,010764037	7,0	12,0	 
change scenario	change scenarios	change scenarios	2	7,86819688189	36,3157665003	158,359928936	2,0	23,0	 
land system use	land use system	land use system	3	3,9714236158	17,4064588368	171,7362491	2,0	19,0	 
alternative language programming support	support for alternative programming languages	support for alternative programming languages	5	3,9714236158	17,4064588368	354,678591921	2,0	24,0	 
land-use planning	land-use planning	land-use planning	2	4,72091812914	21,7894599002	155,090955614	2,0	10,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	17,4064588368	813,116006406	2,0	6,0	 
land urban	urban land	urban land	2	7,86819688189	29,1062106209	152,639222871	5,0	55,0	 
combinatorial concept important optimization	important concept in combinatorial optimization	important concept in combinatorial optimization	5	3,9714236158	17,4064588368	813,116006406	2,0	6,0	 
framework library simulation	simulation library and framework	simulation library and framework	4	3,9714236158	17,4064588368	354,678591921	2,0	24,0	 
allocation land use	land use allocation	land use allocation	3	5,95713542369	26,1096882553	250,833090573	2,0	19,0	 
empirical model theoretical	theoretical model and empirical	theoretical model and empirical	4	3,9714236158	20,1592399189	850,678933173	1,0	3,0	 
design network problem	network design problem	network design problem	3	11,9142708474	47,3885553934	771,49364966	3,0	10,0	 
