evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,mselog
8,2.2216809881512077E-9,0.17776205503937395,0.0,6955.454383002332,7.01788057463625
8,0.09772514445955172,0.07982453638376506,0.0050048828125,35.24721139606362,5.864151293654588
8,4.0036121884935375E-9,0.17776205490783936,0.0,8878.591209612123,7.017880574636255
8,0.04697170696725014,0.13079042890885811,0.0,564.7337204858852,7.017880574639437
8,2.9251098134004363E-7,0.17776176830706644,0.0,1054.4027156438244,7.017880574636267
8,0.0,0.17776204671050302,0.0,5649.429108688053,7.017880574636296
8,7.250535367915449E-11,0.17776205545092805,0.0,4221.412787040304,7.017880574636248
8,5.8879720046482745E-8,0.17776200012471605,0.0,2435.2897644018294,7.017880574636254
8,0.0,0.17776205613059698,0.0,3769.4164178944957,7.017880574636252
8,1.5803512212632474E-7,0.17776190589209462,0.0,2509.322238895878,7.017880574636283
8,0.0,0.17776205371846576,0.0,5277.975402464505,7.0178805746362505
8,8.911367948271905E-8,0.17776197692131432,0.0,1400.3119671248949,7.017880574636305
8,1.4420133982418707E-8,0.1777620322515728,0.0,2012.091132783825,7.017880574636301
8,0.0,0.17776205908912382,0.0,4699.831384762522,7.01788057463625
8,0.0,0.1777620620522186,0.0,9383.972467050853,7.017880574636274
8,0.0,0.17776205185688038,0.0,5771.884691082896,7.017880574636259
8,0.0,0.1777620483669958,0.0,7877.817702788854,7.017880574636276
8,0.0,0.17776203197600302,0.0,2965.8035101264973,7.017880574636553
8,1.7608849534557487E-8,0.1777620597634281,0.0,8470.723317678896,7.017880574636476
8,0.0,0.17776205073530732,0.0,6143.324459489416,7.017880574636269
8,1.5123548986151695E-9,0.17776205285277746,0.0,8960.704891139674,7.017880574636255
8,0.06258875147057873,0.11727842163801505,0.0030849092987389843,107.6132878616146,6.977895873141615
8,0.0,0.17776205224200983,0.0,7462.25047521179,7.0178805746362505
8,9.058148220157013E-7,0.17776091497502472,0.0,613.67005607786,7.017880574664283
8,0.0,0.17776205947874768,0.0,6034.756496630224,7.017880574636253
8,1.391624780987924E-6,0.1777606505560716,0.0,8526.597263399788,7.0178805746363535
8,0.0,0.17776205587767374,0.0,2826.8633337164474,7.01788057463625
8,1.507200074505932E-11,0.17776206755125404,0.0,3885.0995925815046,7.017880574636312
8,0.0,0.1777620488946753,0.0,7027.558377191782,7.017880574636278
8,8.340770360940581E-10,0.17776207453087076,0.0,2168.3227107877447,7.017880574636433
8,1.0973301720972123E-9,0.17776205529414957,0.0,3361.6546282524596,7.0178805746362505
8,9.432853738573864E-10,0.17776205813278348,0.0,9207.12778849593,7.01788057463626
8,9.042415956082766E-10,0.17776205635924724,0.0,6576.229354180683,7.017880574636249
8,2.193332877670383E-9,0.17776205559696895,0.0,9799.777230234273,7.017880574636251
8,2.6645930077527068E-9,0.17776210096404363,0.0,948.6768904002499,7.017880574637375
8,0.0,0.1777620680175078,0.0,5342.433019011347,7.017880574636319
8,1.5110829010811447E-9,0.1777620558899694,0.0,7740.7412501306435,7.017880574636249
8,8.092642058109976E-9,0.17776205820196891,0.0,9637.807260268151,7.017880574636297
8,6.457452302338363E-10,0.17776205611180296,0.0,1378.4173045402226,7.017880574636257
8,0.0,0.1777620586704466,0.0,4146.706172090045,7.017880574636255
8,1.9124840161683583E-6,0.1777601280773601,0.0,7311.060723741784,7.017880574636383
8,3.3309754355917427E-7,0.177761761377822,0.0,228.78045997924855,7.017880574636977
8,0.0,0.17776205243271678,0.0,3233.8001435043134,7.017880574636258
8,1.0311647397408706E-8,0.1777620478594971,0.0,3450.7777508249087,7.017880574636247
8,0.0,0.17776206025009744,0.0,4504.697637286792,7.017880574636254
8,9.716399990566972E-9,0.17776202807483651,0.0,6484.313632214228,7.017880574636423
8,6.269173334005206E-8,0.17776199456121886,0.0,1781.0124291208535,7.017880574636254
8,0.06867472856110222,0.10908733746624166,0.0,2298.611392735163,7.017880574636295
8,3.644415482058433E-10,0.17776205750529978,0.0,4407.186201196863,7.017880574636251
8,0.04689447128082392,0.13086758671640486,0.0,5935.532022291463,7.017880574636251
8,0.0,0.17776206106492431,0.0,2732.3211384747674,7.017880574636264
8,5.601451150671113E-9,0.17776203982277725,0.0,7122.006325383544,7.017880574636314
8,5.921064745032654E-8,0.17776194907962364,0.0,1282.4154774995914,7.017880574637423
8,1.0368268821000443E-10,0.17776205390025704,0.0,5408.083083899616,7.0178805746362585
8,0.0,0.1777620527325668,0.0,4944.002254984375,7.01788057463626
8,4.436027572789269E-9,0.17776206121608223,0.0,8665.126427039037,7.017880574636295
8,0.0,0.1777620547492912,0.0,8122.611368389789,7.017880574636253
8,0.0,0.1777620596521164,0.0,7614.92833834914,7.017880574636255
8,9.835439712877453E-7,0.17776134442168687,0.0,755.0218824023683,7.017880574673449
8,0.0,0.17776205610230036,0.0,3985.034633083831,7.017880574636252
8,0.0,0.17776205512512888,0.0,9886.149072923025,7.017880574636248
8,5.7506311710514955E-9,0.17776204659673137,0.0,9185.919293742403,7.017880574636258
8,0.0,0.17776205431032382,0.0,6625.297435435638,7.017880574636247
8,2.7266379361515276E-7,0.1777617351800696,0.0,373.83299800147427,7.017880574637436
8,5.135430194352183E-9,0.17776206170028483,0.0,8040.143027346393,7.017880574636305
8,0.0,0.17776205229267997,0.0,3595.343160686894,7.017880574636256
8,0.0,0.1777620576446346,0.0,4896.988728362083,7.01788057463625
8,1.964317467551126E-9,0.1777620550330247,0.0,6374.724235376874,7.017880574636249
8,0.0,0.17776205910489673,0.0,1869.4030393058924,7.017880574636255
