stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
availability weed wide	wide availability of weeds	wide availability of weeds	4	3,9714236158	18,4733177619	310,175817875	2,0	36,0	 
density population size	population size and density	population size and density|&|density and population size|&|population size or density|&|size and population density|&|population density and the size|&|size population density	4	17,8714062711	58,3549001895	331,273101772	9,0	77,0	 
case new	new cases	new cases	2	4,72091812914	23,0576584425	354,990879931	2,0	5,0	 
analysis regression	regression analysis	regression analysis	2	4,72091812914	23,0576584425	299,724406424	2,0	21,0	 
density population urbanization	population density and urbanization	population density and urbanization	4	3,9714236158	18,4733177619	370,875997621	2,0	13,0	 
availability prey	prey availability	prey availability	2	9,44183625827	46,115316885	410,232951826	2,0	18,0	 
family planning	family planning	family planning	2	12,589115011	52,7609796043	1089,49781157	4,0	17,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	18,4733177619	663,684898854	3,0	33,0	 
space use	space use	space use	2	4,72091812914	23,0576584425	357,451437196	2,0	15,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	13,8999826553	51,9201868863	1962,59521895	5,0	14,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	36,9466355237	881,215665864	2,0	14,0	 
deer population	deer population	deer population	2	4,72091812914	23,0576584425	1048,97675306	2,0	10,0	 
datum set	data sets	data sets|&|sets of data	2	4,72091812914	21,1434908629	301,529477857	5,0	59,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	46,1832944047	361,398641983	2,0	23,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	43,7078248012	923,195440198	5,0	24,0	 
habitat quality	habitat quality	habitat quality	2	4,72091812914	21,1434908629	375,959722073	3,0	18,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	42,1576101404	781,981433831	3,0	28,0	 
energy use	energy use	energy use	2	4,72091812914	23,0576584425	362,764243758	2,0	19,0	 
association density population	association between population density	association between population density|&|association with population density	4	7,94284723159	33,7260881123	457,015652977	3,0	22,0	 
combustion premixed turbulent	turbulent premixed combustion	turbulent premixed combustion	3	3,9714236158	18,4733177619	400,771324553	2,0	23,0	 
brood size	brood size	brood size	2	14,1627543874	69,1729753274	291,168922831	2,0	16,0	 
density estimate	density estimate	density estimate|&|density estimates|&|estimates of the density	2	6,29455750551	26,3804898022	459,596722544	4,0	12,0	 
mortality rate	mortality rates	mortality rates	2	6,29455750551	30,74354459	745,823758497	2,0	8,0	 
case individual most	most cases individuals	most cases individuals	3	3,9714236158	18,4733177619	318,918734364	2,0	36,0	 
body density mass population	population density and body mass	population density and body mass|&|body mass and population density|&|body mass population density|&|population density on body mass	5	19,857118079	67,490326619	314,943037057	7,0	67,0	 
density relationship	density relationship	density relationship|&|density relationships|&|relationship between density|&|relationships between density	2	12,589115011	49,9517997728	353,818496673	7,0	60,0	 
curvature dependence	curvature dependence	curvature dependence	2	4,72091812914	21,1434908629	725,069497261	3,0	28,0	 
density grid	density grid	density grid|&|density grids	2	4,72091812914	23,0576584425	672,419558551	3,0	18,0	 
annual variability	annual variability	annual variability	2	6,29455750551	35,1065993778	462,704909848	1,0	9,0	 
metabolic rate	metabolic rate	metabolic rate|&|metabolic rates	2	7,86819688189	32,9756122527	411,409807437	4,0	35,0	 
number offspring	offspring number	offspring number	2	4,72091812914	23,0576584425	353,803733167	2,0	27,0	 
dynamics population	population dynamics	population dynamics	2	12,589115011	56,382642301	381,096382874	3,0	18,0	 
model parameter	model parameters	model parameters	2	4,72091812914	23,0576584425	295,858298119	2,0	13,0	 
change climate	climate change	climate change	2	11,0154756347	43,7078248012	457,878564113	5,0	8,0	 
home range	home range	home range|&|home ranges|&|Home range	2	44,0619025386	140,090367837	319,542193338	21,0	231,0	 
body mass	body mass	body mass|&|Body mass	2	47,2091812914	138,711759421	332,980475899	20,0	207,0	 
growth population	population growth	population growth	2	18,8836725165	61,8385352958	921,707137377	12,0	54,0	 
biology population	population biology	population biology	2	4,72091812914	21,1434908629	318,918734364	3,0	36,0	 
datum population	population data	population data|&|data on population	2	6,29455750551	28,1913211505	1037,31651716	4,0	21,0	 
dilatation rate	dilatation rate	dilatation rate	2	4,72091812914	23,0576584425	523,880306133	2,0	23,0	 
period post-breeding	post-breeding period	post-breeding period	2	6,29455750551	30,74354459	310,175817875	2,0	36,0	 
growth population rapid	rapid population growth	rapid population growth	3	5,95713542369	25,2945660842	789,335747985	3,0	18,0	 
context equation transport	transport equation in the context	transport equation in the context	5	5,95713542369	27,7099766428	466,949278702	2,0	18,0	 
adult female	adult females	adult females|&|adult female	2	7,86819688189	35,2391514381	484,713269711	3,0	18,0	 
density low	low densities	low densities	2	4,72091812914	23,0576584425	521,676711647	2,0	8,0	 
energetic equivalence rule	energetic equivalence rule	energetic equivalence rule	3	19,857118079	74,1716955519	305,36509395	5,0	49,0	 
body size	body size	body size|&|Body size|&|body sizes	2	69,2401325607	172,148403935	283,643811419	29,0	326,0	 
crop dominant field idle	dominant crop fields and idle	dominant crop fields and idle	5	3,9714236158	18,4733177619	310,175817875	2,0	36,0	 
population world	world population	world population	2	4,72091812914	21,1434908629	333,006786829	3,0	6,0	 
rate recapture	recapture rate	recapture rate|&|recapture rates	2	4,72091812914	21,1434908629	294,80805533	3,0	40,0	 
female male	males and females	males and females	3	4,72091812914	21,1434908629	429,603091853	3,0	16,0	 
change population	population change	population change	2	6,29455750551	28,1913211505	954,963879304	3,0	7,0	 
size territory	territory size	territory size	2	4,72091812914	23,0576584425	674,092373882	2,0	6,0	 
food resource	food resources	food resources|&|food resource	2	11,0154756347	41,6994661347	452,725613979	6,0	49,0	 
health reproductive	reproductive health	reproductive health	2	7,86819688189	35,2391514381	727,675817847	3,0	9,0	 
availability food	food availability	food availability	2	4,72091812914	21,1434908629	380,994779901	3,0	32,0	 
body individual size	individual body size	individual body size	3	3,9714236158	18,4733177619	577,111689476	2,0	9,0	 
animal density population	animal population density	animal population density|&|animal population densities	3	13,8999826553	51,9201868863	329,854835546	5,0	17,0	 
period time	time periods	time periods|&|time period	2	7,86819688189	35,2391514381	511,743553883	3,0	26,0	 
density relation	density in relation	density in relation|&|relation between density|&|density or the relation	3	4,72091812914	21,1434908629	815,550175602	3,0	10,0	 
group size	group size	group size|&|Group size|&|size group	2	9,44183625827	42,2869817258	392,977055901	3,0	13,0	 
body density population size	population density and body size	population density and body size|&|body size and population density|&|Population density and body size|&|body size population density|&|population density with body size	5	25,8142535027	73,8236322977	387,823144035	12,0	105,0	 
correlation density population	correlation between population density	correlation between population density	4	5,95713542369	27,7099766428	666,653253743	2,0	13,0	 
distribution population	population distribution	population distribution	2	6,29455750551	30,74354459	608,327701515	2,0	9,0	 
density low population	low population density	low population density	3	5,95713542369	27,7099766428	568,893678984	2,0	10,0	 
development economic	economic development	economic development	2	4,72091812914	21,1434908629	352,689873756	3,0	6,0	 
bird mammal	mammals and birds	mammals and birds|&|birds and mammals	3	7,86819688189	35,2391514381	358,322039764	3,0	26,0	 
density increase	density increases	density increases|&|density increase|&|increase in density	2	4,72091812914	21,1434908629	520,501065887	5,0	34,0	 
FSD transport	FSD transport	FSD transport	2	9,44183625827	46,115316885	400,771324553	2,0	23,0	 
temporal variability	temporal variability	temporal variability	2	7,86819688189	38,4294307375	391,908443337	2,0	18,0	 
