stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	89,1136797973	988,612681436	3,0	12,0	 
optimal solution	optimal solution	optimal solution	2	6,29455750551	25,6087624354	190,453920803	4,0	24,0	 
control method	control method	control method	2	4,72091812914	22,4788629174	207,113206674	2,0	17,0	 
21st century	21st century	21st century	2	6,29455750551	25,6087624354	276,002370967	4,0	20,0	 
capacity link	link capacity	link capacity	2	6,29455750551	25,6087624354	211,649294633	4,0	36,0	 
surveillance traffic	traffic surveillance	traffic surveillance	2	4,72091812914	22,4788629174	248,562301861	2,0	13,0	 
analysis growth urban	analysis of urban growth	analysis of urban growth	4	3,9714236158	17,9864120046	421,239166081	2,0	20,0	 
network system transportation	transportation network system	transportation network system	3	3,9714236158	20,7391930867	222,006157146	1,0	6,0	 
container transportation	containers transportation	containers transportation	2	4,72091812914	25,7511540083	222,006157146	1,0	6,0	 
system traffic urban	urban traffic system	urban traffic system	3	11,9142708474	45,7008927674	290,670973631	4,0	34,0	 
network planning transportation	transportation network planning	transportation network planning	3	5,95713542369	31,10878963	281,732332231	1,0	4,0	 
choice model route	route choice model	route choice model	3	5,95713542369	24,5642074483	274,863914636	3,0	28,0	 
path problem	path problem	path problem|&|path problems	2	6,29455750551	29,9718172233	198,641367386	3,0	18,0	 
reliability time travel	travel time reliability	travel time reliability	3	9,92855903949	44,9660300114	251,477297314	2,0	23,0	 
enforcement law	law enforcement	law enforcement	2	4,72091812914	22,4788629174	748,567631626	2,0	11,0	 
assignment model	assignment model	assignment model	2	9,44183625827	38,4131436532	237,835186513	7,0	63,0	 
network topology	network topology	network topology	2	4,72091812914	20,5646953378	208,767353749	3,0	26,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	24,5642074483	271,293851268	3,0	12,0	 
development regional	regional development	regional development	2	9,44183625827	44,9577258349	248,589711628	2,0	11,0	 
layout network transportation	transportation network layout	transportation network layout	3	5,95713542369	26,9796180068	419,92771691	2,0	9,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	6,29455750551	25,6087624354	394,466147777	4,0	14,0	 
model network traffic	traffic network model	traffic network model|&|model under a traffic network	3	3,9714236158	17,9864120046	213,952102078	6,0	60,0	 
length path	path length	path length	2	6,29455750551	29,9718172233	188,623982015	2,0	10,0	 
behavior choice	choice behaviors	choice behaviors|&|choice behavior|&|behavior choice	2	4,72091812914	20,5646953378	248,353943028	6,0	64,0	 
demand travel	travel demand	travel demand|&|demand for travel	2	4,72091812914	20,5646953378	262,823118002	3,0	26,0	 
system urban	urban system	urban system	2	4,72091812914	20,5646953378	278,218279241	3,0	24,0	 
numerical result	Numerical results	Numerical results|&|numerical results	2	7,86819688189	32,0109530443	232,679739916	4,0	32,0	 
growth sustainable urban	sustainable urban growth	sustainable urban growth	3	3,9714236158	17,9864120046	421,239166081	2,0	20,0	 
growth sprawl urban	urban growth and sprawl	urban growth and sprawl	4	5,95713542369	26,9796180068	524,376514353	2,0	20,0	 
consequence growth urban	consequences of urban growth	consequences of urban growth	4	5,95713542369	24,5642074483	410,840820833	3,0	26,0	 
plan signal timing	signal timing plan	signal timing plan	3	5,95713542369	24,5642074483	445,401772984	3,0	23,0	 
intersection real	real intersection	real intersection	2	4,72091812914	20,5646953378	445,401772984	3,0	23,0	 
signal timing	signal timing	signal timing	2	4,72091812914	22,4788629174	393,843596718	4,0	30,0	 
control information intelligent traffic	traffic information intelligent control	traffic information intelligent control	4	3,9714236158	20,7391930867	187,275254735	1,0	8,0	 
capacity network	network capacity	network capacity	2	14,1627543874	57,6197154797	246,330610133	4,0	41,0	 
control signal system traffic urban	urban traffic signal control system	urban traffic signal control system	5	3,9714236158	17,9864120046	295,66608746	2,0	23,0	 
model optimization	optimization model	optimization model|&|optimization models	2	18,8836725165	61,5129466695	203,533409058	9,0	75,0	 
management traffic	traffic management	traffic management	2	7,86819688189	32,0109530443	221,653637632	6,0	56,0	 
problem rout	routing problem	routing problem	2	4,72091812914	20,5646953378	216,828085525	3,0	15,0	 
development urban	urban development	urban development	2	11,0154756347	44,815334262	351,582856438	4,0	29,0	 
container network transportation	container transportation network	container transportation network	3	3,9714236158	20,7391930867	222,006157146	1,0	6,0	 
maker policy	policy makers	policy makers	2	4,72091812914	20,5646953378	218,515460436	3,0	22,0	 
system traffic	traffic system	traffic system|&|traffic systems	2	11,0154756347	42,3573019095	233,759439662	9,0	78,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	26,9796180068	292,972932476	2,0	14,0	 
trade wildlife	wildlife trade	wildlife trade|&|WILDLIFE TRADE	2	11,0154756347	52,4506801407	1028,74249639	2,0	7,0	 
design network problem	network design problem	network design problem	3	17,8714062711	61,3051074753	269,09458151	6,0	55,0	 
design network	network design	network design	2	11,0154756347	40,3489432429	382,10648295	10,0	72,0	 
control signal traffic	traffic signal control	traffic signal control	3	9,92855903949	40,9403457471	314,425818525	4,0	41,0	 
model programming	programming model	programming model|&|programming models	2	11,0154756347	40,3489432429	239,332256453	10,0	94,0	 
mean transport	means of transport	means of transport	3	4,72091812914	22,4788629174	540,893546786	2,0	3,0	 
network structure	network structure	network structure|&|structure of the network	2	4,72091812914	20,5646953378	223,675069424	3,0	16,0	 
growth management urban	urban growth management	urban growth management	3	5,95713542369	26,9796180068	467,191199653	2,0	10,0	 
growth management	growth management	growth management|&|Growth management	2	17,3100331402	70,4240966974	280,550344042	4,0	18,0	 
control system	control system	control system|&|control systems	2	11,0154756347	42,3573019095	190,805329422	5,0	58,0	 
exit motorway	motorway exit	motorway exit	2	4,72091812914	25,7511540083	282,044848757	1,0	5,0	 
example numerical	numerical example	numerical example	2	6,29455750551	25,6087624354	226,288455251	4,0	40,0	 
role vital	vital role	vital role	2	4,72091812914	22,4788629174	647,108887191	2,0	8,0	 
network sensor	sensor network	sensor network	2	11,0154756347	47,9842891216	241,11229165	3,0	8,0	 
signal traffic	traffic signal	traffic signal|&|traffic signals	2	4,72091812914	20,5646953378	272,571463886	7,0	70,0	 
network transport	transport network	transport network	2	4,72091812914	20,5646953378	239,848828781	3,0	19,0	 
article full	Full article	Full article	2	9,44183625827	34,584808494	1266,54910873	6,0	21,0	 
application system	systems applications	systems applications|&|systems and applications	2	6,29455750551	29,9718172233	305,037202951	2,0	14,0	 
network optimization transportation	transportation network optimization	transportation network optimization	3	5,95713542369	24,5642074483	193,047284188	3,0	29,0	 
optimization strategy	optimization strategies	optimization strategies|&|optimization strategy	2	6,29455750551	27,4195937838	198,855207348	3,0	30,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	35,9728240091	454,244852131	2,0	9,0	 
information system traffic	information traffic system	information traffic system|&|traffic information system	3	3,9714236158	17,9864120046	245,825840643	2,0	17,0	 
assignment traffic	traffic assignment	traffic assignment	2	14,1627543874	54,4593881693	216,110837532	8,0	67,0	 
clearance network time	network clearance time	network clearance time|&|network clearance times	3	5,95713542369	26,9796180068	354,26222523	2,0	15,0	 
infrastructure transportation	transportation infrastructure	transportation infrastructure	2	7,86819688189	37,4647715291	275,485496255	2,0	20,0	 
macroscopic model	macroscopic model	macroscopic model	2	4,72091812914	22,4788629174	212,73514708	2,0	21,0	 
design network transportation	transportation network design	transportation network design	3	9,92855903949	38,0840773062	316,366839937	4,0	30,0	 
light traffic	traffic lights	traffic lights|&|traffic light	2	9,44183625827	36,3062587796	289,737913056	5,0	28,0	 
bi-level model programming	bi-level programming model	bi-level programming model	3	11,9142708474	43,0423000592	210,615132347	5,0	52,0	 
modeling traffic	traffic modeling	traffic modeling	2	4,72091812914	22,4788629174	191,772607994	2,0	20,0	 
simulation traffic	traffic simulation	traffic simulation	2	4,72091812914	22,4788629174	191,751458459	8,0	78,0	 
behavior choice route	route choice behavior	route choice behavior	3	5,95713542369	24,5642074483	230,870772762	3,0	32,0	 
road safety	road safety	road safety	2	12,589115011	59,9436344465	269,475018059	2,0	14,0	 
congestion problem traffic	traffic congestion problems	traffic congestion problems	3	3,9714236158	17,9864120046	201,499390196	2,0	19,0	 
