stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
graph surface	surface graph	surface graph	2	3,14727875276	15,5767838367	177,689602446	1,0	2,0	 
management practice	management practices	management practices	2	4,72091812914	20,0928846642	123,499612044	2,0	9,0	 
environment urban	urban environment	urban environment	2	3,14727875276	13,3952564428	216,365615713	2,0	4,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	3,14727875276	13,3952564428	349,856133197	2,0	6,0	 
logistic park urban	urban logistics park	urban logistics park	3	11,9142708474	56,1960405745	434,002293578	1,0	1,0	 
member state	member states	member states	2	3,14727875276	15,5767838367	722,672400612	1,0	2,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	31,9584648855	163,711706565	2,0	17,0	 
surface urban	surface urban	surface urban|&|urban surfaces	2	3,14727875276	15,5767838367	49,3136130599	1,0	1,0	 
assignment flow ratio traffic	traffic flow assignment ratios	traffic flow assignment ratios	4	3,9714236158	18,7320135248	377,863463499	1,0	3,0	 
amount large	large amount	large amount	2	3,14727875276	13,3952564428	132,275743656	2,0	12,0	 
3D complex model	complex 3D model	complex 3D model	3	3,9714236158	18,7320135248	147,965770086	1,0	2,0	 
recent work	recent work	recent work	2	3,14727875276	13,3952564428	434,002293578	2,0	1,0	 
dynamics urban	urban dynamics	urban dynamics	2	6,29455750551	24,2382894461	89,8076511714	3,0	21,0	 
flow traffic	traffic flow	traffic flow	2	7,86819688189	30,2978618076	269,586039298	4,0	13,0	 
analysis network	network analysis	network analysis	2	3,14727875276	13,3952564428	531,320452229	2,0	3,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	3,9714236158	15,9792324427	135,214308381	2,0	10,0	 
empirical evidence	empirical evidence	empirical evidence	2	3,14727875276	13,3952564428	302,804325033	2,0	6,0	 
loading pollutant	pollutant loadings	pollutant loadings|&|Pollutant loadings	2	6,29455750551	31,1535676734	115,209841721	1,0	5,0	 
dynamics system	system dynamics	system dynamics	2	4,72091812914	20,0928846642	138,4523513	2,0	13,0	 
