82;network+transportation;growth+urban;system+transportation;network+transportation+urban;design+network;land+use;area+urban;Urban+growth;model+optimization;time+travel;model+programming;network+system;21st+century;development+urban;network+performance;choice+route;collection+datum;assignment+traffic;network+public+transportation;demand+traffic;condition+traffic;design+network+transportation;growth+management;information+system;network+road;cost+travel;method+solution;analysis+method;growth+rate+urban;growth+process+urban;46;17;14;10;5;5;5;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;9;8;19;21;14;8;14;3;9;27;18;9;11;9;6;12;6;3;15;8;3;21;29;20;8;9;6;18;10;2;5;9;7;9;3;22;9;73;20;20;20;8;15;4;20;8;20;9;17;5;3;14;10;16;28;22;12;8;3;8;6;11;14;9;10;17;31;6;9;20;20;22;20;19;5;8;5;6;9;76;4;10;4;26;2;9;8;11;185;59;6;10;23;10;41;10;7;6;29;14
122;network+transportation;growth+urban;system+transportation;time+travel;network+traffic;design+network;model+optimization;model+programming;area+urban;Urban+growth;choice+route;land+use;flow+traffic;information+system;design+network+problem;network+urban;assignment+traffic;congestion+traffic;traffic+urban;development+urban;system+traffic;result+simulation;behavior+choice;transportation+urban;model+network;analysis+method;bi-level+model+programming;design+network+transportation;control+traffic;network+performance;53;20;19;11;10;9;8;8;7;6;6;6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;9;39;62;13;21;35;34;27;6;11;8;17;21;14;21;17;22;20;23;9;22;20;13;12;38;31;10;9;15;7;10;11;95;39;25;22;20;51;25;41;9;30;66;20;27;27;14;6;22;6;12;44;9;20;71;13;42;13;123;20;84;11;8;3;24;18;30;19;39;45;53;12;29;39;9;2;46;33;8;25;61;54;102;3;43;2;23;30;267;10;11;20;24;55;11;59;18;23;44;10
184;network+transportation;growth+urban;choice+route;area+urban;model+programming;design+network;information+system;system+traffic;model+optimization;assignment+traffic;simulation+traffic;signal+traffic;assignment+model;information+traffic;behavior+choice;model+network+traffic;management+traffic;article+full;design+network+problem;land+use;control+system;light+traffic;bi-level+model+programming;development+urban;capacity+network;signal+timing;control+signal+traffic;growth+management;example+numerical;design+network+transportation;54;22;12;11;10;10;9;9;9;8;8;7;7;7;6;6;6;6;6;6;5;5;5;4;4;4;4;4;4;4;12;24;17;20;36;13;20;6;6;34;4;28;18;23;11;63;26;12;11;9;14;60;10;64;26;24;32;20;20;26;23;23;30;8;41;23;75;56;15;29;6;22;78;14;7;55;72;41;94;3;16;10;18;58;5;40;8;8;70;19;21;14;29;30;9;17;67;15;20;21;30;28;52;20;78;32;14;19;19;11;106;13;48;16;11;7;13;115;316;11;12;21;49;24;103;12;6;38;50;18
237;network+transportation;network+traffic;signal+traffic;assignment+traffic;growth+urban;control+signal;choice+route;network+traffic+urban;control+signal+traffic;assignment+model;simulation+traffic;assignment+model+traffic;control+system;management+traffic;information+system;model+programming;system+traffic;control+strategy;design+network;signal+timing;model+optimization;model+simulation;model+network+traffic;choice+model+route;behavior+choice;light+traffic;assignment+dynamic+traffic;control+signal+system+traffic;design+network+problem;article+full;58;57;26;25;22;22;20;18;16;15;15;12;12;12;11;11;11;10;10;10;10;10;9;8;8;8;7;6;6;6;158;12;27;21;37;13;76;16;72;18;234;23;8;15;22;13;158;28;46;8;26;15;9;79;73;106;89;27;24;39;12;43;14;21;429;99;52;33;114;98;28;27;22;13;7;13;19;77;177;116;10;16;129;3;9;8;32;29;43;22;15;11;28;28;98;19;249;25;21;30;6;45;25;29;19;146;18;56;59;58;20;11;90;103;3;49;22;215;362;10;14;23;69;275;13;5;134;18;40;33
267;network+traffic;network+transportation;assignment+traffic;signal+traffic;assignment+model;assignment+model+traffic;growth+urban;control+signal+traffic;network+traffic+urban;simulation+traffic;network+urban;management+traffic;area+urban;system+traffic;signal+timing;model+simulation;model+programming;information+system;information+traffic;design+network;model+optimization;example+numerical;assignment+problem;model+network+traffic;light+traffic;traffic+urban;assignment+dynamic+model+traffic;model+traffic;algorithm+solution;design+network+problem;62;60;47;31;28;24;22;21;18;18;14;14;14;14;12;12;11;11;11;10;10;10;9;9;8;7;7;7;7;6;24;155;10;42;21;70;37;12;33;13;33;22;64;3;21;76;9;23;284;52;12;68;50;9;11;6;77;31;33;59;16;76;22;52;23;127;21;74;156;20;43;21;52;34;8;13;5;54;74;272;114;10;375;489;16;14;12;28;15;117;110;19;50;35;468;17;12;27;7;44;58;72;33;50;63;170;17;24;108;13;33;71;19;82;37;83;22;375;15;118;34;69;126;50;88;241;21;34;90;55
282;network+traffic;network+transportation;assignment+traffic;assignment+model;signal+traffic;control+signal;assignment+model+traffic;growth+urban;control+signal+traffic;simulation+traffic;network+traffic+urban;system+traffic;management+traffic;area+urban;network+urban;signal+timing;information+traffic;model+simulation;example+numerical;model+network+traffic;model+programming;information+system;design+network;model+optimization;assignment+problem;model+traffic;algorithm+solution;light+traffic;demand+traffic;traffic+urban;67;60;50;31;31;28;25;22;21;18;18;15;15;14;14;12;12;12;12;11;11;11;10;10;9;9;8;8;7;7;159;9;42;21;34;22;34;29;31;338;3;19;8;44;31;322;25;51;12;84;49;8;6;38;93;30;7;43;78;22;55;125;25;77;173;20;52;60;52;36;35;16;13;4;52;73;269;113;10;6;29;368;545;14;14;10;15;119;108;19;44;36;505;17;11;25;7;45;58;72;30;172;17;25;137;14;70;20;27;80;21;31;255;83;22;368;16;133;70;39;128;26;52;105;9;18;35;39;93;56
299;network+traffic;network+transportation;assignment+traffic;assignment+model;signal+traffic;control+signal;assignment+model+traffic;growth+urban;simulation+traffic;control+signal+traffic;network+traffic+urban;system+traffic;management+traffic;area+urban;network+urban;model+simulation;signal+timing;example+numerical;information+traffic;model+programming;information+system;model+network+traffic;design+network;model+optimization;assignment+problem;model+traffic;light+traffic;flow+model+traffic;assignment+dynamic+model+traffic;traffic+urban;68;60;53;32;32;28;26;22;21;21;18;15;15;14;14;13;12;12;12;11;11;11;10;10;10;9;8;7;7;7;155;9;42;19;34;8;22;32;29;31;339;32;3;19;8;44;32;326;25;46;53;48;8;9;6;88;32;7;46;77;22;53;124;21;17;76;174;18;50;60;64;36;34;16;12;4;16;73;270;112;10;6;29;369;538;14;12;10;15;123;107;19;45;36;527;10;25;7;45;69;72;71;29;51;178;17;24;137;52;70;17;76;37;9;94;22;362;15;131;70;12;38;128;25;52;260;18;33;90;56
302;network+traffic;network+transportation;assignment+traffic;assignment+model;signal+traffic;control+signal;assignment+model+traffic;growth+urban;simulation+traffic;control+signal+traffic;network+traffic+urban;system+traffic;area+urban;management+traffic;model+simulation;network+urban;signal+timing;example+numerical;information+traffic;model+network+traffic;information+system;model+programming;assignment+problem;model+optimization;design+network;model+traffic;light+traffic;algorithm+solution;assignment+dynamic+model+traffic;traffic+urban;69;61;54;33;32;28;27;22;21;21;18;15;15;15;14;14;13;13;12;11;11;11;10;10;10;9;9;8;7;7;155;9;19;34;8;22;32;29;31;25;339;32;3;19;8;44;32;337;25;46;53;11;84;48;8;9;6;88;32;46;77;22;53;41;33;133;21;17;75;174;18;50;60;64;36;34;16;12;4;16;74;270;112;10;6;29;369;550;14;11;15;123;107;19;45;51;36;537;11;25;52;69;71;29;51;179;17;147;52;70;17;76;37;30;9;94;22;372;16;131;70;12;38;137;52;270;18;33;90;56
303;network+traffic;network+transportation;assignment+traffic;assignment+model;signal+traffic;control+signal;assignment+model+traffic;growth+urban;simulation+traffic;control+signal+traffic;network+traffic+urban;management+traffic;system+traffic;area+urban;network+urban;model+simulation;example+numerical;signal+timing;information+traffic;model+network+traffic;information+system;model+programming;assignment+problem;model+traffic;design+network;model+optimization;algorithm+solution;light+traffic;assignment+problem+traffic;traffic+urban;69;61;55;33;32;28;27;22;21;21;18;15;15;15;14;14;14;13;12;11;11;11;11;10;10;10;9;9;8;7;155;44;9;19;34;8;22;32;29;31;25;339;32;3;18;8;25;32;337;25;46;53;11;93;47;8;9;6;88;32;45;77;22;53;33;133;21;17;74;175;18;59;60;64;36;34;16;12;4;16;73;271;110;10;6;29;369;552;14;11;15;123;108;18;45;51;36;546;11;25;52;78;71;29;51;180;17;156;51;70;17;76;37;30;9;103;22;371;16;131;70;12;38;137;52;270;18;33;90;56
305;network+traffic;network+transportation;assignment+traffic;assignment+model;signal+traffic;control+signal;assignment+model+traffic;growth+urban;control+signal+traffic;simulation+traffic;network+traffic+urban;system+traffic;management+traffic;area+urban;model+simulation;network+urban;example+numerical;assignment+problem;signal+timing;information+traffic;model+programming;model+network+traffic;information+system;model+optimization;model+traffic;design+network;assignment+problem+traffic;algorithm+solution;light+traffic;assignment+dynamic+model+traffic;70;61;57;34;32;28;27;22;21;21;18;15;15;15;14;14;14;13;13;12;11;11;11;10;10;10;10;9;9;7;154;44;9;19;34;8;22;32;29;31;25;339;3;18;8;35;25;32;346;25;46;53;11;93;47;8;9;6;86;32;44;77;22;53;32;133;21;17;74;176;18;58;60;64;34;16;11;4;16;73;271;110;17;10;6;29;368;560;14;11;15;123;109;18;44;51;36;559;11;25;52;91;71;30;51;179;17;156;51;70;17;75;36;31;9;116;22;372;16;130;70;12;38;136;52;270;18;32;90;56
