stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
model propagation	propagation modeling	propagation modeling	2	3,14727875276	12,8043812177	66,4615384615	2,0	6,0	 
certain connectivity requirement	certain connectivity requirements	certain connectivity requirements	3	3,9714236158	15,2336309225	66,4615384615	2,0	6,0	 
colonial hydroid	colonial hydroids	colonial hydroids|&|Colonial hydroids	2	3,14727875276	14,9859086116	77,9598290598	1,0	2,0	 
cell growth	cell growth	cell growth	2	3,14727875276	12,8043812177	77,6805128205	2,0	5,0	 
control traffic	traffic control	traffic control	2	6,29455750551	29,9718172233	37,0256410256	1,0	1,0	 
network transportation	transportation network	transportation network	2	6,29455750551	25,6087624354	41,026029526	3,0	11,0	 
capital social	social capital	social capital	2	3,14727875276	12,8043812177	74,0628815629	2,0	5,0	 
critical role	critical role	critical role	2	3,14727875276	12,8043812177	33,2307692308	2,0	3,0	 
eventful geography	eventful geographies	eventful geographies	2	3,14727875276	14,9859086116	232,004273504	1,0	1,0	 
experimental music scene	experimental music scene	experimental music scene	3	3,9714236158	17,9864120046	232,004273504	1,0	1,0	 
cell determination fate	cell fate determination	cell fate determination	3	3,9714236158	17,9864120046	51,3666666667	1,0	3,0	 
area research	research area	research area	2	3,14727875276	14,9859086116	26,2816627817	1,0	2,0	 
capital century nineteenth	capital of the nineteenth century	capital of the nineteenth century	5	3,9714236158	17,9864120046	232,004273504	1,0	1,0	 
protein repeat	repeat protein	repeat protein	2	3,14727875276	14,9859086116	77,9598290598	1,0	2,0	 
organization stewardship	stewardship organizations	stewardship organizations	2	3,14727875276	14,9859086116	35,4324481074	1,0	4,0	 
capacity network	network capacity	network capacity	2	4,72091812914	22,4788629174	23,7092463092	1,0	5,0	 
pitch plane	pitch plane	pitch plane	2	4,72091812914	22,4788629174	50,7735042735	1,0	4,0	 
cell proliferation	cell proliferation	cell proliferation	2	3,14727875276	12,8043812177	77,6805128205	2,0	5,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	15,2336309225	66,4615384615	2,0	6,0	 
land use	land use	land use	2	3,14727875276	12,8043812177	51,5655328798	2,0	7,0	 
economy global	global economy	global economy	2	3,14727875276	12,8043812177	48,7269230769	2,0	2,0	 
connectivity pair vertices	connectivity between each pair of vertices	connectivity between each pair of vertices	6	3,9714236158	15,2336309225	66,4615384615	2,0	6,0	 
development sustainable	sustainable development	sustainable development	2	3,14727875276	12,8043812177	54,5769230769	2,0	2,0	 
choice realistic route traveler	realistic traveler route choices	realistic traveler route choices	4	3,9714236158	17,9864120046	23,7092463092	1,0	5,0	 
land management	land management	land management	2	3,14727875276	12,8043812177	51,5655328798	2,0	7,0	 
control development	development control	development control|&|control of development	2	4,72091812914	19,2065718266	232,004273504	2,0	1,0	 
system transport	transport systems	transport systems	2	3,14727875276	12,8043812177	130,58974359	3,0	3,0	 
other region	other regions	other regions	2	3,14727875276	12,8043812177	115,008547009	2,0	1,0	 
city more network	more network cities	more network cities|&|network of cities more	3	3,9714236158	15,2336309225	72,2064102564	2,0	4,0	 
economic growth	economic growth	economic growth	2	3,14727875276	12,8043812177	44,8213675214	2,0	1,0	 
equilibrium model	equilibrium modeling	equilibrium modeling|&|equilibrium model	2	3,14727875276	12,8043812177	40,5882284382	2,0	6,0	 
logistic network urban	urban logistics network	urban logistics network	3	3,9714236158	17,9864120046	21,4427350427	1,0	1,0	 
cell morphogenesis	cell morphogenesis	cell morphogenesis	2	7,86819688189	37,4647715291	77,9598290598	1,0	2,0	 
network urban	urban network	urban network|&|urban networks	2	6,29455750551	21,2457076476	93,7615384615	4,0	6,0	 
ecological network urban	urban ecological networks	urban ecological networks	3	3,9714236158	17,9864120046	42,5036630037	1,0	3,0	 
network transportation urban	urban transportation network	urban transportation network	3	3,9714236158	15,2336309225	30,0571095571	2,0	9,0	 
effect network	network effects	network effects	2	3,14727875276	12,8043812177	66,4615384615	2,0	6,0	 
eye open	eyes open	eyes open	2	3,14727875276	14,9859086116	50,7735042735	1,0	4,0	 
system transport urban	urban transport systems	urban transport systems	3	3,9714236158	17,9864120046	76,0128205128	1,0	1,0	 
combinatorial concept important optimization	important concept in combinatorial optimization	important concept in combinatorial optimization	5	3,9714236158	15,2336309225	66,4615384615	2,0	6,0	 
model network	network model	network model	2	3,14727875276	14,9859086116	115,008547009	1,0	1,0	 
ecological network	ecological network	ecological network	2	3,14727875276	14,9859086116	42,5036630037	1,0	3,0	 
empire second	Second empire	Second empire	2	3,14727875276	14,9859086116	232,004273504	1,0	1,0	 
area urban	urban areas	urban areas	2	4,72091812914	17,292404247	91,7064102564	3,0	4,0	 
combination roll	roll combinations	roll combinations|&|combinations of roll	2	3,14727875276	14,9859086116	50,7735042735	1,0	4,0	 
density dwelling	dwelling density	dwelling density	2	3,14727875276	14,9859086116	232,004273504	1,0	1,0	 
network social	social networks	social networks	2	3,14727875276	12,8043812177	44,8213675214	2,0	1,0	 
expression gene	gene expression	gene expression	2	4,72091812914	19,2065718266	171,525641026	2,0	2,0	 
