stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
flow traffic	traffic flow	traffic flow	2	11,0154756347	45,3413720364	1616,26797542	4,0	12,0	 
environment urban	urban environment	urban environment	2	4,72091812914	20,7901400983	265,05387338	3,0	14,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	6,29455750551	27,7201867977	452,30669457	3,0	16,0	 
function other several	several other functions	several other functions	3	3,9714236158	18,1760650808	422,444251995	2,0	24,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	36,3521301615	786,018447623	2,0	15,0	 
city development	city development	city development	2	4,72091812914	20,7901400983	408,787194402	3,0	19,0	 
environmental impact	environmental impacts	environmental impacts	2	4,72091812914	20,7901400983	247,455696847	3,0	29,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	20,4573118929	72,7571704965	275,140280545	8,0	78,0	 
field gravitational model	gravitational field model	gravitational field model	3	3,9714236158	20,9288461629	781,897996359	1,0	5,0	 
development graphical integrated	integrated development and a graphical	integrated development and a graphical	5	3,9714236158	18,1760650808	422,444251995	2,0	24,0	 
network planning	network planning	network planning	2	6,29455750551	30,2724102372	305,336626702	2,0	16,0	 
development land	land development	land development	2	17,3100331402	67,3881052175	271,337989969	5,0	37,0	 
analysis modeling	analysis and modeling	analysis and modeling|&|modeling and analysis	3	4,72091812914	22,7043076779	1185,90201254	2,0	15,0	 
dynamics urban	urban dynamics	urban dynamics	2	7,86819688189	32,3866943117	271,080544193	4,0	39,0	 
land-use management	land-use management	land-use management	2	9,44183625827	38,8640331741	260,235253916	4,0	34,0	 
network space	space network	space network|&|space networks	2	12,589115011	60,5448204744	448,286138725	2,0	14,0	 
land strategy use	land use strategies	land use strategies	3	3,9714236158	20,9288461629	793,753566802	1,0	4,0	 
time travel	travel time	travel time	2	4,72091812914	25,9765987688	1136,93857587	1,0	3,0	 
system urban	urban systems	urban systems|&|urban system	2	12,589115011	43,0926013231	248,306200908	8,0	63,0	 
extension real-time simulation	extensions for real-time simulation	extensions for real-time simulation	4	3,9714236158	18,1760650808	522,3855273	2,0	24,0	 
Land use	Land use	Land use	2	4,72091812914	20,7901400983	283,574201758	3,0	19,0	 
decision support	decision support	decision support	2	4,72091812914	20,7901400983	517,08908133	3,0	16,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	36,3521301615	524,012298415	2,0	15,0	 
land-use pattern	land-use patterns	land-use patterns	2	6,29455750551	30,2724102372	234,591547394	2,0	15,0	 
analysis modeling urban	urban modeling and analysis	urban modeling and analysis|&|urban analysis and modeling	4	3,9714236158	18,1760650808	338,05434333	2,0	15,0	 
alternative model	alternative model	alternative model	2	4,72091812914	22,7043076779	267,494052169	2,0	10,0	 
modeling process	modeling process	modeling process|&|process modeling	2	7,86819688189	32,3866943117	300,502869175	4,0	13,0	 
ecosystem service	ecosystem services	ecosystem services|&|ecosystem service	2	7,86819688189	30,630956917	239,727822569	5,0	40,0	 
