stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
availability weed wide	wide availability of weeds	wide availability of weeds	4	3,9714236158	17,8547505455	255,595651371	2,0	34,0	 
density population size	population size and density	population size and density|&|size population density|&|density and population size|&|population density and the size|&|size and population density	4	11,9142708474	42,647315682	281,347389848	6,0	37,0	 
case new	new cases	new cases	2	4,72091812914	22,3223540609	623,317982968	2,0	5,0	 
health professional public	public health professionals	public health professionals	3	3,9714236158	20,6075316276	630,357351991	1,0	8,0	 
analysis regression	regression analysis	regression analysis	2	4,72091812914	22,3223540609	254,5336678	2,0	22,0	 
previous study	previous studies	previous studies	2	4,72091812914	20,4081864813	319,432893409	3,0	22,0	 
density low population	low population density	low population density	3	9,92855903949	44,6368763638	329,437451682	2,0	10,0	 
availability prey	prey availability	prey availability	2	9,44183625827	44,6447081218	290,282424894	2,0	16,0	 
family planning	family planning	family planning	2	12,589115011	50,8001679201	810,330761954	4,0	22,0	 
density flame surface	flame surface density	flame surface density	3	3,9714236158	17,8547505455	375,76387954	3,0	34,0	 
community convergent pattern	convergent pattern of communities	convergent pattern of communities	4	3,9714236158	17,8547505455	270,149231086	2,0	34,0	 
space use	space use	space use	2	4,72091812914	22,3223540609	237,00820588	2,0	17,0	 
comprehensive datum new set	new comprehensive data sets	new comprehensive data sets	4	3,9714236158	17,8547505455	270,149231086	2,0	34,0	 
density function population	population density functions	population density functions|&|population density function|&|population as a function of density	3	13,8999826553	49,755201629	936,430776235	5,0	17,0	 
cover datum land	land cover data	land cover data	3	7,94284723159	35,709501091	497,911125735	2,0	15,0	 
population size	population size	population size|&|size of the population|&|size population	2	28,3255087748	83,1816257974	487,581429293	13,0	56,0	 
datum set	data sets	data sets|&|sets of data	2	4,72091812914	20,4081864813	272,755832521	5,0	59,0	 
density population variation	variation of population density	variation of population density|&|variation in population density|&|variation in the population density	4	5,95713542369	24,3667152597	327,003405144	3,0	23,0	 
rate strain tangential term	tangential strain rate term	tangential strain rate term	4	9,92855903949	44,6368763638	244,495268187	2,0	24,0	 
area rural	rural areas	rural areas|&|rural area	2	11,0154756347	41,9921145775	535,647500325	5,0	25,0	 
commune datum population	population data per commune	population data per commune	4	3,9714236158	17,8547505455	507,902464413	2,0	15,0	 
body mass negative relationship	negative relationship between body mass	negative relationship between body mass	5	3,9714236158	17,8547505455	351,068389293	2,0	12,0	 
curvature propagation term	propagation and curvature terms	propagation and curvature terms|&|curvature and propagation terms	4	9,92855903949	40,6111920995	396,870412432	3,0	30,0	 
density mammal population terrestrial	population density in terrestrial mammals	population density in terrestrial mammals|&|population density of terrestrial mammals	5	5,95713542369	30,9112974414	347,747683324	1,0	10,0	 
density distribution population	population density distribution	population density distribution	3	3,9714236158	17,8547505455	423,956655819	2,0	5,0	 
home individual range	individual home ranges	individual home ranges	3	3,9714236158	17,8547505455	290,745332988	2,0	16,0	 
convex minimum polygon	minimum convex polygon	minimum convex polygon	3	3,9714236158	17,8547505455	255,595651371	2,0	34,0	 
density estimate	density estimate	density estimate|&|density estimates|&|estimates of the density	2	6,29455750551	25,40008396	336,173339175	4,0	13,0	 
mortality rate	mortality rates	mortality rates	2	6,29455750551	29,7631387479	851,545323313	2,0	10,0	 
FSD equation term transport various	various terms of the FSD transport equation	various terms of the FSD transport equation	7	3,9714236158	17,8547505455	295,241761066	2,0	25,0	 
body density mass population	population density and body mass	population density and body mass|&|body mass and population density|&|body mass population density	5	13,8999826553	49,755201629	360,564600567	5,0	34,0	 
density relationship	density relationship	density relationship|&|density relationships|&|relationship between density|&|relationships between density	2	12,589115011	47,9909880886	339,640228381	7,0	62,0	 
child mortality rate	child mortality rates	child mortality rates	3	3,9714236158	17,8547505455	851,545323313	2,0	10,0	 
pattern similar	similar pattern	similar pattern	2	4,72091812914	22,3223540609	278,834510256	2,0	21,0	 
density grid	density grid	density grid|&|density grids	2	4,72091812914	22,3223540609	422,027238908	3,0	20,0	 
intermediate size	intermediate size	intermediate size	2	4,72091812914	22,3223540609	267,759267095	2,0	22,0	 
community consistent feature	consistent feature in these communities	consistent feature in these communities	5	3,9714236158	17,8547505455	270,149231086	2,0	34,0	 
Population size	Population size	Population size	2	4,72091812914	20,4081864813	401,270251917	3,0	17,0	 
density grey habitat high partridge population use	habitat use of a high density population of the grey partridge	habitat use of a high density population of the grey partridge	11	3,9714236158	17,8547505455	255,595651371	2,0	34,0	 
annual variability	annual variability	annual variability	2	6,29455750551	34,1261935357	422,38645441	1,0	7,0	 
