stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
flow traffic	traffic flow	traffic flow	2	3,14727875276	12,0329125137	170,333561713	3,0	12,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	3,14727875276	12,0329125137	250,898719308	2,0	6,0	 
logistic park urban	urban logistics park	urban logistics park	3	9,92855903949	42,5323172149	384,512612613	1,0	2,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	28,5202916077	92,7733378393	2,0	17,0	 
assignment flow ratio traffic	traffic flow assignment ratios	traffic flow assignment ratios	4	3,9714236158	17,012926886	222,220720721	1,0	3,0	 
location logistic park selection urban	urban logistics park location selection	urban logistics park location selection|&|location selection of urban logistics park	5	3,9714236158	17,012926886	384,512612613	1,0	2,0	 
analysis network	network analysis	network analysis	2	3,14727875276	12,0329125137	582,674201474	2,0	3,0	 
empirical evidence	empirical evidence	empirical evidence	2	3,14727875276	12,0329125137	207,971764922	2,0	7,0	 
metric spatial	spatial metrics	spatial metrics	2	4,72091812914	21,3216598615	62,4486949742	1,0	8,0	 
biodiversity conservation	biodiversity conservation	biodiversity conservation	2	3,14727875276	14,2144399076	93,0676494676	1,0	4,0	 
development graphical integrated	integrated development and a graphical	integrated development and a graphical	5	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
issue special	special issue	special issue	2	3,14727875276	12,0329125137	63,6449038623	2,0	6,0	 
online service	online services	online services	2	3,14727875276	14,2144399076	412,260810811	1,0	2,0	 
emulation network	network emulation	network emulation	2	3,14727875276	12,0329125137	50,727027027	2,0	24,0	 
dynamics urban	urban dynamics	urban dynamics	2	4,72091812914	18,0493687706	79,8513897098	2,0	13,0	 
actor private sector	private sector actors	private sector actors|&|actors from the private sector	3	3,9714236158	17,012926886	231,47977068	1,0	2,0	 
network wireless	wireless networks	wireless networks	2	3,14727875276	14,2144399076	319,762612613	1,0	2,0	 
development regional	regional development	regional development	2	7,86819688189	35,5360997691	157,110369824	1,0	4,0	 
network space	space network	space network|&|space networks	2	12,589115011	48,1316500549	141,084375212	2,0	11,0	 
logistic system	logistics system	logistics system	2	3,14727875276	12,0329125137	92,7733378393	2,0	17,0	 
application interface programming	application programming interface	application programming interface|&|application programming interfaces	3	3,9714236158	14,2601458039	143,985456885	2,0	5,0	 
method traditional	traditional methods	traditional methods|&|Traditional methods|&|traditional method	2	6,29455750551	19,7027702396	98,2740007817	4,0	24,0	 
time travel	travel time	travel time	2	4,72091812914	21,3216598615	271,535135135	1,0	3,0	 
system urban	urban systems	urban systems	2	3,14727875276	12,0329125137	100,841205375	2,0	8,0	 
extension real-time simulation	extensions for real-time simulation	extensions for real-time simulation	4	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
decision support	decision support	decision support	2	3,14727875276	12,0329125137	103,995091989	2,0	8,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	28,5202916077	92,7733378393	2,0	17,0	 
flow forecasting traffic	traffic flow forecasting	traffic flow forecasting	3	3,9714236158	17,012926886	124,013449163	1,0	3,0	 
analysis modeling urban	urban modeling and analysis	urban modeling and analysis|&|urban analysis and modeling	4	3,9714236158	14,2601458039	80,0936276219	2,0	9,0	 
aerial image	aerial images	aerial images|&|aerial image	2	9,44183625827	36,0987375412	162,025010725	2,0	3,0	 
change land use	land use change	land use change	3	5,95713542369	21,3902187058	93,4763125225	2,0	12,0	 
ecosystem service	ecosystem services	ecosystem services	2	3,14727875276	12,0329125137	158,333949255	2,0	7,0	 
analysis method	analysis method	analysis method	2	4,72091812914	18,0493687706	139,300066874	2,0	9,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	9,44183625827	29,5541553595	265,555122316	4,0	5,0	 
status traffic	traffic status	traffic status	2	9,44183625827	42,6433197229	222,220720721	1,0	3,0	 
alternative language programming support	support for alternative programming languages	support for alternative programming languages	5	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
replaced-dns undirected vertices	vertices of an undirected replaced-dns	vertices of an undirected replaced-dns	5	3,9714236158	14,2601458039	358,097297297	2,0	6,0	 
combinatorial concept important optimization	important concept in combinatorial optimization	important concept in combinatorial optimization	5	3,9714236158	14,2601458039	358,097297297	2,0	6,0	 
framework library simulation	simulation library and framework	simulation library and framework	4	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
plan urban	urban planning	urban planning	2	3,14727875276	12,0329125137	105,457935914	2,0	9,0	 
design network problem	network design problem	network design problem	3	7,94284723159	28,5202916077	500,796846847	2,0	4,0	 
3D modeling urban	3D urban modeling	3D urban modeling	3	3,9714236158	14,2601458039	161,714970928	2,0	8,0	 
network structure	network structure	network structure|&|structure of the network	2	3,14727875276	12,0329125137	120,614233752	2,0	11,0	 
network scale-free	scale-free network	scale-free network	2	3,14727875276	14,2144399076	180,883526384	1,0	3,0	 
network pipe	pipe network	pipe network	2	3,14727875276	14,2144399076	157,483374283	1,0	2,0	 
model theoretical	theoretical model	theoretical model	2	4,72091812914	21,3216598615	157,110369824	1,0	4,0	 
evaluation performance	performance evaluation	performance evaluation	2	3,14727875276	12,0329125137	50,727027027	2,0	24,0	 
modeling urban year	years of urban modeling	years of urban modeling	4	5,95713542369	21,3902187058	162,619240669	2,0	4,0	 
independent project	independent projects	independent projects	2	3,14727875276	12,0329125137	50,727027027	2,0	24,0	 
Urban modeling	Urban modeling	Urban modeling	2	3,14727875276	12,0329125137	154,587974931	2,0	7,0	 
development policy	policy development	policy development|&|development policy	2	3,14727875276	12,0329125137	346,958526384	2,0	4,0	 
integrated modeling	Integrated modeling	Integrated modeling	2	3,14727875276	12,0329125137	174,306661043	2,0	7,0	 
actual forecasting result	actual forecasting results	actual forecasting results	3	3,9714236158	14,2601458039	92,7733378393	2,0	17,0	 
modeling technology	modeling technologies	modeling technologies	2	3,14727875276	12,0329125137	158,798060836	2,0	8,0	 
model simulation	simulation models	simulation models	2	4,72091812914	18,0493687706	130,816344916	2,0	2,0	 
network urban	urban network	urban network|&|network and urban	2	4,72091812914	18,0493687706	183,506210592	2,0	7,0	 
current research	current research	current research	2	3,14727875276	12,0329125137	144,774453024	2,0	6,0	 
architecture system	system architecture	system architecture	2	3,14727875276	14,2144399076	143,985456885	1,0	5,0	 
resolution satellite	resolution satellite	resolution satellite	2	3,14727875276	12,0329125137	161,714970928	2,0	8,0	 
environment graphical runtime	graphical runtime environment	graphical runtime environment	3	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
network plan transportation	transportation network planning	transportation network planning	3	5,95713542369	25,519390329	192,028155046	1,0	3,0	 
growth modeling tree urban	urban tree growth modeling	urban tree growth modeling	4	3,9714236158	17,012926886	154,830566281	1,0	3,0	 
element road	road element	road element|&|road elements	2	3,14727875276	14,2144399076	149,158691646	1,0	4,0	 
atmosphere environmental simulation	atmosphere environmental simulation	atmosphere environmental simulation	3	3,9714236158	17,012926886	179,762181747	1,0	3,0	 
design practice urban	urban design practice	urban design practice	3	7,94284723159	34,0258537719	113,630591031	1,0	5,0	 
function other several	several other functions	several other functions	3	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
demand logistic	logistics demand	logistics demand	2	3,14727875276	12,0329125137	92,7733378393	2,0	17,0	 
framework model	model frameworks	model frameworks	2	3,14727875276	12,0329125137	50,727027027	2,0	24,0	 
demand forecasting logistic method urban	forecasting method of urban logistics demand	forecasting method of urban logistics demand	6	3,9714236158	14,2601458039	92,7733378393	2,0	17,0	 
complicated shape	complicated shape	complicated shape	2	3,14727875276	14,2144399076	179,762181747	1,0	3,0	 
development recent	recent developments	recent developments	2	3,14727875276	12,0329125137	90,4208288096	2,0	13,0	 
land value	land values	land values	2	4,72091812914	21,3216598615	180,883526384	1,0	3,0	 
reliability time	time reliability	time reliability	2	3,14727875276	14,2144399076	271,535135135	1,0	3,0	 
certain connectivity requirement	certain connectivity requirements	certain connectivity requirements	3	3,9714236158	14,2601458039	358,097297297	2,0	6,0	 
new version	new version	new version	2	3,14727875276	14,2144399076	157,900225225	1,0	2,0	 
chain design network supply	supply chain network design	supply chain network design	4	3,9714236158	17,012926886	275,503603604	1,0	1,0	 
green network space	green space network	green space network	3	3,9714236158	14,2601458039	141,084375212	2,0	11,0	 
model urban	urban models	urban models	2	4,72091812914	16,135201191	133,162210909	3,0	10,0	 
analysis policy	policy analysis	policy analysis	2	6,29455750551	24,0658250275	346,958526384	2,0	4,0	 
design process	design process	design process	2	3,14727875276	12,0329125137	113,630591031	2,0	5,0	 
complicated system	complicated system	complicated system	2	3,14727875276	12,0329125137	92,7733378393	2,0	17,0	 
communication network simulation support	support for simulation of communication networks	support for simulation of communication networks	6	3,9714236158	14,2601458039	50,727027027	2,0	24,0	 
development rapid	rapid development	rapid development	2	3,14727875276	12,0329125137	378,599099099	2,0	5,0	 
modeling system	modeling system	modeling system|&|modeling systems	2	6,29455750551	21,513601588	262,140547885	3,0	8,0	 
land use	land use	land use|&|land uses	2	4,72091812914	18,0493687706	100,775258512	3,0	15,0	 
connectivity pair vertices	connectivity between each pair of vertices	connectivity between each pair of vertices	6	3,9714236158	14,2601458039	358,097297297	2,0	6,0	 
environment simulated	simulated environment	simulated environment	2	3,14727875276	12,0329125137	641,518918919	2,0	3,0	 
behavior characteristic modeling travel	travel behavior characteristics modeling	travel behavior characteristics modeling	4	3,9714236158	17,012926886	87,9185069523	1,0	6,0	 
