alphalocalization,bioSteps,bioThreshold,diffusion,diffusionsteps,distance,entropy,gravityHierarchyExponent,gravityInflexion,gravityRadius,growthrate,hierarchyRole,id,laAccessibility,laBw,laCloseness,laDroadCoef,laPopCoef,maxNewLinksNumber,meanBwCentrality,meanClosenessCentrality,meanPathLength,meanRelativeSpeed,moran,nwHeuristic,nwLength,nwUpdateTime,replication,rsquared,slope,totalTime
2.0,40.0,0.5,0.1,2.0,0.7969581823980919,0.9417232305866896,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.10577009943277381,0.031287711559413636,0.563703407113049,0.6702054630581479,0.17818388640743893,0,324.0529985073099,3.0,1941015712,0.4921787024002054,-1.149079888435312,10.0
2.0,40.0,0.5,0.1,2.0,0.8548843422003626,0.9351914485914535,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.12664135209589755,0.028731889151597335,0.613891941574777,0.6389924879892284,0.12998107348175839,0,333.4695904369866,3.0,1161301585,0.5715082862993375,-1.1460658388535512,10.0
2.0,40.0,0.5,0.1,2.0,0.9046321174674236,0.9370196953421018,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.12628566618971468,0.027720571843959926,0.6571771914523098,0.6525562195112169,0.15304448019006098,0,328.56088498141753,3.0,1945556939,0.5394328193027166,-1.2109414446807432,10.0
2.0,40.0,0.5,0.1,2.0,0.9080255607424099,0.9325461443764435,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.1022952210387407,0.030311944977283532,0.6032732365693472,0.6632307034151499,0.12213984912222342,0,322.0183853521702,3.0,1821817124,0.6252813751771139,-1.1155847806136052,10.0
2.0,40.0,0.5,0.1,2.0,0.817806564071745,0.9418758452788086,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.10565110565110565,0.02975290366629799,0.5470397393811002,0.6909778612997974,0.13430690989134378,0,320.338720191671,3.0,1699858873,0.6036328259408654,-1.0550897797506122,10.0
2.0,40.0,0.5,0.1,2.0,0.8373024008118,0.940727915174106,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.10182093547478163,0.029995498995885703,0.5844536919860096,0.678013616427515,0.1470273979158285,0,335.896148672463,3.0,213398418,0.5769436059160429,-1.087647979443185,10.0
2.0,40.0,0.5,0.1,2.0,0.8702220925103887,0.9303549552148213,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.12137191209205538,0.0313895365432672,0.5980867066766976,0.6855104908383927,0.10792717680108271,0,302.23508124635794,3.0,1982869885,0.5716965259667225,-1.2070133840503894,10.0
2.0,40.0,0.5,0.1,2.0,0.8273184080463493,0.9364179369815319,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.10930989833724344,0.030549063700367942,0.5935347140293332,0.6488203469382463,0.10603679701765323,0,317.01385490246054,3.0,998636765,0.5970049070625467,-1.1267148657235362,10.0
2.0,40.0,0.5,0.1,2.0,0.8130980086566647,0.932453260555923,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.12544838990231538,0.03268360953356963,0.5919450098951684,0.6714497175648623,0.158666241810607,0,314.46994181589207,3.0,-1735937689,0.3026881392553399,-1.4628367870813452,10.0
2.0,40.0,0.5,0.1,2.0,0.8236729976168583,0.9248061248275985,3.0,10.0,200.0,1000.0,0.5,1,1.0,0.0,0.0,0.5,0.5,10.0,0.11655499935823385,0.03310093257425338,0.5549314245651213,0.6976865740140219,0.13311912215903143,0,287.9877503683848,3.0,639947056,0.47037008487795595,-1.3870971632264637,10.0
