alphalocalization,bioSteps,bioThreshold,diffusion,diffusionsteps,distance,entropy,gravityHierarchyExponent,gravityInflexion,gravityRadius,growthrate,hierarchyRole,id,laAccessibility,laBw,laCloseness,laDroadCoef,laPopCoef,maxNewLinksNumber,meanBwCentrality,meanClosenessCentrality,meanPathLength,meanRelativeSpeed,moran,nwHeuristic,nwLength,nwUpdateTime,replication,rsquared,slope,totalTime
2.0,40.0,0.5,0.1,2.0,0.8805444325723304,0.9579818840178549,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.10129491769720854,0.02917491808746075,0.5825849097327802,0.6562521078569011,0.14016376642745415,1,366.0525995309824,3.0,1949339931,0.5339511267773532,-0.8919696369377172,10.0
2.0,40.0,0.5,0.1,2.0,0.8756270596025119,0.9510217737003273,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.11891611891611892,0.030149109201749725,0.6108890522878424,0.6584687699349506,0.16984432252936832,1,326.1539732265261,3.0,-1780836003,0.46144435330713673,-1.0896085926750843,10.0
2.0,40.0,0.5,0.1,2.0,0.8437445461014069,0.9532611405916812,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.10440490301539558,0.03284833566969467,0.5454912029433999,0.6780355395925961,0.151562284495831,1,316.17208523600124,3.0,-841648074,0.5057660911731627,-1.0146705861251597,10.0
2.0,40.0,0.5,0.1,2.0,0.8841840748205925,0.9461396147210586,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.10970685303824501,0.03165493722036758,0.6570920402747602,0.6512548217909703,0.15226436038751937,1,321.5944972396805,3.0,663817898,0.5243935640882541,-1.143743874115907,10.0
2.0,40.0,0.5,0.1,2.0,0.8780016929867773,0.9538621759303773,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.10091378086440686,0.030053831698342255,0.6068130047385929,0.6568414733931458,0.1565909871368127,1,370.00879809658704,3.0,-1421218482,0.5969765791978121,-0.9393514409141891,10.0
2.0,40.0,0.5,0.1,2.0,0.8331129924371224,0.954937296649842,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.10502164502164502,0.030828964168324962,0.5828396247742316,0.653713953892274,0.17889987013919245,1,349.32058525684613,3.0,-519763042,0.37658327951807774,-1.0643327317595823,10.0
2.0,40.0,0.5,0.1,2.0,0.9066396353004368,0.9530350063188742,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.11900913510015501,0.02964890795598872,0.6280302207247901,0.6771011606549987,0.1399747661815658,1,343.35158102721323,3.0,-1788863842,0.3814622990131705,-1.122062894813036,10.0
2.0,40.0,0.5,0.1,2.0,0.9491439323891695,0.9574754566680601,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.12493536324495562,0.028311437103170134,0.7559377078751803,0.6016904266857819,0.1330080783630879,1,360.91104526539056,3.0,1609486007,0.46334366770580593,-0.9462095351490646,10.0
2.0,40.0,0.5,0.1,2.0,0.9090731939445291,0.9536236017561067,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.12432785660941001,0.031640623966987476,0.6120681871362367,0.6806193408309271,0.12278489988923767,1,338.076287489291,3.0,-1754578773,0.5756285347712116,-0.9539182822070265,10.0
2.0,40.0,0.5,0.1,2.0,0.8543513580661175,0.9556122711435804,3.0,10.0,20.0,1000.0,0.5,0,0.0,0.0,0.0,0.5,0.5,10.0,0.1089362458149159,0.03079978281917385,0.6117110863154588,0.647759884745317,0.14092482873654746,1,317.8361408472788,3.0,-688565390,0.4797531349517036,-0.9751877121191773,10.0
