"x";"y";"moran";"distance";"entropy";"slope"
"1";5000;5000;0.0593850877413954;0.0108124664098219;0.819171309627052;-0.913432121437466
"2";5050;5000;0.0564187232661849;0.0111729682887152;0.810492040998129;-0.990913268758141
"3";5100;5000;0.0557501512819614;0.0110791499193574;0.802229071700997;-1.07513871376886
"4";5150;5000;0.0614803108231551;0.0111280209065117;0.782806045950858;-1.12478765488239
"5";5200;5000;0.0506175012249282;0.00892084581777685;0.837519105444732;-1.04073890856271
"6";5000;5050;0.052509614975051;0.00920311486256836;0.838948230174704;-0.765292038174828
"7";5050;5050;0.0503309313547011;0.009664613976338;0.834036057729191;-0.851282408975262
"8";5100;5050;0.0499496145726218;0.00965599304852101;0.8208194928029;-0.951745191587508
"9";5150;5050;0.0521212128481713;0.00931524524841853;0.803789453164954;-0.974188345580831
"10";5200;5050;0.0326385910039399;0.00756043796676191;0.896941816070605;-0.913416133216836
"11";5000;5100;0.0276187122856531;0.00797511039954739;0.96126806087147;-0.59453275765616
"12";5050;5100;0.0274968053531649;0.00825379742834135;0.954783007520182;-0.666101250391306
"13";5100;5100;0.0273617420823287;0.00831250128600787;0.935491715426051;-0.751075501342951
"14";5150;5100;0.0306904378715861;0.0125937957154454;0.94473934998539;-0.788277189777649
"15";5200;5100;0.0355547387890362;0.0125305438813724;0.935037706608403;-0.840740788795542
"16";5000;5150;0.0388789508008927;0.0091117160665273;0.908141533198059;-0.652057239574377
"17";5050;5150;0.03880639056222;0.00949094353814047;0.904039131575298;-0.718375935639122
"18";5100;5150;0.0373794631219451;0.0100612476086827;0.89534200842909;-0.781469162828905
"19";5150;5150;0.0317408779011714;0.0127105785675884;0.948278178899987;-0.746938634195944
"20";5200;5150;0.0339312457028433;0.0135616919289932;0.945885059322958;-0.777408083127504
"21";5000;5200;0.042631582931591;0.00792465345835069;0.915519171222481;-0.675397815911983
"22";5050;5200;0.0412525867168119;0.00872937094421133;0.911094387399785;-0.723171786429384
"23";5100;5200;0.0412828114478356;0.00869441670494217;0.911664326434947;-0.748145107512178
"24";5150;5200;0.0345532729096661;0.0160838074309392;0.958779782851602;-0.738505381597285
"25";5200;5200;0.0399730127929172;0.0179602686702367;0.957711421982981;-0.727661377135332
