evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,feedbackWeight,feedbackGamma,feedbackDecay,logmse
102,0.009999989227276821,0.09999999119695943,0.14508636472071706,9999.927378546718,0.09999993875728239,9.435822586521764,14.118587021295609,24.20398905362147
102,0.009999996089730451,0.1,0.1450961944659798,9999.892253754257,0.09999926731656589,9.4552625453332,14.132038937051359,24.20398911850948
102,0.009999989077787248,0.09999999881224232,0.14509004501737358,9999.971482140174,0.1,9.436291738797642,14.178104168620932,24.203989139067623
102,0.01,0.09999998725962758,0.1450933891557638,10000.0,0.0999998964505782,9.524561703394683,14.158003742934664,24.20398914792713
102,0.009999996040640235,0.1,0.1450877199068998,9999.955301221513,0.1,9.349923403510982,14.14308135552439,24.203989181911368
102,0.01,0.09999998864032711,0.14509395579593376,10000.0,0.1,9.50947620543541,14.174439617735247,24.203989184567053
102,0.009999995417251419,0.09999998792522229,0.1450888099791391,9999.834481649183,0.0999961346810265,9.46910566302886,14.13789070162743,24.20398919845617
102,0.009999995412550554,0.09999998875461706,0.1450930359919181,10000.0,0.09999803158173864,9.446738996155013,14.169691975774194,24.20398920128859
102,0.00999998892682174,0.0999999866680287,0.1450938254722225,9999.920594315929,0.1,9.42458650282273,14.14973480557007,24.20398920155263
102,0.009999990276117804,0.09999999984227102,0.14509013668905055,9999.9365906554,0.09999650869170389,9.448813733359772,14.172377412927016,24.20398921523371
102,0.009999997992061903,0.09999999003118212,0.14508472514736243,9999.905702624437,0.09999851513888913,9.420694966032835,14.191186045793705,24.203989221468127
102,0.00999999820676071,0.09999998919306813,0.14509189378013143,9999.964074473472,0.09999912912301544,9.383450322896017,14.169533510040615,24.203989226825676
102,0.009999993921770462,0.1,0.145093373574986,9999.804711768362,0.09999315756019223,9.484353863420166,14.110820311914061,24.203989229918093
102,0.009999998891912212,0.09999998805585701,0.1450932825439376,9999.995580166575,0.0999985780658785,9.5438494421868,14.16338971849526,24.203989233422604
102,0.009999995815377324,0.09999998928098572,0.14509509611460558,9999.956924233236,0.09999945522141437,9.455789137256932,14.180628159440834,24.203989235008365
102,0.009999980381187408,0.1,0.1450922550983624,9999.986999233592,0.1,9.39168175990903,14.181728224760557,24.20398923838856
102,0.009999974601296247,0.09999998677865203,0.14509393651286714,9999.978596956213,0.09999723643866171,9.474926293383877,14.131631808647677,24.203989245195483
102,0.009999992286700706,0.09999998676094791,0.14509073676789067,9999.89416124435,0.09999877477181734,9.446765743603088,14.181242387778857,24.20398925339313
102,0.009999996550143627,0.0999999963076941,0.14509092916534921,9999.861578483864,0.09999730806886147,9.373146717054349,14.12945424254308,24.20398925497432
102,0.009999999456418662,0.1,0.1450905382614942,10000.0,0.09999914968524759,9.33549743766684,14.166702884371214,24.20398925505019
102,0.01,0.09999999480992361,0.1450909988315661,10000.0,0.1,9.346974825992788,14.188987892304093,24.203989257945707
102,0.009999999835559107,0.0999999887749839,0.14508998880686055,9999.949890364012,0.1,9.600828529122573,14.151337425834724,24.203989261115456
