feedbackDecay,feedbackGamma,feedbackWeight,gravityAlpha,gravityDecay,gravityGamma,gravityWeight,growthRate,id,logmse,mselog
1.6,0.5,0.0,0.0,1.0,1.0,0.0,0.071,15,32.3804463598734,311.4638822988617
1.3000000000000003,0.5,0.0,0.0,1.0,1.0,0.0,0.071,12,32.3804463598734,311.4638822988617
0.6,0.5,0.0,0.0,1.0,1.0,0.0,0.071,5,32.3804463598734,311.4638822988617
1.8000000000000003,0.5,0.0,0.0,1.0,1.0,0.0,0.071,17,32.3804463598734,311.4638822988617
1.9000000000000001,0.5,0.0,0.0,1.0,1.0,0.0,0.071,18,32.3804463598734,311.4638822988617
2.0,0.5,0.0,0.0,1.0,1.0,0.0,0.071,19,32.3804463598734,311.4638822988617
1.4000000000000001,0.5,0.0,0.0,1.0,1.0,0.0,0.071,13,32.3804463598734,311.4638822988617
1.1,0.5,0.0,0.0,1.0,1.0,0.0,0.071,10,32.3804463598734,311.4638822988617
0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.071,4,32.3804463598734,311.4638822988617
1.7000000000000002,0.5,0.0,0.0,1.0,1.0,0.0,0.071,16,32.3804463598734,311.4638822988617
1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.071,9,32.3804463598734,311.4638822988617
0.4,0.5,0.0,0.0,1.0,1.0,0.0,0.071,3,32.3804463598734,311.4638822988617
0.2,0.5,0.0,0.0,1.0,1.0,0.0,0.071,1,32.3804463598734,311.4638822988617
0.1,0.5,0.0,0.0,1.0,1.0,0.0,0.071,0,32.3804463598734,311.4638822988617
0.9,0.5,0.0,0.0,1.0,1.0,0.0,0.071,8,32.3804463598734,311.4638822988617
1.5000000000000002,0.5,0.0,0.0,1.0,1.0,0.0,0.071,14,32.3804463598734,311.4638822988617
0.30000000000000004,0.5,0.0,0.0,1.0,1.0,0.0,0.071,2,32.3804463598734,311.4638822988617
0.8,0.5,0.0,0.0,1.0,1.0,0.0,0.071,7,32.3804463598734,311.4638822988617
0.7000000000000001,0.5,0.0,0.0,1.0,1.0,0.0,0.071,6,32.3804463598734,311.4638822988617
1.2000000000000002,0.5,0.0,0.0,1.0,1.0,0.0,0.071,11,32.3804463598734,311.4638822988617
9.700000000000001,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4096,32.358810395172,311.63024274031466
9.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4095,32.35877132023959,311.6271784055411
9.8,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4097,32.35884847578111,311.633273384371
10.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4099,32.35892175607655,311.63923585025
8.8,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4087,32.3584195985703,311.601378557429
8.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4086,32.35837029481124,311.5979833105381
9.3,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4092,32.35864786182944,311.6177774035884
9.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4089,32.358514459155074,311.60805154003816
9.9,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4098,32.35888558775247,311.63627090336473
9.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4090,32.35856008071857,311.61133064645986
8.9,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4088,32.35846764241701,311.60473440294027
9.4,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4093,32.35869008107571,311.62094633592454
9.5,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4094,32.3587312245847,311.6240798013948
9.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4091,32.35860453819186,311.61457238496376
8.4,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4083,32.358214482563824,311.58755399877055
8.5,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4084,32.358267771874466,311.59107176324164
8.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4080,32.35804606256835,311.57674362121975
8.3,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4082,32.35815979303642,311.5839939044323
8.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4081,32.358103665847615,311.58039070806115
8.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4085,32.35831969744669,311.5945479538427
8.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4079,32.357986943767855,311.5730518391312
7.8,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4077,32.35786399677325,311.56553088833965
7.9,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4078,32.35792626899707,311.569314540661
7.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4076,32.35780008456576,311.5617000284496
7.5,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4074,32.35766716476363,311.5538931907445
7.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4075,32.35773448878344,311.55782109115955
7.3,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4072,32.35752714795251,311.54588687994334
7.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4071,32.35745436041052,311.5418066216164
7.4,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4073,32.35759806676331,311.54991542586635
6.9,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4068,32.35722428983908,311.52924604946776
7.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4069,32.35730298199558,311.53348717187976
6.8,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4067,32.357143526402595,311.52494935436204
6.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4066,32.357060638379224,311.5205960920889
7.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4070,32.357379655125165,311.5376737053023
6.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4065,32.356975571430716,311.51618525863194
6.5,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4064,32.356888270216416,311.5117158418048
6.4,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4063,32.35679867842972,311.50718682281024
6.3,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4062,32.35670673884269,311.5025971779794
6.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4061,32.35661239335998,311.4979458807063
6.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4060,32.35651558308317,311.49323190358785
5.9,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4058,32.35631432900563,311.4836118105482
5.8,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4057,32.356209764140395,311.47870365809996
6.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4059,32.356416248386516,311.48845422077557
5.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4056,32.35610249257378,311.4737287585559
5.5,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4054,32.35587958322058,311.46357476787773
5.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4055,32.35599245280807,311.4686861201941
5.4,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4053,32.355763822240796,311.45839374666315
5.3,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4052,32.35564510855111,311.4531421255562
5.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4049,32.35527064680345,311.43695479357046
5.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4050,32.35539858042479,311.4424235026792
4.9,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4048,32.35513952271045,311.43141207746095
5.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4051,32.35552338131349,311.4478190013811
4.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4046,32.354867481060325,311.4201016541503
4.8,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4047,32.35500515210818,311.42579460043146
4.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4045,32.35472645817716,311.4143325780259
4.5,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4044,32.354582035110354,311.40848676031567
4.3999999999999995,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4043,32.35443416710222,311.40256363777405
4.3,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4042,32.35428281359502,311.396562693348
4.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4041,32.35412793890699,311.39048345128515
4.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4040,32.35396951298267,311.3843254688561
4.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4039,32.35380751222748,311.3780883237125
3.9000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4038,32.353641920438626,311.37177159563583
3.8000000000000003,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4037,32.35347272984857,311.36537484114723
3.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4036,32.3532999423024,311.358897559083
3.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4035,32.35312357059856,311.3523391447663
3.5000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4034,32.35294364003357,311.3456988299067
3.4000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4033,32.35276019020799,311.33897560462174
3.3000000000000003,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4032,32.35257327717469,311.3321681172294
3.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4031,32.35238297604508,311.32527454646277
3.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4030,32.352189384218754,311.318292439573
2.9000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4028,32.3517928552644,311.3040483742558
3.0000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4029,32.35199262547443,311.3112185084534
2.8000000000000003,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4027,32.35159026770599,311.296776249134
2.7,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4026,32.35138510498245,311.2893945416655
2.5000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4024,32.350968345082364,311.27425996638266
2.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4025,32.35117767018401,311.2818933702299
2.4000000000000004,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4023,32.35075761500786,311.26647794826886
2.3000000000000003,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4022,32.35054610398959,311.2585264430283
2.2,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4021,32.35033462477931,311.25037903791036
2.1,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4020,32.350124250546976,311.24200254432344
1.9000000000000001,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4018,32.349713078774464,311.2243869233795
2.0,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4019,32.34991641827592,311.2333555705858
1.8000000000000003,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4017,32.349516915681434,311.2150339052825
1.7000000000000002,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4016,32.3493316673748,311.2052206646976
1.4000000000000001,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4013,32.34890640798433,311.1720451587666
1.6,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4015,32.34916260379145,311.19485691925814
1.5000000000000002,0.5,0.2,0.0,1.0,1.0,0.0,0.071,4014,32.34901723906887,311.18383767838503
