feedbackDecay,feedbackGamma,feedbackWeight,gravityAlpha,gravityDecay,gravityGamma,gravityWeight,growthRate,id,logmse,mselog
40.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,3,32.748159086882794,325.0910461310235
110.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,10,32.74816128665637,325.0910408088212
180.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,17,32.74816610171359,325.090783053563
150.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,14,32.74816411510964,325.09088689702696
50.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,4,32.74815883149006,325.0911321153164
160.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,15,32.748164799081906,325.09085080954355
20.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,1,32.74815919153399,325.0904462948276
200.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,19,32.74816730602906,325.09072136638184
100.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,9,32.748160613175095,325.09107859852395
170.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,16,32.74816546210916,325.0908161742254
70.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,6,32.74815905326619,325.0911613190965
10.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,0,32.74815362940861,325.08951200318455
60.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,5,32.74815882677327,325.09116227461186
90.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,8,32.748159993087775,325.09111343178733
80.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,7,32.748159459056644,325.09114251423875
130.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,12,32.74816270253926,325.09096274905096
120.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,11,32.74816198907597,325.0910018208895
190.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,18,32.748166716538094,325.0907514585023
30.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,2,32.7481594599245,325.0908546122176
140.0,0.2,0.001,0.0,1.0,1.0,0.0,0.065,13,32.74816341421639,325.09092429617067
430.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13742,31.303452621576476,394.2868832349087
440.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13743,31.303454219730654,394.2867571164259
460.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13745,31.303457239717922,394.2865199448413
370.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13736,31.303441568930488,394.28776768173276
400.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13739,31.303447433119615,394.2872956956919
390.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13738,31.303445559336915,394.2874458222755
320.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13731,31.303429926248427,394.288724555751
420.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13741,31.30345096021506,394.2870147988128
410.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13740,31.30344923202391,394.2871521589229
360.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13735,31.303439442358748,394.28794043691
380.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13737,31.30344360620635,394.2876029879178
310.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13730,31.30342726170542,394.2889475177492
340.0,1.0,0.009000000000000001,0.0,1.0,1.0,0.0,0.085,13733,31.303434898800845,394.2883125131843
