PARIS,6007,24293
MARSEILLE,8464,18152
LYON,7943,20882
LILLE,6501,26262
NICE,9972,18685
TOULOUSE,5282,18446
BORDEAUX,3696,19867
NANTES,3053,22538
TOULON,8931,17982
DOUAI,6529,25975
STRASBOURG,9996,24122
GRENOBLE,8661,20262
ROUEN,5094,24941
VALENCIENNES,6846,25966
NANCY,8825,24170
METZ,8809,24636
TOURS,4751,22672
SAINT-ETIENNE,7606,20510
MONTPELLIER,7242,18464
RENNES,3008,23530
ORLEANS,5678,23228
BETHUNE,6215,26145
CLERMONT-FERRAND,6581,20868
AVIGNON,7987,18858
HAVRE,4397,25026
DIJON,8039,22616
MULHOUSE,9744,23173
ANGERS,3819,22785
REIMS,7234,24747
BREST,947,23985
CAEN,4032,24685
MANS,4407,23352
DUNKERQUE,6029,26714
PAU,3801,18149
BAYONNE,2910,18396
LIMOGES,5161,20929
PERPIGNAN,6456,17440
AMIENS,5968,25442
NIMES,7629,18728
SAINT-NAZAIRE,2554,22632
ANNECY,8939,21078
BESANCON,8791,22560
THIONVILLE,8768,24921
TROYES,7287,23678
POITIERS,4472,21780
VALENCE,8020,19951
LORIENT,1728,23205
ROCHELLE,3305,21350
CHAMBERY,8795,20698
MONTBELIARD,9359,22886
