evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,nwThreshold,nwExponent,nwGmax,logmsepop,logmsedist
2948,0.18666238662670587,0.012714325251023612,0.1,47.344018164642925,0.18883098464746745,10.0,0.13356571466509035,26.81425021757304,20.211234538962763
2948,0.2,5.0E-5,0.1,1000.0,0.1,1.7334702926489993,0.10334173070982987,29.933891213336672,16.07074150925115
2948,0.029366939088034057,0.012193381979468619,0.1,52.73801401076276,0.1,0.1,0.0,26.850528217172123,18.192200474273434
2948,0.03770788779157358,0.010464926731487521,0.1,1000.0,0.1,6.567822446101365,0.2,27.056122341143464,17.870965048128426
2948,0.08922260139350019,0.012992207558873555,0.1,47.908507423479705,0.103460433405538,7.777726347270737,0.0587419217982561,26.827333503493907,19.251046889471233
2948,0.2,0.0127098811161703,0.10003256505807905,47.55660947223304,0.18964222316307566,9.19278583349549,0.12486032756683801,26.814403172527374,20.115825698978455
2948,0.04355414686240939,0.012766797401758864,0.1,48.47272179048685,0.1353065034504763,9.87936297957948,0.08111630244600569,26.81820929123702,19.573306359065572
2948,0.05939223256359626,0.012784632572112703,0.1,49.128388190959306,0.1305068436002267,6.970823297314295,0.07084752001350479,26.821526794398068,19.429194781493276
2948,0.06949693403877208,0.01279924985916197,0.1,47.85217329945339,0.1182829762883237,5.457029595951942,0.10015116031914223,26.8157914219212,19.816645007395753
2948,0.054905255559749455,0.012858690481518529,0.1,47.76571483223747,0.12126238682749281,5.403717720322072,0.0990418895739151,26.81621058559532,19.803800205040176
2948,0.15336878391948572,0.01258850585099098,0.10006478869366307,51.82503579355486,1.326330977973093,2.1956394764870963,0.005548589109936783,26.840767930848536,18.3161631590094
2948,0.07869079446827068,0.01228401500981274,0.10064142639583393,52.15062993503651,0.1,2.2151412164711846,0.015377995649143933,26.840709128070547,18.5017466514249
2948,0.0,0.01268916962760564,0.10021183097978477,50.09723081436412,0.1,8.641871427163682,0.021915257259081288,26.836333564691504,18.628782695650344
2948,0.0,0.012770472757143532,0.1,49.6899510140329,0.1,10.0,0.02483578455344101,26.836047619101954,18.683407776520678
2948,0.0,0.012784703660494655,0.1,50.30492268560775,0.1476635734436131,7.99052909097219,0.027244123133026068,26.831158781521314,18.732103754935462
2948,0.12028814340996591,0.012350669253312963,0.10045158316756349,52.359144224070825,0.1,3.3508129605881893,0.018389264451803746,26.84030665764512,18.5587308828056
2948,0.0,0.004586011129449958,0.1,1000.0,0.1,10.0,0.1033261438443494,28.967950707233427,16.071034196697195
2948,0.004829488823600381,0.010459298575733796,0.1,999.9829523637546,0.10987309888093258,1.9729819251185179,0.19361407713479767,27.056302641875966,17.683690887947698
2948,0.0,0.004380341830012541,0.1,1000.0,0.1,4.405979022240347,0.10332669749987418,29.02408369209146,16.0710213290896
2948,0.0,0.008508080121291374,0.1,1000.0,0.1,10.0,0.10331568578230257,27.56657182049591,16.071272695003795
2948,0.09280764702516829,0.010436941124552037,0.1,1000.0,0.1,3.282185540398414,0.14687415903378262,27.057028405062688,16.809351058438814
2948,0.2,0.005540073328624603,0.1,999.9999999999994,0.1,7.906922719578413,0.10329499413921572,28.68624868971373,16.07109480604366
2948,0.19248109027812418,3.194987329394653E-4,0.1,1000.0,0.1,7.830856338823767,0.10335077873636363,29.888882288635443,16.070759474761346
2948,0.0647276591837917,0.012265092877146833,0.10045372673551578,52.38255637055612,0.1,0.1,0.017722641940541222,26.840330137055407,18.54609628163471
2948,0.08163861892262814,0.010440296610633799,0.1,1000.0,0.15381399942059765,7.676932635287429,0.19839967751867335,27.05655134098133,17.401293083249634
2948,0.05146087714407399,0.00747142823370709,0.1,999.9999999999999,0.1,10.0,0.1034158788531421,27.99325802144708,16.07121267629157
2948,0.06254840067237277,0.010421289812725791,0.1,1000.0,0.16383480589304866,5.356179539245164,0.2,27.056595777685217,17.34518922484541
2948,0.1422994347920612,8.326108154737828E-4,0.1,1000.0,0.1,0.1026660667814343,0.10336247341059848,29.799791545117507,16.070793584492915
2948,0.17995094156798844,0.009134501723331028,0.1,1000.0,0.1,10.0,0.10332070356040844,27.322637722805634,16.071309316663516
2948,0.12298472217906889,0.005408230811040107,0.1,1000.0,0.1,10.0,0.10334919181712135,28.727397156719423,16.071084877606324
2948,0.1757205792554174,0.008622307070208293,0.1,1000.0,0.1,9.487237434684934,0.10335422191589615,27.52000808934972,16.071278560107753
2948,0.06920475142531957,0.010429729934675629,0.1,1000.0,0.15264485689861002,8.239343560175545,0.2,27.056508963722614,17.438549031625094
2948,0.0,0.00798393695958523,0.1,1000.0,0.1,3.4695268473453784,0.10339932102139793,27.78374365156129,16.071242095514478
2948,0.005802049756436611,0.007425767007517203,0.1,1000.0,0.1,3.4310450265438353,0.1033469685157567,28.011530509080174,16.071207490834468
2948,0.12224647510398892,0.010430223666410393,0.1,1000.0,0.11611251365821829,3.6019722909303167,0.14124786966894398,27.0572149079623,16.555020255286262
2948,0.14417049324515582,6.363808861741507E-4,0.1,1000.0,0.1,0.10253360553906096,0.10334973733220357,29.834405895205244,16.070780439787743
2948,0.0,0.012246508922315958,0.1,53.392770865464044,10.640389458973583,1.8868257377072097,8.446776161738196E-4,26.84805668480811,18.211798513499954
2948,0.009495811940947618,0.00934460097682479,0.1,1000.0,0.1,8.680772518848059,0.10331212887205501,27.250897737045157,16.071321998511475
2948,0.0,0.006806337533281962,0.1,1000.0,0.1,9.120025979791452,0.10331590020878881,28.251101587255377,16.071170965521198
