evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,feedbackWeight,feedbackGamma,feedbackDecay,logmse,mselog
117,0.016732870540628577,4.628774026208442E-4,1.846069440071484,1000.0,9.103329992819315,14.998013874327015,24.346286706667552,25.413004012703112,5.626635772878225
117,0.014477834511034494,6.84778801721729E-4,1.9187619046878528,3.5439803597673656,1.870204668740616,0.0,0.0,26.99502288225006,5.244441317462227
117,0.014686510960993847,8.141735307963002E-4,1.4839337180948438,16.22023501759274,1.8968660236139776,0.0,0.0,26.312654321350117,5.429006200412316
117,0.014446769045882425,6.747585108798145E-4,1.6587884764009484,999.9999999999999,4.34703134861257,52.43056648523482,185.56676052990522,25.523300964477688,5.469001878104006
117,0.014662709519738353,8.216386333482066E-4,1.5404768907956914,12.89583316892778,1.7313119213931072,23.06473880510682,8.685670022511937,26.685202526623687,5.389446068599933
117,0.015196471890591685,7.208730915966055E-4,1.167617690026405,2.0934775298465156,7.317275363602788,0.0,0.0,26.910495150796642,5.362811353072615
117,0.014515782015480967,6.295889698181034E-4,1.7481789133948702,13.297959422949315,0.665274734590506,0.0,15.885465063814548,26.58825769695126,5.4287944187443875
117,0.014503834207328835,6.295772352414532E-4,1.7480766386906654,2.42396882070417,0.9789235282999287,0.0,0.0,26.993732091041128,5.278526706689332
117,0.014970707144522167,9.152016923876175E-4,1.3620703064983732,6.4384480406041975,3.353524101189992,28.955810888630506,0.0,26.936798863191537,5.305147269951561
117,0.01494766717507595,0.001015849267500183,1.3240781769659995,8.198201159684473,5.874638113574889,0.0,0.0,26.93339837731164,5.32157286196537
117,0.01655661433598913,4.7145495634152865E-4,1.8741018605811612,1000.0,9.053084979340397,14.880590007466829,0.0,25.41311367957592,5.60269110441266
117,0.016072086909365374,4.971482762917107E-4,1.8026233976345356,913.6186020845741,4.810765549638745,100.0,72.47654866034766,25.414770993322698,5.549171342683209
117,0.016519599458249355,4.715405788194735E-4,1.8783509151281668,999.6079419888978,10.0,8.174030022083418,10.729221754306336,25.413179967709606,5.597927421294606
117,0.016186366598440076,4.977834598082699E-4,1.8009280154618177,884.9419437869701,6.419077149864564,0.0,14.100393013818893,25.41473188677148,5.561082132769532
117,0.016201218614397866,4.963904374104022E-4,1.8015985044232656,914.3329032477586,4.811778708523816,100.0,70.83430040041041,25.414481229462517,5.562410383510141
117,0.01631004038420958,4.7808122576571894E-4,1.8792249201979594,999.59438194459,9.616106784189185,8.908791218954045,11.27061310046579,25.413743812021735,5.572871741800205
117,0.01588209685050802,4.919221383219841E-4,1.9638120236893393,975.0844637655359,9.856922178296141,100.0,159.4076183648115,25.415294485345058,5.529846934112375
117,0.015970789768135676,5.070041992513517E-4,1.8056564227524285,986.0457989697062,5.49706045569799,99.4016565912904,165.41498368598886,25.415179588435887,5.538877804666394
117,0.01638640590518569,4.8014905074848286E-4,1.8742897046202232,999.59298047817,9.999801137097842,0.0,0.0,25.41347493638094,5.581732684183817
117,0.01631454929474724,4.779902439587187E-4,1.8764371999208214,999.4459477306326,9.987280544462646,0.0,0.0,25.413742277751133,5.573412341813226
117,0.015726675794974825,5.123215985211587E-4,1.8460442214473467,1000.0,1.4725823250611685,71.50361939439689,0.0,25.416018331076994,5.517761294420633
117,0.015984634031797618,4.980268979142968E-4,1.8387556962271134,939.7838186754516,3.0482144500765,99.33249565953672,0.0,25.4149226221256,5.540206654157694
117,0.015561257140798973,5.099004121440338E-4,1.8789294771626883,942.9045016705107,6.149812994122765,100.0,139.1777325554184,25.41709664203055,5.506303361867255
117,0.01585650029163347,5.018807147728718E-4,1.879783853462389,952.204450127959,5.837379365326055,100.0,171.42110615888123,25.415403948584704,5.528354997524478
117,0.016431824607201613,4.76830409938768E-4,1.8816375495593243,999.6006688666313,10.0,0.0,0.0,25.413353266564354,5.587067352810796
117,0.016391303493459016,4.800649579342082E-4,1.8744773151616396,999.5740336800635,10.0,0.0,0.0,25.413472625222127,5.582309155222702
117,0.01580007866536268,5.081611508357505E-4,1.813799564115407,985.6810185785946,4.921970398134962,100.0,143.13522329769228,25.415654352995798,5.524026530116255
117,0.016546260537461662,4.7148060261438345E-4,1.8666117591143296,1000.0,9.776461650477373,8.510502637436918,11.328072590695616,25.413121159068574,5.601448785440219
117,0.01551837538178926,5.1851231109018E-4,1.8307573149767942,996.0561045439567,5.0E-5,61.0262497368,11.386742788741987,25.41711693119723,5.503376866353699
117,0.015607380864867649,5.099229563668182E-4,1.886167508557326,894.7987319935763,3.7451295156682822,100.0,0.0,25.416881010694926,5.509714385846713
117,0.014449466106390958,6.735586334728513E-4,1.6600896148016318,1000.0,4.060187855813816,60.391248726740166,186.79662355804058,25.521480400790395,5.469001969997792
117,0.015695460935576718,5.159631966237222E-4,1.8161770546173144,999.9793866452578,0.4355732909796979,32.08181372198277,63.9175837632667,25.416220662639297,5.515656875087397
117,0.015410494987366997,5.151919944591252E-4,1.943611767784097,997.3586769248475,3.566991254681144,19.53237137596743,135.50494838927824,25.41758504145888,5.496264933454431
117,0.014450103995686085,6.719068817262527E-4,1.6645150613565478,999.9999999999999,6.782756040305834,19.28074303528835,45.293992302683655,25.519763305751987,5.469002035170968
117,0.015269211897926866,5.216848410745106E-4,1.914991207783992,964.627273816587,5.0E-5,48.4220037157935,68.33035245125608,25.41866007059914,5.489360958308132
117,0.015666901361402374,5.131422797325669E-4,1.847736722050309,967.7978181362017,0.14072379435209031,59.90714530795982,0.0,25.416340859746516,5.51353823194828
117,0.015643420609330386,5.089040402695295E-4,1.8762130495805507,935.7170005397337,6.3308178735335305,97.98833834750197,131.77949514026176,25.416522159196884,5.5119544778969
117,0.015328886143422855,5.156835696959965E-4,1.9387793348134843,1000.0,4.05819240424226,36.42751546151189,165.3947977491702,25.418196021184784,5.491994750231115
117,0.015308281385487172,5.18171650371995E-4,1.9357026265428643,970.6702709379913,10.0,1.9419634896673532,326.41429555670186,25.418368198172676,5.4911493811630505
117,0.015502592056280512,5.173506110324716E-4,1.8503076616076546,960.2752046184626,5.0E-5,65.72677589171408,0.0,25.417286062234336,5.502514411070149
117,0.014447694139546389,6.71466880672385E-4,1.6635424618965096,999.9993756435371,7.033416232461667,18.637745951930874,75.07329484598996,25.518252966957867,5.4690024167033
117,0.015350493174172686,5.212625549453554E-4,1.8701352667079254,1000.0,5.0E-5,49.444038050740346,48.31370929754314,25.418081944279837,5.493365056470621
117,0.014454582481041305,6.64272500569668E-4,1.679923132986378,1000.0,9.79712474564214,82.76459999921354,192.6503897089864,25.510016480362694,5.46901157477547
117,0.015391321309659598,5.155229606425637E-4,1.9441789886487788,1000.0,3.609933863135517,40.391135585237556,157.7768988104669,25.41768845873123,5.4951909213494865
117,0.015207623428025811,5.239895206153534E-4,1.969419382321141,980.2902136916484,7.585310936029007,83.9113357012883,198.50201635173153,25.41910556408423,5.48619409896972
117,0.014471235960882968,6.336103033806423E-4,1.7130254631273176,999.9998551199078,9.80774142165129,45.06349100682846,265.699923523416,25.46687619247728,5.469293129828691
117,0.014446540263163284,6.703952723527997E-4,1.6650614518964475,999.9999999999997,7.199088093105145,6.890185635752727,1.3052818452520683,25.516495579440857,5.46900360663512
117,0.014446540281802958,6.708341421151175E-4,1.6660518167744645,999.9999999999998,7.201270938801602,18.265715373874563,50.615800522383594,25.51779446496032,5.469002736582687
117,0.014496372248111705,6.123482039614957E-4,1.7469592894103623,1000.0,10.0,43.33975810702712,87.50719225519813,25.44711079194018,5.469672784826143
117,0.015183370512408333,5.210411894402239E-4,1.9861616301227762,974.6374514026396,9.70600694283341,84.31784069421376,176.4711545587262,25.419213366879738,5.485285573635497
117,0.014450302480357098,6.654415239392062E-4,1.683053416239038,999.9993642267372,10.0,65.45246343107242,181.59203720832468,25.513179827369672,5.469007749559206
117,0.014479690657522701,6.307977162491486E-4,1.7161502254084424,1000.0,0.3707285177366479,12.952347705094528,558.4354874740708,25.46395757850921,5.469334075831369
117,0.014862733584497674,5.384097514790308E-4,1.9457873384665891,976.23463687295,8.333249310180793,34.5123634717357,101.82090281173805,25.421675120736285,5.47519245408981
117,0.014470304654935519,6.357207592214752E-4,1.7038537827289906,999.9935296036631,9.306160267777512,11.324131671673996,130.5310331445684,25.4678634431851,5.469282004288607
117,0.014511141981176732,5.693868800737854E-4,1.8418810013188798,999.8551197065458,9.793315572229618,0.012103305244201484,270.51491127318235,25.426062442129208,5.470951621440077
117,0.014495816793322625,6.060452090992501E-4,1.7581149208456228,999.9998570724695,4.560445683530866,0.0,254.2314551924793,25.442172834081813,5.469822487671406
117,0.014461828020563476,6.417235765253115E-4,1.6953175194867198,999.9594355169012,8.423282104150289,0.0,795.2854784706007,25.47447224336075,5.46920765543004
117,0.014500018851361318,6.042858915239172E-4,1.757886257464035,1000.0,8.985548806301518,13.216447122954936,35.75980622527028,25.44064785183764,5.469878630591391
117,0.014524067520372204,5.66609134941583E-4,1.9098942498715226,1000.0,5.0E-5,69.91300029626245,230.1844905031694,25.42675137593668,5.47082149336506
117,0.015230230150281588,5.209193377770455E-4,1.9540631447460244,979.7737080702018,7.554905915467864,100.0,198.8349411819336,25.41883849339577,5.487324729029915
117,0.01497491626858673,5.334207993147152E-4,1.9926875668512856,979.7711088057184,7.559130164647751,73.06575261476182,220.61331416562464,25.420963486556637,5.477825583057306
117,0.014450930761884487,6.661496202425669E-4,1.6811494743459856,999.9993911560244,10.0,76.33701016272335,161.93256769066963,25.514010287351827,5.469006468699595
117,0.014810692192427453,5.415303139289526E-4,1.912234936599838,1000.0,10.0,0.0,135.82877583971558,25.422092795603458,5.474065062346143
117,0.014496652082866776,5.832046287799147E-4,1.7875448815708328,999.993467212855,9.157429599702375,4.377052259712726,470.4926655100651,25.428893107382397,5.4705861257802475
117,0.014465600784584942,6.495130415597663E-4,1.7112501482163007,999.9895472472484,9.487108191487204,28.945571285179174,198.50825336848388,25.49232896561866,5.469072250482667
117,0.01447211939677373,6.385700807445188E-4,1.7047248563987243,999.8651122478934,10.0,28.786643101713928,151.79305657398314,25.472473608896077,5.46922694364763
117,0.014481656660147902,6.219500308787869E-4,1.7622149016944961,999.9298543772522,9.037807786295254,0.0,161.58056680607268,25.460677674302552,5.469386964830816
117,0.014512071562501545,5.848401868385139E-4,1.8047553872793787,1000.0,10.0,38.28826395881919,69.12412317020424,25.43067084873819,5.470394495189574
117,0.014479931514731162,6.268923493460465E-4,1.730391710033093,999.9999980387695,5.7358049599826035,36.1707943376123,171.94112394979686,25.46142000782068,5.4693707156059395
117,0.014490412788767771,6.167993667794183E-4,1.7702605421947444,999.9221434081052,8.152339899534521,14.921903402122918,249.02360783308214,25.455633424506647,5.469476604487716
117,0.014463674999029072,6.516679313561977E-4,1.692698323363647,1000.0,10.0,9.293445400328713,235.01271040831588,25.490678131936036,5.469079316314872
117,0.014898454023363088,5.417310885718954E-4,1.8679883376326445,999.9672398228892,1.4317914794171385,46.63269859133439,0.0,25.42149119574121,5.475971305733849
117,0.015219320002316038,5.216301226693067E-4,1.9582615022916776,980.865270123734,7.56386537683762,60.623630873331734,200.84083999510383,25.418906781520885,5.486805829005292
117,0.014494092337833362,6.081098442044196E-4,1.759363837560454,999.9621174657402,5.0E-5,58.844741071868064,221.58550634358033,25.444283608302754,5.469752518177262
117,0.01446928516540989,6.304629025647981E-4,1.727206888873431,1000.0,6.964757085020084,3.3072392270278175,346.0662401060695,25.465247851420113,5.469315545826462
117,0.014472174336543884,6.444841961797484E-4,1.7132169368462145,999.9788299950964,8.280090692591912,6.654068928622153,85.64736227267024,25.48434598565786,5.4691203150177055
117,0.014456817527778996,6.573786640944051E-4,1.6684559263184757,999.9999999999998,6.524384985439152,100.0,243.26635681601707,25.4930342114924,5.469070146994068
117,0.015007713999421869,5.339754340128146E-4,1.9328323084148344,998.2020402739657,10.0,0.0,100.73093039356189,25.420438184158257,5.478764299499189
117,0.014556396009376317,5.658934067623E-4,1.8509146440410187,998.4988643005508,9.813004761113898,0.0,282.5487903361561,25.42542305303715,5.471053536600802
117,0.01446582038388781,6.490635943214378E-4,1.718890640412503,999.989665036715,9.591309489785855,22.78993612785731,198.93323944712043,25.493710991158103,5.469067781155929
117,0.014455671877411919,6.588477663246762E-4,1.6815611515968976,999.9999999999999,6.010060490734127,66.49297576188586,156.2830159554891,25.499964339486603,5.469037604646715
117,0.01444877215644535,6.678207112303114E-4,1.6752357723461038,999.9995779100034,6.89825271078897,22.454109636579638,68.41107444203978,25.515139978166918,5.469004948290973
117,0.014446052298750576,6.709999175743776E-4,1.6605769498934393,999.9147376621207,8.167104481427854,50.12719936134822,182.13887693813734,25.515994135609123,5.469004916501682
117,0.014743457641588046,5.39120085323219E-4,2.035598624419414,1000.0,3.243399402335264,40.99447209414669,922.8110072950033,25.422710917941675,5.472968729527506
117,0.014479033001572892,6.284073437910382E-4,1.7280572286005929,1000.0,7.5034837397448335,0.0,171.60565815998305,25.46301120521897,5.469346104721327
117,0.014451343767357426,6.616124050487042E-4,1.678750973196273,1000.0,7.697799335582415,23.049907094637557,182.0408293058362,25.50404977416813,5.469025116176537
117,0.01524751459626126,5.242235789733304E-4,1.923621925687091,971.5730168155659,5.0E-5,48.858711562350024,0.0,25.418777260124003,5.488191165810774
117,0.01447282803146372,6.49741772614971E-4,1.69399304484139,1000.0,9.46149309015859,44.25838074019227,232.6135879528448,25.488241914179763,5.469096668232301
117,0.014476429408218647,6.320914572750083E-4,1.7113766974373328,999.9929401117121,5.3979287991411775,2.3049111599824923,279.9091559574252,25.4646071243127,5.469325260514707
117,0.014454117102791054,6.658151503633146E-4,1.6768263729382438,1000.0,7.864614766271287,15.511808329423149,259.3661807530866,25.512016334238208,5.469008442167453
117,0.015168176910404127,5.20505856854547E-4,1.9877180484186887,976.5475438585622,9.720455594492734,85.60700933585377,177.2727426600339,25.419336633775465,5.484683854170372
117,0.014542587245117262,5.776376571738595E-4,1.8183922655194844,999.9999999999999,10.0,36.72114161461264,93.72027234004584,25.42816750014256,5.470631043950399
117,0.015638940507266767,5.122498394524109E-4,1.8841849235187182,959.2982158941693,5.8692944885299525,100.0,101.11174528928665,25.416538128479555,5.51131668314224
117,0.014465402130938249,6.46560367448456E-4,1.7108730087694544,999.9967903291786,9.976096890118853,40.68180799622324,190.02732131012564,25.48688775597765,5.469102402419697
117,0.014479656819330892,6.203887078616183E-4,1.7400203932367655,999.900144824114,6.703109976150532,6.256811634785513,292.72155831764184,25.454667179570826,5.469493680586756
117,0.014491423055593528,6.006084894167884E-4,1.7773733103525045,1000.0,9.855761631256241,43.527000819945464,92.54324880050801,25.439237915811496,5.469930935026952
117,0.014491756789204205,6.080826055590751E-4,1.7943050739476387,999.9447993967221,10.0,21.01919802576488,177.280807712567,25.448696540590365,5.469635556250182
117,0.015254162484022046,5.217571076307837E-4,1.9172722867069014,981.0080880904148,0.18496756481872878,51.71997290988934,9.376610352534446,25.418707541160348,5.4885326170667215
117,0.014464393057303411,6.454163011950279E-4,1.7117227176323495,1000.0,3.253011577439803,0.0,0.0,25.485046749379055,5.469114682423643
117,0.01448304898998163,6.197230318988764E-4,1.7580387504666022,999.8590900615367,7.219513648535543,10.855300791548858,305.60671050542936,25.457037726188886,5.469448181791712
117,0.014462691263420566,6.410155048944688E-4,1.7025779044733782,999.8280731162594,10.0,0.0,285.10810431515074,25.47522913739213,5.469199490500889
117,0.014490293898407608,6.119261298734415E-4,1.7436219977325034,999.9999999999999,7.990650511860299,52.867126370546025,126.94361766160756,25.445982320904793,5.469704802660462
117,0.014450872245602032,6.580066156808256E-4,1.6928487793426086,999.9999999999999,5.433980669928388,100.0,196.22093003612628,25.501670687340837,5.469034079833723
117,0.014497409958267135,6.122050917567954E-4,1.7700848542340446,1000.0,5.050700058108006,0.008469765774282788,251.1985693246281,25.450299296279706,5.469589712176265
117,0.014453785542946865,6.580554178250228E-4,1.6951549351055997,1000.0,4.975374543595404,4.817595681970386,121.26849057097024,25.502735384525327,5.469030151329408
117,0.014504775226626219,5.966556368918774E-4,1.7877787898792752,999.9508185114216,10.0,26.23209015006229,228.67578487399894,25.437282540882837,5.470010648779734
117,0.014477270559616074,6.434351409915927E-4,1.6779607971649082,1000.0,9.990053362054828,18.359856917822793,81.65291443824697,25.473601260733854,5.46922660974306
