stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
allocation budget computing	computing budget allocation	computing budget allocation	3	29,7856771185	148,005472432	6228,71037601	7,0	18,0	 
representation tour-based travel	tour-based representation of travel	tour-based representation of travel	4	15,8856944632	76,8150130593	2978,78463388	8,0	120,0	 
model non-human primate	non-human primate models	non-human primate models	3	15,8856944632	76,8150130593	1028,10364803	13,0	108,0	 
age child	children at around age	children at around age	4	20,4573118929	93,746901968	1017,25910516	13,0	338,0	 
experiment numerical	numerical experiment	numerical experiment	2	25,1782300221	110,152810734	1119,04291808	16,0	397,0	 
incident non-recurrent traffic	non-recurrent traffic incidents	non-recurrent traffic incidents	3	29,7856771185	125,304614923	1133,2578304	15,0	390,0	 
bi-cone good structure	bi-cone structure best	bi-cone structure best	3	29,7856771185	125,304614923	2463,76850821	15,0	168,0	 
constraint reliability time travel	travel time reliability constraint	travel time reliability constraint	4	29,7856771185	125,304614923	1133,2578304	15,0	390,0	 
constraint equilibrium stochastic user	stochastic user equilibrium constraints	stochastic user equilibrium constraints	4	19,857118079	109,782671735	1006,18773153	4,0	46,0	 
allocation budget	budget allocation	budget allocation|&|budget allocations	2	130,612068239	436,355192194	1656,19507986	71,0	469,0	 
program response revision unexpected	Unexpected revisions of response programs	Unexpected revisions of response programs	5	19,857118079	91,5877784771	2192,87037352	10,0	194,0	 
ability animal	abilities of these animals	abilities of these animals	4	18,8836725165	88,0471020957	2432,18424048	12,0	156,0	 
capability human parallel	parallels with human capabilities	parallels with human capabilities	4	23,8285416948	105,560877355	2432,18424048	12,0	156,0	 
capacity cognitive other sophistication	sophistication of other cognitive capacities	sophistication of other cognitive capacities	5	25,8142535027	112,291374387	1017,25910516	13,0	338,0	 
freight transportation	freight transportation	freight transportation|&|transportation of freight	2	62,9455750551	240,156689254	3520,28606578	43,0	177,0	 
cue current validity	current cue validity	current cue validity	3	19,857118079	91,5877784771	2192,87037352	10,0	194,0	 
chain management supply	supply chain management	supply chain management	3	17,8714062711	94,8165154989	3728,91512344	5,0	17,0	 
reliability time travel	travel time reliability	travel time reliability|&|Travel time reliability|&|reliability of travel time	3	59,5713542369	239,748087801	1104,33402506	18,0	399,0	 
source time travel uncertainty	source of uncertainty of travel time	source of uncertainty of travel time	6	29,7856771185	125,304614923	1133,2578304	15,0	390,0	 
event future	future events	future events	2	114,875674476	369,404077006	1253,41337856	52,0	630,0	 
