stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
allocation budget computing	computing budget allocation	computing budget allocation	3	29,7856771185	144,867238132	4190,35947986	7,0	21,0	 
representation tour-based travel	tour-based representation of travel	tour-based representation of travel	4	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
model non-human primate	non-human primate models	non-human primate models|&|non-human primate model	3	21,8428298869	96,3633404606	1335,54016195	16,0	125,0	 
advance equilibrium modeling network research transportation	research advances in transportation network equilibrium modeling	research advances in transportation network equilibrium modeling	7	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
experiment numerical	numerical experiment	numerical experiment	2	25,1782300221	107,500019436	843,66256362	16,0	398,0	 
incident non-recurrent traffic	non-recurrent traffic incidents	non-recurrent traffic incidents	3	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
bi-cone good structure	bi-cone structure best	bi-cone structure best	3	19,857118079	89,4956222769	2228,16310923	10,0	112,0	 
constraint reliability time travel	travel time reliability constraint	travel time reliability constraint	4	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
constraint equilibrium stochastic user	stochastic user equilibrium constraints	stochastic user equilibrium constraints	4	19,857118079	107,690515534	818,624157535	4,0	54,0	 
allocation budget	budget allocation	budget allocation|&|budget allocations	2	119,596592605	395,204705565	1469,05854778	71,0	482,0	 
program response revision unexpected	Unexpected revisions of response programs	Unexpected revisions of response programs	5	19,857118079	89,4956222769	1781,44800371	10,0	194,0	 
causal loop	causal loops	causal loops	2	15,7363937638	89,0027860864	1468,37074074	4,0	6,0	 
capability human parallel	parallels with human capabilities	parallels with human capabilities	4	15,8856944632	75,1412880991	2175,04566596	8,0	104,0	 
trial unexpected	unexpected trials	unexpected trials	2	15,7363937638	74,5836743275	1781,44800371	10,0	194,0	 
component frontocentral	frontocentral components	frontocentral components	2	15,7363937638	74,5836743275	1781,44800371	10,0	194,0	 
freight transportation	freight transportation	freight transportation|&|transportation of freight	2	64,5192144315	239,362828783	2988,73774912	43,0	157,0	 
cue current validity	current cue validity	current cue validity	3	19,857118079	89,4956222769	1781,44800371	10,0	194,0	 
chain management supply	supply chain management	supply chain management	3	17,8714062711	92,9335749186	2457,20640716	5,0	21,0	 
reliability time travel	travel time reliability	travel time reliability|&|Travel time reliability|&|reliability of travel time	3	59,5713542369	233,4716192	835,878913231	18,0	399,0	 
source time travel uncertainty	source of uncertainty of travel time	source of uncertainty of travel time	6	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
event future	future events	future events	2	56,6510175496	218,905032775	1480,96197672	24,0	281,0	 
measure performance transportation	transportation performance measure	transportation performance measure	3	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
journal regional science transportation	regional science and transportation journals	regional science and transportation journals	5	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
capacity due fluctuation roadway	Fluctuations in roadway capacity due	Fluctuations in roadway capacity due	5	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
mental time travel	mental time travel	mental time travel|&|Mental time travel	3	192,614045366	550,552728783	1506,44109461	55,0	408,0	 
air network transportation	air transportation network	air transportation network|&|air transportation networks	3	15,8856944632	79,7113176046	1424,09122706	6,0	28,0	 
cost function	cost function	cost function|&|cost functions	2	14,1627543874	70,2856342052	1548,78906701	8,0	25,0	 
capacity reliability	capacity reliability	capacity reliability	2	22,0309512693	130,94181024	1182,11362872	3,0	14,0	 
system transportation	transportation system	transportation system|&|transportation systems|&|system for transportation	2	141,627543874	435,05984805	1127,12364496	67,0	532,0	 
dynamic flow network	dynamic network flows	dynamic network flows	3	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
1950s beginning early	beginnings in the early 1950s	beginnings in the early 1950s	5	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
non-human nucleotide polymorphism portal primate single web	web portal for non-human primate single nucleotide polymorphisms	web portal for non-human primate single nucleotide polymorphisms	8	15,8856944632	75,1412880991	3984,7987345	8,0	70,0	 
reaction time	reaction times	reaction times	2	18,8836725165	86,0575086218	1783,0622758	12,0	196,0	 
evolution human mind	evolution of the human mind	evolution of the human mind	5	19,857118079	89,4956222769	1076,088284	10,0	193,0	 
evolution mental time travel	Mental time travel and the evolution	Mental time travel and the evolution	6	19,857118079	89,4956222769	1076,088284	10,0	193,0	 
human mental time travel	human mental time travel	human mental time travel|&|mental time travel by humans	4	27,7999653106	115,939954682	1301,8908677	14,0	243,0	 
network simple	simple network	simple network	2	25,1782300221	107,500019436	845,852401579	16,0	394,0	 
conflict response	response conflict	response conflict	2	20,4573118929	95,0089865509	1781,65547374	11,0	195,0	 
air transportation	air transportation	air transportation|&|transportation air	2	20,4573118929	95,0089865509	2783,03265707	20,0	68,0	 
concept network reliability	network reliability concepts	network reliability concepts	3	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
event past	past events	past events	2	23,6045906457	105,682510428	2089,39536493	13,0	117,0	 
response time	response times	response times	2	15,7363937638	74,5836743275	1781,44800371	10,0	194,0	 
path-breaking publication regional science	path-breaking publications across regional science	path-breaking publications across regional science	5	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
line role	line with roles	line with roles	3	15,7363937638	74,5836743275	1781,44800371	10,0	194,0	 
future modeling network research transportation urban	Future research on urban transportation network modeling	Future research on urban transportation network modeling	7	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
evolution modeling network player research significant transportation urban	significant player in the evolution of urban transportation network modeling research	significant player in the evolution of urban transportation network modeling research	11	15,8856944632	75,1412880991	2478,3368506	8,0	120,0	 
measure performance	performance measures	performance measures|&|performance measure|&|measures of performance	2	18,8836725165	93,7141789402	797,267908334	23,0	425,0	 
action cognitive control related response	cognitive control of response related action	cognitive control of response related action	6	19,857118079	89,4956222769	1781,44800371	10,0	194,0	 
electrophysiological study	electrophysiological studies	electrophysiological studies	2	15,7363937638	74,5836743275	1781,44800371	10,0	194,0	 
capacity fluctuation link reliability time travel	travel time reliability under fluctuations of link capacity	travel time reliability under fluctuations of link capacity	8	29,7856771185	122,166380622	858,878361723	15,0	390,0	 
non-human primate rat	rats and non-human primates	rats and non-human primates	4	15,8856944632	75,1412880991	2175,04566596	8,0	104,0	 
design network problem	network design problem	network design problem|&|network design problems	3	21,8428298869	96,3633404606	843,226608226	29,0	464,0	 
