evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,logmse
5,6.022707058279112E-8,0.3450409364034876,0.0,5119.232898940719,31.535131828727156
5,0.06168346118193572,4.172330060255774E-4,2.424264429784894,4100.681094175695,24.459646841269787
5,5.3337858970863606E-6,0.4400157625270774,0.0,7355.666082233907,32.342828711164664
5,0.03034608168929276,0.02598550368388087,0.1201426098605952,7542.918050566076,24.47548469642593
5,0.014032245276851317,0.05295350053714812,0.014473254363496182,3009.3896405733085,24.4740055282771
5,2.004910287343897E-5,0.28002729298668244,0.0,1228.1276702443786,30.847347304288554
5,9.554864982557427E-8,0.21003009098514205,0.0,9456.057266762313,29.874310693104178
5,0.0,0.12002006380441738,0.0,10000.0,27.61577450266452
5,0.0,0.18503151384573535,0.0,3028.4892623263295,29.422685390956996
5,0.0,0.12503373536073453,0.0,7991.469453210269,27.815049757336638
5,0.0,0.26000874728188617,0.0,8296.981439438186,30.60065668207466
5,0.0,0.07071161691435374,1.953125E-4,8975.550700068166,24.485702306322597
5,0.0,0.10001347962211865,0.0,5818.719312494133,26.595845034979785
5,1.8448459946343287E-8,0.23002927880672785,0.0,4688.084436377906,30.187828355962214
5,3.168655044645569E-7,0.46508061001734624,0.0,6551.8157955455,32.52994140584266
5,0.0,0.285002295959633,0.0,5349.901233171603,30.90536753661613
5,0.0,0.390008604599836,0.0,5217.699922028342,31.939893113154476
5,0.0,0.14500712178078762,0.0,3954.3029837754575,28.475297211223616
5,2.062623658535633E-6,0.42002164818925325,0.0,9746.796516757544,32.186826591098416
5,0.0,0.3050007036739652,0.0,2960.2940035619667,31.129110019757814
5,0.0,0.4450567462922175,0.0,4054.7439085460855,32.38114405663973
5,0.05747375264744509,0.00953336955589372,0.125,8262.47361411543,24.470089434571797
5,0.0,0.37001672474422237,0.0,10000.0,31.765656259839897
5,0.026477977296368034,0.03466117923050223,0.07074976839680518,9878.111037629422,24.457596619714817
5,0.0,0.30001558421741337,0.0,10000.0,31.074809703097454
5,8.830000881674086E-7,0.42500273104518405,0.0,2452.8886770331605,32.22627095356201
5,0.0,0.14005771837194012,0.0,8562.725389364803,28.32792625622097
5,0.0,0.19000862441610966,0.0,8902.645536174226,29.519016645034
5,0.0,0.35003197185278534,0.0,4886.850720310087,31.582445124145387
5,0.0,0.10500083470381026,0.0,3148.263549475735,26.89317693327624
5,8.558284732917027E-6,0.16502689161523876,0.0,9365.745738294889,28.994242790056788
5,1.5447860085289872E-6,0.4600885273210062,0.0,4222.652815022113,32.493369763086484
5,0.0,0.32501807704831764,0.0,10000.0,31.338350266513448
5,0.0,0.48504744518657517,0.0,9125.955589240133,32.67304893282778
5,0.01807602823493382,0.04505913687739107,0.039967380932425356,7898.625344303438,24.467854136962824
5,0.0,0.26505330511413333,0.0,9743.060639288175,30.664700389921276
5,1.953125E-7,0.3850944596588162,0.0,3183.8704689367382,31.89784210506248
5,3.6621093750000005E-5,0.480147981889933,0.0,5246.235427511897,32.63865197475314
5,0.0,0.0662325108486728,0.016456900595150238,3697.4782012631645,24.470381804939677
5,0.0,0.2050120694672724,0.0,9190.406256237979,29.789626105493845
5,0.0,0.3650359051521509,0.0,7692.288024275207,31.72088652135487
5,0.041367192333785004,0.013976197567331684,0.21772443356532792,8689.64690683169,24.475601563365363
5,0.0,0.16001038801363823,0.0,8182.488929635971,28.873993170030584
5,0.0,0.17000945135149254,0.0,8463.288089696682,29.107806536412035
5,2.7473858101541673E-5,0.22500358846658283,0.0,9636.09268556527,30.112755058652635
5,0.0,0.32004232624985596,0.0,565.6472337988389,31.28758440401407
5,0.0,0.08512684727611299,0.0,6776.805930913721,25.44850136908361
5,0.0,0.11004291247241843,0.0,5802.593549944165,27.16092384569501
5,0.0,0.22001566223688163,0.0,4920.796220989855,30.03532212326443
5,0.0,0.2950325409455532,0.0,8001.401733003564,31.019583022346595
5,0.0,0.13501527195888402,0.0,9425.783375114459,28.167829157243926
5,1.6858946652905384E-5,0.35500076294503496,0.0,9966.695508871044,31.629064571139562
5,0.0,0.06337382953217156,0.029913659351995938,2814.8080686163944,24.4739838316482
5,4.352748073593733E-5,0.27000310068104805,0.0,5742.26094710226,30.726764517028617
5,0.0,0.24501060450132517,0.0,10000.0,30.4015403268124
5,2.4414062499999996E-6,0.43004827996539574,0.0,4025.740637429369,32.26583735191622
5,0.0,0.40501656362785243,0.0,3045.7394563349726,32.06541084597794
5,1.4679348107147188E-7,0.38002326797183855,0.0,8971.844390983615,31.85392601054257
5,0.029521358224084488,0.039096918616162914,0.005026724927410895,1775.8861901742978,24.48356074982604
5,0.0,0.19501184982877948,0.0,9752.451126104024,29.612384513919313
5,0.0,0.49008692170090445,0.0,3211.5618367382413,32.70839693180124
5,0.0,0.4550288447696531,0.0,4277.346058765049,32.455939221668196
5,0.0,0.33002014761417753,0.0,3873.8254645950765,31.38860773849101
5,0.043487045773401144,0.019821348021250986,0.08580461908799958,8873.02024330613,24.465623871202727
5,0.0,0.4000169135060952,0.0,3642.5105471961556,32.02406962681479
5,0.0,0.17501558322832428,0.0,3607.18945132245,29.217138246556633
5,0.0,0.24001167730219408,0.0,9731.886350720877,30.33200331981907
5,0.0,0.3150160226294972,0.0,4223.802329348796,31.235488839209502
5,0.0,0.0900355212891272,0.0,1416.33818820271,25.874866293131987
5,0.0,0.47500393667475405,0.0,6977.697985680807,32.601688379380676
5,1.265086681751016E-6,0.25000994823418476,0.0,3845.020109146421,30.469456069557303
5,0.0,0.33503728583788694,0.0,6854.187739374746,31.438263636906967
