IRIS;com;DEP;NBUC09;RFUCQ109;RFUCQ209;RFUCQ309;RFUCIQ09;RFUCD109;RFUCD209;RFUCD309;RFUCD409;RFUCD609;RFUCD709;RFUCD809;RFUCD909;RFUCRD09;RFUCET09;RFUCMO09;RFUCGI09
751010101;75056;75;656,2;19078;31605;55773;36695;;;;;;;;;;;;
751010102;75056;75;148,4;25263;44087;89377;64114;;;;;;;;;;;;
751010103;75056;75;274,9;19429;35305;64375;44946;;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1783,7;14572;26807;42978;28406;6759;11433;17200;22200;32279;40044;47871;63584;9,4;59328,69;35063,65;0,4500
751010202;75056;75;1234,8;17365;33553;51237;33872;9289;14603;19988;25756;39240;46177;58893;80156;8,6;69096,98;44743,87;0,4777
751010203;75056;75;1664,3;17823;29661;49011;31188;8634;14981;19804;24816;37058;44072;57705;84774;9,8;137828,45;45834,20;0,5079
751010204;75056;75;1566,3;15036;27201;45185;30149;7137;12679;17365;22627;33479;39433;50556;73466;10,3;39700,15;37088,67;0,4590
751010206;75056;75;356,8;18932;36023;60881;41949;;;;;;;;;;;;
751010301;75056;75;2136,7;18872;32950;54596;35724;7918;15200;21449;26985;40559;49947;62961;90587;11,4;183769,35;57185,73;0,5743
751010302;75056;75;91,4;24341;32215;57583;33242;;;;;;;;;;;;
751010303;75056;75;182,7;21453;51106;84632;63179;;;;;;;;;;;;
751010401;75056;75;979,2;19247;37108;68987;49740;9651;15978;21703;29079;45577;61465;77448;116903;12,1;82701,42;59295,07;0,5306
751010402;75056;75;1126,4;18655;34487;56998;38343;;;;;;;;;;;;
751020501;75056;75;693,3;18785;34249;55733;36948;;;;;;;;;;;;
751020502;75056;75;194,8;19327;33652;76898;57571;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1167,1;19982;34576;56505;36523;9330;17064;23041;29031;41570;49955;63826;101933;10,9;88939,37;53777,66;0,5164
751020602;75056;75;1057,5;18247;34257;53417;35170;;;;;;;;;;;;
751020701;75056;75;1437,7;15639;30824;49854;34215;7196;12958;18557;24864;38207;44969;55663;79443;11,0;40951,35;39719,94;0,4490
751020702;75056;75;1410,3;17007;30068;50636;33629;8519;14101;19275;24338;34640;43682;59456;80603;9,5;67164,10;44098,64;0,4960
751020703;75056;75;1577,5;14458;29672;51728;37270;6593;11197;17034;22756;37147;45911;58299;80513;12,2;53333,49;41003,93;0,4860
751020704;75056;75;476,8;11807;26004;45929;34122;;;;;;;;;;;;
751020801;75056;75;1924,0;7772;17671;37485;29713;3753;6287;9254;12583;24822;33316;42989;62497;16,7;36787,46;28382,92;0,5316
751020802;75056;75;1275,1;15898;28922;48677;32779;7588;13301;18418;23957;36160;43481;54803;75423;9,9;42242,97;38405,31;0,4465
751020803;75056;75;1487,6;11612;25280;42043;30431;5328;9675;14002;19533;31094;37555;47757;65758;12,3;37149,94;33026,12;0,4724
751020804;75056;75;1616,9;8451;18769;37372;28921;4974;7149;10393;13393;25256;33129;40628;55811;11,2;24974,96;26021,19;0,4684
751020805;75056;75;1691,1;9117;19423;36904;27787;4044;6918;10263;14174;24928;32134;40669;55404;13,7;27769,30;26285,75;0,4735
751030901;75056;75;1439,7;11493;23445;42387;30894;5189;9703;13633;18836;28720;37707;48238;64235;12,4;49523,55;32565,88;0,4811
751030902;75056;75;1554,9;12848;25355;42253;29406;5039;9436;15580;20697;30825;37145;48698;66307;13,2;37694,90;33062,56;0,4592
751030903;75056;75;1356,1;17237;29571;46748;29511;8035;13869;19579;24044;34949;42026;52590;75005;9,3;44804,23;39018,42;0,4460
751030904;75056;75;1489,7;9732;21970;38354;28622;5007;7973;11861;16504;28100;34615;44128;65031;13,0;46952,22;31894,81;0,5126
751030905;75056;75;1361,3;13477;26959;44835;31358;6666;10941;15585;20376;33574;40293;51434;76935;11,5;57767,75;38031,41;0,4997
