IRIS;COM;DEP;NBUC10;RFUCQ110;RFUCQ210;RFUCQ310;RFUCIQ10;RFUCD110;RFUCD210;RFUCD310;RFUCD410;RFUCD610;RFUCD710;RFUCD810;RFUCD910;RFUCRD10;RFUCET10;RFUCGI10
751010101;75056;75;629,2;20222;33016;53554;33332;;;;;;;;;;;
751010102;75056;75;;;;;;;;;;;;;;;;
751010103;75056;75;270,6;22517;35832;67158;44641;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;
751010201;75056;75;1744,7;14012;27564;45163;31151;6395;11557;16922;21460;32921;40591;50456;66925;10,5;66349,40;0,4754
751010202;75056;75;1205,8;19327;34370;55034;35707;8983;16162;22152;27772;40578;48119;61487;89465;10,0;52458,03;0,4618
751010203;75056;75;1668,9;18378;32015;52261;33883;8972;15414;20682;25955;38735;46546;59446;88149;9,8;212313,94;0,5481
751010204;75056;75;1568,5;15878;28277;46021;30143;7309;13899;18115;22545;33064;40993;52096;72730;10,0;37231,34;0,4379
751010206;75056;75;353,4;18032;34958;59136;41104;;;;;;;;;;;
751010301;75056;75;2123,8;18245;32249;56006;37761;7761;15155;21383;26575;39905;49515;64433;97973;12,6;134900,74;0,5672
751010302;75056;75;;;;;;;;;;;;;;;;
751010303;75056;75;186,8;20887;50058;88632;67745;;;;;;;;;;;
751010401;75056;75;959,5;18377;37138;69139;50762;;;;;;;;;;;
751010402;75056;75;1124,8;20097;35280;61622;41525;;;;;;;;;;;
751020501;75056;75;709,9;18036;32956;56843;38807;;;;;;;;;;;
751020502;75056;75;201,4;20241;35946;73861;53620;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;
751020601;75056;75;1190,2;20804;35674;55870;35066;10400;17841;22843;29045;41984;50887;64944;93005;8,9;107416,41;0,5184
751020602;75056;75;1069,2;18005;32711;53568;35563;;;;;;;;;;;
751020701;75056;75;1433,8;15729;30813;51157;35428;7105;12890;18500;24424;37472;45795;56495;81738;11,5;50527,31;0,4636
751020702;75056;75;1413,6;17278;29822;52615;35337;7722;14144;19298;24444;36695;45840;61513;86491;11,2;64696,92;0,5069
751020703;75056;75;1541,3;14537;29706;52914;38377;5831;11575;17481;23274;37278;47395;61293;85030;14,6;57813,71;0,5058
751020704;75056;75;482,5;13253;28210;50542;37289;;;;;;;;;;;
751020801;75056;75;1916,8;8525;18571;37371;28846;4314;7058;9817;12999;25506;32773;45601;66424;15,4;37409,01;0,5246
751020802;75056;75;1292,3;16755;29511;50379;33624;7492;13975;19711;24879;35883;43834;58911;76974;10,3;49666,46;0,4670
751020803;75056;75;1487,3;11927;24306;41917;29990;5497;9963;14457;19360;30534;37348;49676;70070;12,7;40314,30;0,4868
751020804;75056;75;1595,9;9745;21763;37849;28105;5151;7668;11682;15485;27664;34000;41796;57730;11,2;39912,42;0,4823
751020805;75056;75;1684,3;9644;20262;37124;27480;4433;8001;11494;15592;26041;33323;42252;57651;13,0;29345,58;0,4711
751030901;75056;75;1458,5;11803;24327;43718;31915;5092;9920;13924;19328;29497;38254;49605;66442;13,0;47646,73;0,4897
751030902;75056;75;1550,4;11277;25816;43877;32600;4616;9268;13728;19139;31682;38205;50102;66044;14,3;36667,50;0,4721
751030903;75056;75;1393,5;16926;29757;47462;30536;8356;14046;20427;25010;36181;43527;52131;74560;8,9;49649,95;0,4464
751030904;75056;75;1465,3;10088;21755;40886;30798;4951;8451;12078;15957;28340;35455;46005;65210;13,2;60537,66;0,5218
751030905;75056;75;1365,2;13649;25870;47104;33455;7176;10937;15966;20229;34172;41650;54039;78570;10,9;53048,02;0,5020
751031001;75056;75;1522,5;12307;26059;45521;33214;6626;10501;14944;20743;32313;41734;51879;72947;11,0;37675,74;0,4702
751031002;75056;75;1509,8;18830;32155;51390;32560;8824;15230;21624;26958;37628;47049;58256;82253;9,3;42171,19;0,4400
751031003;75056;75;1792,3;16922;33065;57557;40635;7257;13961;20100;26504;40773;50446;68579;93558;12,9;71143,42;0,5109
751031004;75056;75;1405,8;15204;30319;54451;39247;7129;12680;18358;24161;37858;47771;63174;90209;12,7;55212,56;0,5045
751031101;75056;75;1500,0;17475;33227;55300;37825;8678;14812;20218;26127;40435;50269;62776;84043;9,7;92878,40;0,5167
751031102;75056;75;1149,4;19711;35572;61629;41918;9238;17002;23045;29447;42460;53038;70754;102185;11,1;53373,26;0,4656
751031103;75056;75;1199,7;18995;33383;56893;37898;8995;15869;22570;29352;40087;50335;68583;104149;11,6;218131,69;0,5326
751031104;75056;75;1876,1;20232;34935;60121;39889;9818;16757;22620;28391;41314;52171;69185;101736;10,4;150813,45;0,5591
751031201;75056;75;1460,5;14751;29140;48422;33671;7898;12278;16837;22245;36001;43619;55761;78725;10,0;46592,63;0,4794
751031202;75056;75;1381,0;16451;30333;50284;33833;7921;14010;19074;24252;36904;45382;60836;91717;11,6;70717,04;0,5100
751031203;75056;75;1379,1;14989;25439;44057;29068;6893;13243;17045;21604;32016;39257;48899;68941;10,0;41641,67;0,4634
751031204;75056;75;1455,6;11470;24039;40831;29361;5248;9624;14120;19365;29929;36907;47869;64798;12,3;31371,90;0,4538
751041301;75056;75;1253,0;17875;32064;49795;31920;7522;14960;21168;26504;38472;45460;57186;85283;11,3;62021,32;0,4828
751041302;75056;75;1742,0;16032;30224;51179;35147;6881;13592;19399;24003;37297;45179;57014;78219;11,4;52592,27;0,4572
751041303;75056;75;1302,3;14430;27056;46174;31744;5521;11272;16631;22123;32784;41169;52487;73473;13,3;48780,94;0,4868
751041304;75056;75;185,2;22918;30382;53063;30145;;;;;;;;;;;
751041401;75056;75;2235,7;13461;24854;39481;26020;5938;10685;15727;20567;29391;35970;43630;62456;10,5;126255,68;0,4982
751041402;75056;75;1602,6;17372;29996;47098;29726;7347;14383;19673;24695;35804;42049;51853;78197;10,6;49163,70;0,4601
751041403;75056;75;1819,6;13714;26811;47817;34103;6127;11129;16007;21456;33340;42140;54138;77151;12,6;47686,23;0,5014
751041404;75056;75;1246,9;15408;28576;43135;27727;6914;12716;18199;23824;34196;39295;50761;71351;10,3;44478,61;0,4526
751041501;75056;75;2209,5;18077;27829;47406;29329;9550;16124;20570;23745;33668;42243;53704;79099;8,3;100460,68;0,4995
751041502;75056;75;1263,5;21337;37171;58103;36766;10351;18322;24943;31753;41556;51601;67070;96557;9,3;51691,02;0,4498
751041503;75056;75;1404,1;21239;36485;59263;38024;11266;18302;25192;30448;44137;52759;67181;89289;7,9;74604,67;0,4773
751041504;75056;75;1536,6;18257;31678;53178;34921;7817;15693;20677;25747;37750;47367;58853;84112;10,8;142267,98;0,5277
751041601;75056;75;1798,1;19827;38539;68827;49000;8789;16274;22675;30283;46654;61562;81056;125545;14,3;94086,88;0,5402
751041602;75056;75;460,6;19914;35642;65369;45455;;;;;;;;;;;
751041603;75056;75;;;;;;;;;;;;;;;;
751051701;75056;75;1436,4;18363;31375;46974;28611;8636;15660;21207;25667;37092;43338;53484;68247;7,9;36467,48;0,4093
751051702;75056;75;1192,0;20103;32801;51479;31376;9624;17054;22579;27545;38630;46570;56790;79982;8,3;34623,62;0,4070
751051703;75056;75;1577,7;17612;28157;43805;26193;8888;15220;19920;23735;32719;40760;48612;66242;7,5;31582,37;0,4035
751051704;75056;75;2054,2;20061;32932;55836;35775;10239;17576;22371;27630;40079;50175;62519;87994;8,6;52363,03;0,4580
751051705;75056;75;1528,9;19705;35668;64236;44531;9357;16111;23049;28098;43360;55995;73054;98450;10,5;74609,83;0,4914
751051706;75056;75;;;;;;;;;;;;;;;;
751051801;75056;75;1229,5;21269;32958;49478;28209;11381;18686;23683;28139;37917;45475;54653;73498;6,5;34398,47;0,3744
751051802;75056;75;1552,7;18810;31269;47116;28307;8919;16119;21514;26171;36485;43287;51657;68050;7,6;33296,41;0,3898
751051803;75056;75;1357,7;18618;31252;47748;29130;8581;15145;21217;26173;37201;42278;54559;71404;8,3;40916,87;0,4287
751051804;75056;75;1508,0;17102;27978;42602;25500;9434;14929;19448;24173;32709;38387;49049;68673;7,3;52254,64;0,4359
751051805;75056;75;2048,4;17674;30139;47077;29403;8515;14869;20365;24832;36010;42219;53175;69622;8,2;35481,20;0,4202
751051806;75056;75;1462,3;16560;27810;42487;25927;7667;14017;18911;22810;32605;38199;46858;62375;8,1;32969,39;0,4124
751051807;75056;75;1442,7;18934;28521;43305;24371;10571;15887;20465;24083;33523;39384;49097;69583;6,6;41031,06;0,4086
751051808;75056;75;1170,1;20169;32973;52911;32742;9082;16794;22450;26831;39354;48011;58111;75085;8,3;34690,44;0,4084
751051809;75056;75;;;;;;;;;;;;;;;;
751051901;75056;75;1945,4;19614;33740;50806;31192;9642;16141;23283;27833;39991;47759;57484;78053;8,1;44476,68;0,4213
751051902;75056;75;1158,2;22063;36409;58167;36104;9131;18760;24906;29621;42833;52328;64167;93518;10,2;67356,04;0,4577
751051903;75056;75;1517,7;19779;34214;56008;36229;9910;16437;22401;28207;40809;51246;62598;89240;9,0;55304,61;0,4665
751051904;75056;75;914,6;25308;41495;67594;42286;;;;;;;;;;;
751051905;75056;75;1626,8;22247;44550;77638;55391;10064;18122;26764;36755;56490;70584;90572;135579;13,5;109758,90;0,5281
751051906;75056;75;1439,2;20763;35760;60216;39453;10202;17921;23421;28818;42346;52537;70019;104036;10,2;72000,27;0,4857
751051907;75056;75;1289,0;20040;33705;54479;34439;8596;16260;22198;27849;40660;49623;62863;88374;10,3;134266,63;0,5547
751051908;75056;75;1888,8;17949;31658;50413;32464;7699;15310;20734;26354;38000;44656;55983;77753;10,1;71542,79;0,4863
751052001;75056;75;1582,5;17282;29666;52069;34787;8167;13822;19172;24058;36457;47014;60606;95807;11,7;85252,31;0,5282
751052002;75056;75;1056,2;21304;38624;60391;39087;;;;;;;;;;;
751052003;75056;75;1235,2;14459;28416;49363;34904;4250;11580;17964;23452;34829;44077;55578;84100;19,8;72982,29;0,5359
751052004;75056;75;2117,1;18296;33288;56734;38438;8347;14447;21659;27840;41308;50243;64206;89834;10,8;101418,17;0,5224
751052005;75056;75;192,0;15336;23001;36300;20964;;;;;;;;;;;
751062101;75056;75;1200,1;20593;37500;69158;48565;8700;17536;23694;29407;47169;58759;80343;123278;14,2;119407,10;0,5700
751062102;75056;75;1479,0;18126;33122;56796;38670;8400;14867;21253;27495;39862;50763;64917;99956;11,9;58287,58;0,4920
751062103;75056;75;1256,6;17175;32710;59289;42114;7472;14067;20295;25489;40101;51071;70751;105235;14,1;119444,37;0,5666
751062201;75056;75;1078,8;24446;46516;88057;63611;14279;21311;28143;36359;59373;78152;97949;217783;15,3;202058,79;0,6112
751062202;75056;75;1022,8;22570;42277;79176;56606;;;;;;;;;;;
751062203;75056;75;1449,2;19659;37299;64735;45076;9645;17001;22439;28852;44793;55871;75398;113763;11,8;83606,31;0,5259
751062204;75056;75;1640,1;19091;36708;67134;48043;9583;16411;22549;29704;46083;58449;79919;115843;12,1;73901,01;0,5124
751062205;75056;75;;;;;;;;;;;;;;;;
751062301;75056;75;1153,4;24129;40254;70799;46670;11136;20578;27417;33252;49388;64087;83989;132874;11,9;171103,66;0,5679
751062302;75056;75;1109,6;26292;49198;80428;54136;12102;21173;31015;37561;60088;71466;94418;148409;12,3;146507,12;0,5525
751062303;75056;75;1332,8;22332;40649;66617;44285;11646;17824;24890;31706;48761;58987;75939;121387;10,4;86962,09;0,5107
751062304;75056;75;1156,8;26312;46967;79364;53052;13062;20314;29443;37775;56274;72038;97919;155365;11,9;176198,76;0,5671
751062305;75056;75;1510,2;22478;40074;74278;51800;10463;18820;24954;32474;51089;65881;83757;124190;11,9;79334,80;0,5015
751062306;75056;75;1746,0;24465;40390;65395;40930;12094;20690;27515;34514;48396;58630;72714;102711;8,5;95390,83;0,4584
751062307;75056;75;1218,8;22599;39388;66720;44121;11260;20201;26790;33062;49375;58472;75536;112015;9,9;64028,77;0,4623
751062308;75056;75;1925,7;21239;35982;60187;38948;11894;18482;24124;30106;43238;54378;69054;101571;8,5;83121,36;0,4931
751062309;75056;75;1565,0;18758;36862;62085;43327;8705;15261;21863;28526;44982;55447;71349;97109;11,2;109925,45;0,5066
751062310;75056;75;1481,9;20657;39747;76759;56102;11084;18229;23781;31785;52509;66689;89152;126064;11,4;163626,82;0,5816
751062311;75056;75;1151,6;24969;45283;76483;51514;13815;21690;28392;36657;54966;67477;93598;154203;11,2;158553,67;0,5656
751062401;75056;75;1316,7;20710;37554;70674;49964;9534;17869;23976;29336;47911;62238;79267;124447;13,1;121268,87;0,5519
751062402;75056;75;1908,0;17979;36267;71069;53090;8351;14949;21326;28455;46750;61501;81331;132943;15,9;145748,24;0,5959
751072501;75056;75;1368,2;25906;50595;96809;70903;12526;22543;30346;39977;62008;83737;118149;210716;16,8;298130,59;0,6531
751072502;75056;75;1129,4;23012;47105;86121;63109;11195;19093;26104;35944;59610;74694;100042;172005;15,4;126713,81;0,5691
751072503;75056;75;959,3;26627;45908;81806;55179;;;;;;;;;;;
751072504;75056;75;1037,7;23529;45892;92039;68510;;;;;;;;;;;
751072505;75056;75;1259,4;20597;40286;74112;53515;11774;17356;22736;28696;50978;63398;85319;161656;13,7;167287,18;0,6187
751072506;75056;75;1996,5;22395;43609;84737;62342;10818;18270;26596;33786;56358;73974;97958;171566;15,9;180933,20;0,6067
751072508;75056;75;;;;;;;;;;;;;;;;
751072601;75056;75;1483,1;24010;40014;85139;61129;13111;20263;27244;33723;52778;72454;109532;201217;15,3;191300,02;0,6184
751072602;75056;75;1033,6;21939;44193;86894;64955;;;;;;;;;;;
751072603;75056;75;639,2;22220;43754;83405;61185;;;;;;;;;;;
751072604;75056;75;982,0;22710;50206;101479;78769;;;;;;;;;;;
751072605;75056;75;;;;;;;;;;;;;;;;
751072606;75056;75;;;;;;;;;;;;;;;;
751072701;75056;75;2073,5;19142;37114;62733;43591;8900;15457;22221;29077;45312;55544;72510;102668;11,5;117545,10;0,5312
