IRIS;com;DEP;NBUC08;RFUCQ108;RFUCQ208;RFUCQ308;RFUCIQ08;RFUCD108;RFUCD208;RFUCD308;RFUCD408;RFUCD608;RFUCD708;RFUCD808;RFUCD908;RFUCRD08;RFUCET08;RFUCMO08;RFUCGI08
751010101;75056;75;662,1;18287;30059;52690;34403;;;;;;;;;;;;
751010102;75056;75;152,4;25476;39793;80955;55479;;;;;;;;;;;;
751010103;75056;75;266,2;19492;35240;56363;36872;;;;;;;;;;;;
751010104;75056;75;;;;;;;;;;;;;;;;;
751010201;75056;75;1745,8;13975;26573;42947;28972;6477;11585;16064;21804;32064;38391;47611;64371;9,9;56507,94;34515,27;0,4546
751010202;75056;75;1232,4;17909;31114;53865;35956;9782;14566;20048;25265;38650;48616;59989;85412;8,7;104601,23;46935,41;0,4969
751010203;75056;75;1673,6;17242;30517;48761;31519;7716;15113;20601;25306;35842;43486;56097;84481;10,9;207064,36;50811,54;0,5575
751010204;75056;75;1555,2;15254;26892;43941;28687;6772;12850;17193;22179;32032;40451;50549;75245;11,1;44114,67;37546,07;0,4680
751010206;75056;75;369,1;18709;33532;63968;45259;;;;;;;;;;;;
751010301;75056;75;2103,4;18640;32339;56051;37411;9092;15734;21519;26608;40518;49353;63987;100575;11,1;224279,47;64420,74;0,6143
751010302;75056;75;93,0;21554;31298;47468;25914;;;;;;;;;;;;
751010303;75056;75;180,4;20695;48137;83814;63119;;;;;;;;;;;;
751010401;75056;75;970,3;20491;37080;68892;48401;10648;17426;22352;30583;47850;62015;79814;119836;11,3;98489,72;64591,30;0,5499
751010402;75056;75;1140,9;18070;32404;57236;39166;;;;;;;;;;;;
751020501;75056;75;706,7;17432;33764;55469;38037;;;;;;;;;;;;
751020502;75056;75;194,6;16716;32784;77524;60808;;;;;;;;;;;;
751020503;75056;75;;;;;;;;;;;;;;;;;
751020601;75056;75;1159,0;19112;33224;56986;37874;9491;15905;21649;26180;40455;50451;65423;100679;10,6;80827,77;53376,25;0,5260
751020602;75056;75;1069,4;17812;31911;53540;35728;;;;;;;;;;;;
751020701;75056;75;1421,9;14670;29162;48374;33704;7648;12397;17017;23389;36909;43316;54541;78897;10,3;35086,02;37921,66;0,4484
751020702;75056;75;1419,4;16215;29709;47986;31771;8035;14058;18302;24001;33934;42937;54106;75758;9,4;55127,22;41899,20;0,4876
751020703;75056;75;1524,9;13279;29284;48337;35058;6461;10630;17015;22320;34965;42740;55006;78082;12,1;58340,46;40514,52;0,4969
751020704;75056;75;460,4;12697;26088;45747;33050;;;;;;;;;;;;
751020801;75056;75;1873,9;7904;16736;35513;27609;4046;6843;9010;12024;22641;30726;43461;63190;15,6;38595,15;27841,55;0,5347
751020802;75056;75;1295,2;15938;29309;49547;33609;7771;13374;18394;23965;35499;44729;55713;83850;10,8;57334,48;42169,46;0,4838
751020803;75056;75;1492,7;11442;24432;42576;31134;5211;9365;13515;19312;30943;38257;47178;69818;13,4;66577,97;36198,70;0,5213
751020804;75056;75;1618,5;7599;17278;35907;28308;4226;6561;8875;12306;23428;31538;39621;54741;13,0;28929,84;25392,76;0,4919
751020805;75056;75;1681,7;8448;19402;36667;28219;4258;6888;10489;14604;25232;32619;40614;53176;12,5;27575,83;26222,56;0,4698
751030901;75056;75;1433,5;11628;23263;40584;28956;5262;9817;14188;18439;29445;36762;45434;66554;12,6;42810,85;32431,39;0,4767
751030902;75056;75;1574,6;11880;24672;41134;29254;4631;9372;14523;19018;30092;36670;45845;63858;13,8;46330,56;32512,58;0,4803
751030903;75056;75;1327,9;15580;29046;45826;30246;7160;13679;18778;24038;34407;41951;51478;71293;10,0;51970,91;38857,89;0,4624
751030904;75056;75;1519,0;8390;18568;36413;28023;4074;7307;10723;13971;24479;31539;42620;61332;15,1;47615,38;29955,50;0,5397
751030905;75056;75;1349,6;12366;25371;46219;33853;6100;10021;14915;19138;32906;39945;53385;77935;12,8;66920,15;39501,24;0,5273
751031001;75056;75;1465,0;12927;25373;43703;30776;6573;10901;14981;20000;30529;38676;49513;67628;10,3;30834,91;32863,04;0,4432
751031002;75056;75;1516,7;15841;29480;48065;32224;7793;13072;18349;24620;36016;43461;55742;78000;10,0;38520,45;38742,19;0,4445
751031003;75056;75;1757,7;15205;29757;53502;38297;5778;11962;18131;23783;37459;46498;60653;84574;14,6;88238,57;44903,15;0,5222
751031004;75056;75;1412,1;14768;27906;50311;35543;7527;12633;16929;22312;34654;43383;56245;88109;11,7;59243,88;44002,14;0,5214
751031101;75056;75;1457,8;17665;34380;54127;36462;8953;14882;21371;28016;39847;48431;61697;91111;10,2;58819,25;46346,66;0,4713
751031102;75056;75;1186,7;18997;32876;53811;34814;9238;16495;21745;27003;39610;47679;60450;94177;10,2;90803,82;47735,96;0,4889
751031103;75056;75;1205,4;18792;33136;55153;36361;7679;15797;20826;27182;39404;48493;63347;97645;12,7;225896,90;44220,09;0,5399
751031104;75056;75;1837,3;18035;33276;58374;40339;8768;15034;21747;26888;40877;51259;70141;105945;12,1;71931,99;52203,89;0,5148
751031201;75056;75;1459,4;13668;26464;47649;33981;6940;11197;15718;20707;33301;41828;54024;74597;10,7;64065,92;39176,67;0,5052
751031202;75056;75;1323,8;14407;27783;48817;34410;7122;12462;16727;21380;34167;43041;58199;81755;11,5;97219,59;45101,70;0,5429
751031203;75056;75;1370,3;14589;24682;41858;27269;7398;11891;16300;20727;30399;38156;48207;67246;9,1;42581,62;35475,39;0,4710
751031204;75056;75;1453,2;10431;22087;40894;30463;4797;8862;12622;17339;28959;36669;45937;61248;12,8;26972,89;29382,93;0,4548
751041301;75056;75;1280,2;17031;30888;49353;32322;7332;14745;19909;24765;36402;43933;55888;80408;11,0;53923,87;42080,47;0,4710
751041302;75056;75;1789,7;15947;28461;47948;32001;7015;13159;18001;23295;35012;42104;53561;71551;10,2;49389,53;38391,96;0,4582
751041303;75056;75;1322,0;13225;25590;45384;32159;5020;10175;16000;21305;32053;40726;50822;70233;14,0;58348,73;37628,06;0,5067
751041304;75056;75;177,9;19632;35073;49437;29805;;;;;;;;;;;;
751041401;75056;75;2200,8;13014;24298;38187;25173;5441;11050;15757;19762;28994;34376;43284;58479;10,7;61374,57;31701,03;0,4629
751041402;75056;75;1653,7;16647;28229;45817;29170;8645;14378;18901;23769;34902;40926;51698;74014;8,6;76323,91;43877,01;0,5149
751041403;75056;75;1852,3;13952;26863;45966;32014;6401;11796;17015;21491;32464;41297;52002;78721;12,3;47541,27;38690,23;0,4926
